"verbatimFieldName","standardFieldName","namespace","uri","checked","source","comment","opinionBy","opinionDate"
"dwc:bed","bed","dwc","http://rs.tdwg.org/dwc/terms/bed",1,,,"John Wieczorek","2017-08-25"
"dwc:behavior","behavior","dwc","http://rs.tdwg.org/dwc/terms/behavior",1,,,"John Wieczorek","2017-08-25"
"dwc:catalognumber","catalogNumber","dwc","http://rs.tdwg.org/dwc/terms/catalogNumber",1,,,"John Wieczorek","2017-08-25"
"dwc:class","class","dwc","http://rs.tdwg.org/dwc/terms/class",1,,,"John Wieczorek","2017-08-25"
"dwc:collectioncode","collectionCode","dwc","http://rs.tdwg.org/dwc/terms/collectionCode",1,,,"John Wieczorek","2017-08-25"
"dwc:collectionid","collectionID","dwc","http://rs.tdwg.org/dwc/terms/collectionID",1,,,"John Wieczorek","2017-08-25"
"dwc:continent","continent","dwc","http://rs.tdwg.org/dwc/terms/continent",1,,,"John Wieczorek","2017-08-25"
"dwc:coordinateprecision","coordinatePrecision","dwc","http://rs.tdwg.org/dwc/terms/coordinatePrecision",1,,,"John Wieczorek","2017-08-25"
"dwc:coordinateuncertaintyinmeters","coordinateUncertaintyInMeters","dwc","http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters",1,,,"John Wieczorek","2017-08-25"
"dwc:country","country","dwc","http://rs.tdwg.org/dwc/terms/country",1,,,"John Wieczorek","2017-08-25"
"dwc:countrycode","countryCode","dwc","http://rs.tdwg.org/dwc/terms/countryCode",1,,,"John Wieczorek","2017-08-25"
"dwc:county","county","dwc","http://rs.tdwg.org/dwc/terms/county",1,,,"John Wieczorek","2017-08-25"
"dwc:datageneralizations","dataGeneralizations","dwc","http://rs.tdwg.org/dwc/terms/dataGeneralizations",1,,,"John Wieczorek","2017-08-25"
"dwc:datasetid","datasetID","dwc","http://rs.tdwg.org/dwc/terms/datasetID",1,,,"John Wieczorek","2017-08-25"
"dwc:datasetname","datasetName","dwc","http://rs.tdwg.org/dwc/terms/datasetName",1,,,"John Wieczorek","2017-08-25"
"dwc:dateidentified","dateIdentified","dwc","http://rs.tdwg.org/dwc/terms/dateIdentified",1,,,"John Wieczorek","2017-08-25"
"dwc:day","day","dwc","http://rs.tdwg.org/dwc/terms/day",1,,,"John Wieczorek","2017-08-25"
"dwc:decimallatitude","decimalLatitude","dwc","http://rs.tdwg.org/dwc/terms/decimalLatitude",1,,,"John Wieczorek","2017-08-25"
"dwc:decimallongitude","decimalLongitude","dwc","http://rs.tdwg.org/dwc/terms/decimalLongitude",1,,,"John Wieczorek","2017-08-25"
"dwc:disposition","disposition","dwc","http://rs.tdwg.org/dwc/terms/disposition",1,,,"John Wieczorek","2017-08-25"
"dwc:dynamicproperties","dynamicProperties","dwc","http://rs.tdwg.org/dwc/terms/dynamicProperties",1,,,"John Wieczorek","2017-08-25"
"dwc:earliestageorloweststage","earliestAgeOrLowestStage","dwc","http://rs.tdwg.org/dwc/terms/earliestAgeOrLowestStage",1,,,"John Wieczorek","2017-08-25"
"dwc:earliesteonorlowesteonothem","earliestEonOrLowestEonothem","dwc","http://rs.tdwg.org/dwc/terms/earliestEonOrLowestEonothem",1,,,"John Wieczorek","2017-08-25"
"dwc:earliestepochorlowestseries","earliestEpochOrLowestSeries","dwc","http://rs.tdwg.org/dwc/terms/earliestEpochOrLowestSeries",1,,,"John Wieczorek","2017-08-25"
"dwc:earliesteraorlowesterathem","earliestEraOrLowestErathem","dwc","http://rs.tdwg.org/dwc/terms/earliestEraOrLowestErathem",1,,,"John Wieczorek","2017-08-25"
"dwc:earliestperiodorlowestsystem","earliestPeriodOrLowestSystem","dwc","http://rs.tdwg.org/dwc/terms/earliestPeriodOrLowestSystem",1,,,"John Wieczorek","2017-08-25"
"dwc:enddayofyear","endDayOfYear","dwc","http://rs.tdwg.org/dwc/terms/endDayOfYear",1,,,"John Wieczorek","2017-08-25"
"dwc:establishmentmeans","establishmentMeans","dwc","http://rs.tdwg.org/dwc/terms/establishmentMeans",1,,,"John Wieczorek","2017-08-25"
"dwc:eventdate","eventDate","dwc","http://rs.tdwg.org/dwc/terms/eventDate",1,,,"John Wieczorek","2017-08-25"
"dwc:eventid","eventID","dwc","http://rs.tdwg.org/dwc/terms/eventID",1,,,"John Wieczorek","2017-08-25"
"dwc:eventremarks","eventRemarks","dwc","http://rs.tdwg.org/dwc/terms/eventRemarks",1,,,"John Wieczorek","2017-08-25"
"dwc:eventtime","eventTime","dwc","http://rs.tdwg.org/dwc/terms/eventTime",1,,,"John Wieczorek","2017-08-25"
"dwc:family","family","dwc","http://rs.tdwg.org/dwc/terms/family",1,,,"John Wieczorek","2017-08-25"
"dwc:fieldnotes","fieldNotes","dwc","http://rs.tdwg.org/dwc/terms/fieldNotes",1,,,"John Wieczorek","2017-08-25"
"dwc:fieldnumber","fieldNumber","dwc","http://rs.tdwg.org/dwc/terms/fieldNumber",1,,,"John Wieczorek","2017-08-25"
"dwc:footprintspatialfit","footprintSpatialFit","dwc","http://rs.tdwg.org/dwc/terms/footprintSpatialFit",1,,,"John Wieczorek","2017-08-25"
"dwc:footprintsrs","footprintSRS","dwc","http://rs.tdwg.org/dwc/terms/footprintSRS",1,,,"John Wieczorek","2017-08-25"
"dwc:footprintwkt","footprintWKT","dwc","http://rs.tdwg.org/dwc/terms/footprintWKT",1,,,"John Wieczorek","2017-08-25"
"dwc:formation","formation","dwc","http://rs.tdwg.org/dwc/terms/formation",1,,,"John Wieczorek","2017-08-25"
"dwc:genus","genus","dwc","http://rs.tdwg.org/dwc/terms/genus",1,,,"John Wieczorek","2017-08-25"
"dwc:geodeticdatum","geodeticDatum","dwc","http://rs.tdwg.org/dwc/terms/geodeticDatum",1,,,"John Wieczorek","2017-08-25"
"dwc:geologicalcontextid","geologicalContextID","dwc","http://rs.tdwg.org/dwc/terms/geologicalContextID",1,,,"John Wieczorek","2017-08-25"
"dwc:georeferencedby","georeferencedBy","dwc","http://rs.tdwg.org/dwc/terms/georeferencedBy",1,,,"John Wieczorek","2017-08-25"
"dwc:georeferenceddate","georeferencedDate","dwc","http://rs.tdwg.org/dwc/terms/georeferencedDate",1,,,"John Wieczorek","2017-08-25"
"dwc:georeferenceprotocol","georeferenceProtocol","dwc","http://rs.tdwg.org/dwc/terms/georeferenceProtocol",1,,,"John Wieczorek","2017-08-25"
"dwc:georeferenceremarks","georeferenceRemarks","dwc","http://rs.tdwg.org/dwc/terms/georeferenceRemarks",1,,,"John Wieczorek","2017-08-25"
"dwc:georeferencesources","georeferenceSources","dwc","http://rs.tdwg.org/dwc/terms/georeferenceSources",1,,,"John Wieczorek","2017-08-25"
"dwc:georeferenceverificationstatus","georeferenceVerificationStatus","dwc","http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus",1,,,"John Wieczorek","2017-08-25"
"dwc:group","group","dwc","http://rs.tdwg.org/dwc/terms/group",1,,,"John Wieczorek","2017-08-25"
"dwc:habitat","habitat","dwc","http://rs.tdwg.org/dwc/terms/habitat",1,,,"John Wieczorek","2017-08-25"
"dwc:higherclassification","higherClassification","dwc","http://rs.tdwg.org/dwc/terms/higherClassification",1,,,"John Wieczorek","2017-08-25"
"dwc:highergeography","higherGeography","dwc","http://rs.tdwg.org/dwc/terms/higherGeography",1,,,"John Wieczorek","2017-08-25"
"dwc:highergeographyid","higherGeographyID","dwc","http://rs.tdwg.org/dwc/terms/higherGeographyID",1,,,"John Wieczorek","2017-08-25"
"dwc:highestbiostratigraphiczone","highestBiostratigraphicZone","dwc","http://rs.tdwg.org/dwc/terms/highestBiostratigraphicZone",1,,,"John Wieczorek","2017-08-25"
"dwc:identificationid","identificationID","dwc","http://rs.tdwg.org/dwc/terms/identificationID",1,,,"John Wieczorek","2017-08-25"
"dwc:identificationqualifier","identificationQualifier","dwc","http://rs.tdwg.org/dwc/terms/identificationQualifier",1,,,"John Wieczorek","2017-08-25"
"dwc:identificationreferences","identificationReferences","dwc","http://rs.tdwg.org/dwc/terms/identificationReferences",1,,,"John Wieczorek","2017-08-25"
"dwc:identificationremarks","identificationRemarks","dwc","http://rs.tdwg.org/dwc/terms/identificationRemarks",1,,,"John Wieczorek","2017-08-25"
"dwc:identificationverificationstatus","identificationVerificationStatus","dwc","http://rs.tdwg.org/dwc/terms/identificationVerificationStatus",1,,,"John Wieczorek","2017-08-25"
"dwc:identifiedby","identifiedBy","dwc","http://rs.tdwg.org/dwc/terms/identifiedBy",1,,,"John Wieczorek","2017-08-25"
"dwc:individualcount","individualCount","dwc","http://rs.tdwg.org/dwc/terms/individualCount",1,,,"John Wieczorek","2017-08-25"
"dwc:informationwithheld","informationWithheld","dwc","http://rs.tdwg.org/dwc/terms/informationWithheld",1,,,"John Wieczorek","2017-08-25"
"dwc:infraspecificepithet","infraspecificEpithet","dwc","http://rs.tdwg.org/dwc/terms/infraspecificEpithet",1,,,"John Wieczorek","2017-08-25"
"dwc:institutioncode","institutionCode","dwc","http://rs.tdwg.org/dwc/terms/institutionCode",1,,,"John Wieczorek","2017-08-25"
