"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Guira","Guira","Cuculidae","Cuculiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Guiraca","Passerina","Cardinalidae","Passeriformes","Aves","Chordata","Animalia","ITIS",0,1,"Genus is a synonym.",0
"Guiraea",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Guirara",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Guirraca",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gulaphallus","Gulaphallus","Phallostethidae","Atheriniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gullinula","Gallinula","Rallidae","Gruiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gulo","Gulo","Mustelidae","Carnivora","Mammalia","Chordata","Animalia","ITIS",1,1,,0
"Gumardee",,"Potoroidae","Marsupialia","Mammalia",,"Animalia",,0,0,,1
"Gumnoderus","Gymnoderus","Cotingidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gunco","Junco","Emberizidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gunda",,,,"TURBELLARIA","PLATYHELMINTHES","Animalia",,0,0,,1
"Gunnellichthys","Gunnellichthys","Microdesmidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gunterichthys","Gunterichthys","Bythitidae","Ophidiiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Guracava",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gurgesiella","Gurgesiella","Rajidae","Rajiformes","Elasmobranchii","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",1,1,,0
"Guria","Uria","Alcidae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gursodia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Guttera","Guttera","Numididae","Galliformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Guttigadus","Guttigadus","Moridae","Gadiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Guttura","Guttera","Numididae","Galliformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Guyornis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gy[illeg]oschizorhis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"GYALOPION","Gyalopion","Colubridae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Gyge",,,"EPICARIDA","CRUSTACEA; MALACOSTRACA","ARTHROPODA","Animalia",,0,0,,1
"Gygio","Gygis","Laridae","Charadriiformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gygis","Gygis","Laridae","Charadriiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gyiarchus","Myiarchus","Tyrannidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gylclarhis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnachirus","Gymnachirus","Achiridae","Pleuronectiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnallabes","Gymnallabes","Clariidae","Siluriformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnapistes","Gymnapistes","Scorpaenidae","Scorpaeniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnapogon","Gymnapogon","Apogonidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnarchus","Gymnarchus","Gymnarchidae","Osteoglossiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnarion",,,,"GASTROPODA","MOLLUSCA","Animalia",,0,0,,1
"Gymnasio",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnasis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnasterias",,,,"ASTEROIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Gymnechinus",,,,"ECHINOIDEA","ECHINODERMATA","Animalia",,0,0,,1
"Gymneleotris","Gymneleotris","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnobucco","Gymnobucco","Ramphastidae","Piciformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnocaesio","Gymnocaesio","Caesionidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnocanthus","Gymnocanthus","Cottidae","Scorpaeniformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnocephalus","Gymnocephalus","Percidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnocichla","Gymnocichla","Thamnophilidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnocirrhites","Paracirrhites","Cirrhitidae","Perciformes","Actinopterygii","Chordata","Animalia","Froese, R. and D. Pauly. Editors. 2012. FishBase.",0,1,"Genus is a synonym.",0
"Gymnocorous",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnocorvus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnocorymbus","Gymnocorymbus","Characidae","Characiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnocrex","Gymnocrex","Rallidae","Gruiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnodactylus","Gymnodactylus","Phyllodactylidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Gymnoderus","Gymnoderus","Cotingidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnodraco","Gymnodraco","Bathydraconidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnogemys",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
