"verbatimIdentificationQualifier","standardIdentificationQualifier","uri","checked","opinionBy","opinionDate"
"gen. et sp.ind.4","gen. indet.",,1,"John Wieczorek","2017-10-19"
"gen. et. sp. 1","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. et. sp. 2","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. et. sp. ind.","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. et. sp. ind. 1","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. et. sp. ind. 2","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. et. sp. ind. 3","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. et. sp. indet","gen. indet.",,1,"John Wieczorek","2017-10-19"
"gen. et. sp. indet.","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. A","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. B","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. C","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. D","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. E","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. F","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. G","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. indet. sp. H","gen. indet.",,1,"John Wieczorek","2017-10-27"
"gen. nov. & sp. nov.","gen. nov.",,1,"John Wieczorek","2017-10-27"
"gen. nov. & sp. nov. A","gen. nov.",,1,"John Wieczorek","2017-10-27"
"gen. nov. & sp. nov. B","gen. nov.",,1,"John Wieczorek","2017-10-27"
"Gen. nov. A, sp. nov. A a","gen. nov.",,1,"John Wieczorek","2017-10-27"
"Gen. nov. A, sp. nov. A b","gen. nov.",,1,"John Wieczorek","2017-10-27"
"Gen. nov. sp. large","gen. nov.",,1,"John Wieczorek","2017-10-27"
"gen. nov. sp. small","gen. nov.",,1,"John Wieczorek","2017-10-27"
"gen?","genus in question",,1,"John Wieczorek","2017-08-25"
"genus ?","genus in question",,1,"John Wieczorek","2017-08-25"
"genus 1 sp. A","gen. indet.",,1,"John Wieczorek","2017-10-27"
"genus 2 sp. A","gen. indet.",,1,"John Wieczorek","2017-10-27"
"Genus and Species uncertain, Family identified","gen. indet.",,1,"John Wieczorek","2017-08-25"
"Genus and Species unknown, Family identified","gen. indet.",,1,"John Wieczorek","2017-08-25"
"Genus identified, Species uncertain","species in question",,1,"John Wieczorek","2017-08-25"
"Genus identified, Species unknown","sp.",,1,"John Wieczorek","2017-08-25"
"genus in question","genus in question",,1,"John Wieczorek","2017-08-25"
"genus in question, species in question","genus in question, species in question",,1,"John Wieczorek","2017-08-25"
"genus in quotes","genus in question",,1,"John Wieczorek","2017-08-25"
"genus in quotes and ?","genus in question",,1,"John Wieczorek","2017-08-25"
"genus in quotes, cf gen","genus in question",,1,"John Wieczorek","2017-08-25"
"genus in quotes, cf sp","genus in question",,1,"John Wieczorek","2017-08-25"
"genus in quotes. ? Sp","genus in question, species in question",,1,"John Wieczorek","2017-08-25"
"Genus indet A sp. A","gen. indet.",,1,"John Wieczorek","2017-10-27"
"Genus indet B sp. A","gen. indet.",,1,"John Wieczorek","2017-10-27"
"genus questioned","genus in question",,1,"John Wieczorek","2017-08-25"
"Genus uncertain, Species unknown, Family identified","genus in question",,1,"John Wieczorek","2017-08-25"
"genus, ?sp","genus in question, species in question",,1,"John Wieczorek","2017-08-25"
"Genus, Species and Family uncertain","genus in question",,1,"John Wieczorek","2017-08-25"
"giant sp.","sp.",,1,"John Wieczorek","2017-10-27"
"gn ?","genus in question",,1,"John Wieczorek","2017-08-25"
"gn ? sp ?","genus in question, species in question",,1,"John Wieczorek","2017-08-25"
"gn cf","cf.",,1,"John Wieczorek","2017-08-25"
"gn cf sg cf","cf.",,1,"John Wieczorek","2017-08-25"
"gn cf sp cf","cf.",,1,"John Wieczorek","2017-08-25"
"gn?","genus in question",,1,"John Wieczorek","2017-08-25"
"gr. emanueli","gr. emanueli",,1,"John Wieczorek","2017-11-07"
"gr. spilosoma","gr. spilosoma",,1,"John Wieczorek","2017-11-07"
"grandmariae n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"Gray, 1842",,,1,"John Wieczorek","2017-08-25"
"gs ?","genus in question",,1,"John Wieczorek","2017-08-25"
"gs cf","cf.",,1,"John Wieczorek","2017-08-25"
"gulosus X sp.","gulosus X sp.",,1,"John Wieczorek","2017-08-25"
"haematodus x Eos sp.","haematodus x Eos sp.",,1,"John Wieczorek","2017-08-25"
"head sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"head sp. 2","sp.",,1,"John Wieczorek","2017-10-27"
"hind wing sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"Holotype larger of 2 specimens in jar",,,1,"John Wieczorek","2017-08-25"
"HOLOTYPE of Aprosmictus erythropterus melvillensis, Zietz, 1914 (see SAOA 1(1):14",,,1,"John Wieczorek","2017-08-25"
"HOLOTYPE of Astur clarus robustus, Zietz, 1914; grey phase, see SAOA 1(1):13. W.D. Dodd No. 574.",,,1,"John Wieczorek","2017-08-25"
"HOLOTYPE of Chrysococcyx minutillus melvillensis, Zietz, 1914 (see SAOA 1(1):14. W.D. Dodd No. 666).",,,1,"John Wieczorek","2017-08-25"
"Holotype SAMA?? 300mm",,,1,"John Wieczorek","2017-08-25"
"Hyla sp.","sp.",,1,"John Wieczorek","2017-08-25"
"I nov. gen. nov. sp. (Ginsburg 1964)","gen. nov.",,1,"John Wieczorek","2017-10-19"
"I. sp. b","sp.",,1,"John Wieczorek","2017-08-25"
"ichnosp. A","sp.",,1,"John Wieczorek","2017-10-27"
"Identified",,,1,"John Wieczorek","2017-08-25"
"incertae sedis","incertae sedis",,1,"John Wieczorek","2017-08-25"
"incertae sedis sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"incertae sedis sp. 2","sp.",,1,"John Wieczorek","2017-10-27"
"indet sp.","sp.",,1,"John Wieczorek","2017-08-25"
"indet. nov. gen. et sp.","gen. nov.",,1,"John Wieczorek","2017-10-27"
"indet. sp.","sp.",,1,"John Wieczorek","2017-08-25"
"indet. sp. 1","sp.",,1,"John Wieczorek","2017-08-25"
"indet. sp. 10","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 11","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 12","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 13","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 14","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 15","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 16","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 17","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 18","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 19","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 2","sp.",,1,"John Wieczorek","2017-10-19"
"indet. sp. 20","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 21","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 22","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 23","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 3","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 4","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 5","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 6","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 7","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 8","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. 9","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. A","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. B","sp.",,1,"John Wieczorek","2017-10-19"
"indet. sp. nov.","sp. nov.",,1,"John Wieczorek","2017-10-27"
"indet. sp. others","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. X","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp. Y","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp.1","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp.2","sp.",,1,"John Wieczorek","2017-10-27"
"indet. sp.3","sp.",,1,"John Wieczorek","2017-10-27"
"informal","informal",,1,"John Wieczorek","2017-08-25"
"inornatus x sp. Uniparens","inornatus x sp.",,1,"John Wieczorek","2017-08-25"
"isolepis sp.1","sp.",,1,"John Wieczorek","2017-08-25"
"isolepis sp.2","sp.",,1,"John Wieczorek","2017-08-25"
"isp.","sp.",,1,"John Wieczorek","2017-08-25"
"janitor n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"jasoni n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"juv. nov. sp.","sp. nov.",,1,"John Wieczorek","2017-10-27"
"juvenile",,,1,"John Wieczorek","2017-08-25"
"juvenile?",,,1,"John Wieczorek","2017-08-25"
"kobelti n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"L=170m.m.",,,1,"John Wieczorek","2017-08-25"
"large",,,1,"John Wieczorek","2017-08-25"
"large coralla sp.","sp.",,1,"John Wieczorek","2017-10-27"
"large smooth sp.","sp.",,1,"John Wieczorek","2017-10-27"
"large sp.","sp.",,1,"John Wieczorek","2017-08-25"
"larva sp.","sp.",,1,"John Wieczorek","2017-10-27"
"larva sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"larva sp. 2","sp.",,1,"John Wieczorek","2017-10-27"
"larva sp. 3","sp.",,1,"John Wieczorek","2017-10-27"
"larva sp. 4","sp.",,1,"John Wieczorek","2017-10-27"
"larva sp. 5","sp.",,1,"John Wieczorek","2017-10-27"
"larvae sp. 7","sp.",,1,"John Wieczorek","2017-10-27"
"larvae sp. 8","sp.",,1,"John Wieczorek","2017-10-27"
"Leposternon sp.","sp.",,1,"John Wieczorek","2017-08-25"
"leuciodus X sp.","leuciodus X sp.",,1,"John Wieczorek","2017-08-25"
"levinae n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"LJH magnolia sp.1","sp.",,1,"John Wieczorek","2017-08-25"
"LJH magnolia sp.2","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.IIIa","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.IV","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.IVa","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.VII","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.X","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XIV","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XIX","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XV","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XVII","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XVIII","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XX","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XXI","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XXIX","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XXX","sp.",,1,"John Wieczorek","2017-08-25"
"LJH n.sp.XXXI","sp.",,1,"John Wieczorek","2017-08-25"
"lobate sp.","sp.",,1,"John Wieczorek","2017-10-27"
"lobatum n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"Lobosculumsp.","sp.",,1,"John Wieczorek","2017-08-25"
"lutrensa X sp.","lutrensa X sp.",,1,"John Wieczorek","2017-08-25"
"macrochirus X sp.","macrochirus X sp.",,1,"John Wieczorek","2017-08-25"
"male",,,1,"John Wieczorek","2017-08-25"
"malthe x sp.","malthe x sp.",,1,"John Wieczorek","2017-08-25"
"many ridges sp.","sp.",,1,"John Wieczorek","2017-10-27"
"Martinia or Reticularia sp.","sp.",,1,"John Wieczorek","2017-10-27"
"mauldinensis sp. nov.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"medium sized sp.","sp.",,1,"John Wieczorek","2017-10-27"
"megalotis X sp.","megalotis X sp.",,1,"John Wieczorek","2017-08-25"
"metasternite sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"Micropogoniassp.","sp.",,1,"John Wieczorek","2017-08-25"
"moai n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n sp. ""L402""","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n sp. A","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n sp. B","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n. gen. et. sp.","gen. nov.",,1,"John Wieczorek","2017-10-27"
"n. gen. n. sp.","gen. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp.  B","sp. nov",,1,"John Wieczorek","2017-10-27"
"n. sp. #1","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. #2","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (cf. achirus)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (cf. fitzsimonsi)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (cf. pusillus)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (cf. regani)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (cf. signifera)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (cf. theta)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (ms)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. (yucatana group)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. [blue-spotted]","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. “bimaculatus”","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. “Congo”","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. “negro/alto orinoco”","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. “Rufiji”","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. “tailspot”","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 1","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 10","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 11","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 12","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 13","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 2","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 3","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 4","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 5","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 6","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 6.","sp. nov",,1,"John Wieczorek","2017-10-27"
"n. sp. 7","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 8","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. 9","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. a","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. A.","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp. b","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. B (short gland)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. B.","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n. sp. c","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. cf. inconspicua","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n. sp. cf. mackayi","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n. sp. cf. wyomingensis","sp. nov",,1,"John Wieczorek","2017-10-27"
"n. sp. d","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. D of Klapper","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. E","sp. nov",,1,"John Wieczorek","2017-10-27"
"n. sp. E of Klapper","sp. nov",,1,"John Wieczorek","2017-08-25"
"n. sp. F of Klapper","sp. nov",,1,"John Wieczorek","2017-08-25"
"n. sp. I","sp. nov",,1,"John Wieczorek","2017-10-27"
"n. sp. J","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. Kues & Batten 2001","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp. L","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp. M","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp. ms","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. N","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n. sp. of Kues 1984","sp. nov",,1,"John Wieczorek","2017-10-27"
"n. sp. Q","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n. sp. Que. Charanal","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n. sp. R","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp. Salotti et al. 1997","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n. sp.2","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp.3","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp.4","sp. nov.",,1,"John Wieczorek","2017-10-19"
"n. sp.A","sp. nov",,1,"John Wieczorek","2017-10-27"
"n.sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. ""common""","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. ""tavi""","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. (cf. reticulatus)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. (ms)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. 1","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. 2","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n.sp. 3","sp. nov.",,1,"John Wieczorek","2017-10-27"
"n.sp. 4","sp. nov",,1,"John Wieczorek","2017-10-27"
"n.sp. 9","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. a","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. cf novaecaledoniae","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. 'common'","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp. Coral Sea","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp.1","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp.2","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp.3","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp.sp.2","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp.sp.3","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp.sp.5","sp. nov.",,1,"John Wieczorek","2017-08-25"
"n.sp.sp.7","sp. nov.",,1,"John Wieczorek","2017-08-25"
"near sp","cf.",,1,"John Wieczorek","2017-08-25"
"near sp.","cf.",,1,"John Wieczorek","2017-08-25"
"new sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"new sp. 1","sp. nov.",,1,"John Wieczorek","2017-10-27"
"new sp. 2","sp. nov.",,1,"John Wieczorek","2017-10-27"
"not id-able to sp. (Weil 2004)","sp.",,1,"John Wieczorek","2017-08-25"
"nov gen. nov sp.2","gen. nov.",,1,"John Wieczorek","2017-10-19"
"nov sp.1","sp. nov.",,1,"John Wieczorek","2017-08-25"
"nov. gen. nov. sp.2","gen. nov.",,1,"John Wieczorek","2017-10-19"
"nov. sp.","sp. nov.",,1,"John Wieczorek","2017-10-27"
"nov. sp. 1","sp. nov",,1,"John Wieczorek","2017-10-27"
"nov. sp. 1 aff. priscus","sp. nov",,1,"John Wieczorek","2017-10-27"
"nov. sp. 2","sp. nov",,1,"John Wieczorek","2017-10-27"
"nov. sp. 2 aff. priscus","sp. nov",,1,"John Wieczorek","2017-10-27"
"nov. sp. 3","sp. nov",,1,"John Wieczorek","2017-10-27"
"nov. subsp.","ssp. nov.",,1,"John Wieczorek","2017-08-25"
"novecrinita n.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"nr","cf.",,1,"John Wieczorek","2017-08-25"
"nr gn","cf.",,1,"John Wieczorek","2017-08-25"
"nr sp","cf.",,1,"John Wieczorek","2017-08-25"
"nr.","cf.",,1,"John Wieczorek","2017-08-25"
"nsp. 6","sp. nov.",,1,"John Wieczorek","2017-08-25"
"nymph sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"nymph sp. 2","sp.",,1,"John Wieczorek","2017-10-27"
"oi ?","id in question",,1,"John Wieczorek","2017-08-25"
"oi cf","id in question",,1,"John Wieczorek","2017-08-25"
"okadai n. sp.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"okra sp.1","sp.",,1,"John Wieczorek","2017-08-25"
"or ?","order in question",,1,"John Wieczorek","2017-08-25"
"or ? ;fa ?","order, family in question",,1,"John Wieczorek","2017-08-25"
"or ? ;fa ? ;ge ?","order, family, genus in question",,1,"John Wieczorek","2017-08-25"
"or ? ;sp ?","order in question",,1,"John Wieczorek","2017-08-25"
"or ? ;sp cf","order in question",,1,"John Wieczorek","2017-08-25"
"or ?, fa ?","order, family in question",,1,"John Wieczorek","2017-08-25"
"or ?, worn","order in question",,1,"John Wieczorek","2017-08-25"
"or ?; fa ?","order, family in question",,1,"John Wieczorek","2017-08-25"
"or ?; sp ?","order in question",,1,"John Wieczorek","2017-08-25"
"or Carnivora","order in question",,1,"John Wieczorek","2017-08-25"
"or cf","cf.",,1,"John Wieczorek","2017-08-25"
"or M. seminoensis","species in question",,1,"John Wieczorek","2017-08-25"
"or nr","cf.",,1,"John Wieczorek","2017-08-25"
"or Pliohippus","genus in question",,1,"John Wieczorek","2017-08-25"
"oreas x Nocomis sp.","oreas x Nocomis sp.",,1,"John Wieczorek","2017-08-25"
"Otophryne sp.","sp.",,1,"John Wieczorek","2017-08-25"
"Ovophis monticolo (Günther, 1964)",,,1,"John Wieczorek","2017-08-25"
"palm sp. 1","palm sp. 1",,1,"John Wieczorek","2017-08-25"
"palm sp.1","palm sp.1",,1,"John Wieczorek","2017-08-25"
"pandora X R. sp.","pandora X R. sp.",,1,"John Wieczorek","2017-08-25"
"PATZNERI N. SP.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"paulsoni ssp. tasmai","ssp.",,1,"John Wieczorek","2017-08-25"
"perlates (subsp.)","ssp.",,1,"John Wieczorek","2017-08-25"
"pipilodryas sp.","sp.",,1,"John Wieczorek","2017-08-25"
"plexa ssp. S","ssp.",,1,"John Wieczorek","2017-10-27"
"possibly gen","genus in question",,1,"John Wieczorek","2017-08-25"
"possibly gen +sp","genus, species in question",,1,"John Wieczorek","2017-08-25"
"possibly sp.","species in question",,1,"John Wieczorek","2017-08-25"
"potomacensis sp. nov.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"probable","id in question",,1,"John Wieczorek","2017-08-25"
"probably","id in question",,1,"John Wieczorek","2017-08-25"
"promotum sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"pronotum sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"pronotum sp. 2","sp.",,1,"John Wieczorek","2017-10-27"
"proserpina x Notropis sp.","proserpina X Notropis sp.",,1,"John Wieczorek","2017-08-25"
"Pseudolatochara sp. – Latochara sp.","Pseudolatochara sp. – Latochara sp.",,1,"John Wieczorek","2017-10-27"
"pupa sp. 2","sp.",,1,"John Wieczorek","2017-10-27"
"pupae sp. 1","sp.",,1,"John Wieczorek","2017-10-27"
"pupae sp. 3","sp.",,1,"John Wieczorek","2017-10-27"
"pupae sp. 4","sp.",,1,"John Wieczorek","2017-10-27"
"pupae sp. 5","sp.",,1,"John Wieczorek","2017-10-27"
"pupae sp. 6","sp.",,1,"John Wieczorek","2017-10-27"
"Q sp","species in question",,1,"John Wieczorek","2017-08-25"
"quadrimucronatus ssp. indet.","ssp.",,1,"John Wieczorek","2017-08-25"
"ramose sp.","sp.",,1,"John Wieczorek","2017-10-27"
"regani (n. ssp.)","ssp. nov.",,1,"John Wieczorek","2017-08-25"
"regularis x sp.","regularis x sp.",,1,"John Wieczorek","2017-08-25"
"remarks:2 = W.D. Dodd. No. 451.B1002, B1003 PARATYPES of Pachycephala rufiventris minor, Zietz, 1914 (see SAOA 1(1):15. W.D. Dodd No. 519.",,,1,"John Wieczorek","2017-08-25"
"rhamnophyll sp.1","sp.",,1,"John Wieczorek","2017-08-25"
"rhina,binoculata,inornata","species in question",,1,"John Wieczorek","2017-08-25"
"rw sp. 18","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 23","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 25","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 26","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 28","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 34","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 50","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 62","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp. 68","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp.36","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp.50","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp.62","sp.",,1,"John Wieczorek","2017-08-25"
"rw sp.63","sp.",,1,"John Wieczorek","2017-08-25"
"S. ellioti X G. sp.","S. ellioti X G. sp.",,1,"John Wieczorek","2017-08-25"
"s.l.sp.","sp.",,1,"John Wieczorek","2017-08-25"
"samara-sp. 2","sp.",,1,"John Wieczorek","2017-08-25"
"samara-sp.2","sp.",,1,"John Wieczorek","2017-08-25"
"Scinax lescurei sp. nov.","sp. nov.",,1,"John Wieczorek","2017-08-25"
"See notes for references",,,1,"John Wieczorek","2017-08-25"
"seed gen. A sp. A","gen. indet.",,1,"John Wieczorek","2017-08-25"
"seed gen. A sp. B","gen. indet.",,1,"John Wieczorek","2017-08-25"
"seed gen. B sp. A","gen. indet.",,1,"John Wieczorek","2017-08-25"
"seed gen. B sp. B","gen. indet.",,1,"John Wieczorek","2017-08-25"
"seed gen. C sp. A","gen. indet.",,1,"John Wieczorek","2017-08-25"
"seed gen. D sp. A","gen. indet.",,1,"John Wieczorek","2017-08-25"
"sensu lato","sensu lato",,1,"John Wieczorek","2017-08-25"
"sg ?","genus, species in question",,1,"John Wieczorek","2017-08-25"
"sg cf","cf.",,1,"John Wieczorek","2017-08-25"
"sg cf;sp cf","cf.",,1,"John Wieczorek","2017-08-25"
"Sigmodontinae",,,1,"John Wieczorek","2017-08-25"
"small",,,1,"John Wieczorek","2017-08-25"
"small sp.","sp.",,1,"John Wieczorek","2017-08-25"
"smooth sp.","sp.",,1,"John Wieczorek","2017-10-27"
"Some uncertainty as to identification","id in question",,1,"John Wieczorek","2017-08-25"
"sp","sp.",,1,"John Wieczorek","2017-08-25"
"sp ?","species in question",,1,"John Wieczorek","2017-08-25"
"sp cf","cf.",,1,"John Wieczorek","2017-08-25"
"sp cf. ss cf","cf.",,1,"John Wieczorek","2017-08-25"
"sp cf; worn","cf.",,1,"John Wieczorek","2017-08-25"
"SP D","sp.",,1,"John Wieczorek","2017-08-25"
"sp near","cf.",,1,"John Wieczorek","2017-08-25"
"sp nr","cf.",,1,"John Wieczorek","2017-08-25"
"sp.","sp.",,1,"John Wieczorek","2017-08-25"
"sp.  A","sp.",,1,"John Wieczorek","2017-10-27"
"sp.  SCI 170","sp.",,1,"John Wieczorek","2017-10-27"
