"verbatimDisposition","StandardDisposition","standard","checked"
"Discarded, June, 1971",,0,0
"Discarded, Mar 1909",,0,0
"Discarded, Mar 1942",,0,0
"Discarded, Nov 1937",,0,0
"Discarded, Oct 1920",,0,0
"Discarded, Oct 1955",,0,0
"Discarded, Oct 1966",,0,0
"Discarded, Oct. 1955",,0,0
"Discarded, October",,0,0
"Discarded, October 1966",,0,0
"Discarded, Sep 1893",,0,0
"Discarded, Sep 1893; Sent to Barro Colorado, 1926",,0,0
"Discarded, Sep 1908, by W.DeW.M., (Imperfect & hor",,0,0
"Discarded, Sep 1957",,0,0
"Discarded, worthless, 24 Dec 1903",,0,0
"Discarded: 10 Apr 1942 C.O.B.",,0,0
"Discarded: 20 Jul 1920",,0,0
"Discarded: 23 Feb 1962",,0,0
"Discarded: 23 Jul 1959",,0,0
"Discarded: 6 Oct 1954 J.F.",,0,0
"Discarded: Aug 1953",,0,0
"Discarded: Jun 1963 D.A.(partially crossed out); G",,0,0
"Discarded: Mar 1942",,0,0
"Discarded: May 1925",,0,0
"Discarded: Sep 1893",,0,0
"Discarding May 7, 1936",,0,0
"Dismounted for the Study Collection",,0,0
"Donated to Theodore Roosevelt Assoc. for perm. exh",,0,0
"Donated to Urban Park Rangers, Brooklyn, N.Y. - Ju",,0,0
"Donated to Urban Park Rangers, Brooklyn, N.Y.-July",,0,0
"Donated to Urban Park Rangers, Brooklyn, NY-July 1",,0,0
"Dr. George H. Lowery, Exch. to Louisiana State Uni",,0,0
"Dr. George M. Lowery, Exch. to Louisiana State Uni",,0,0
"Dr. Herman to D.G. Elliot & Aus. Mus.",,0,0
"Dublicate sent to Bombay Nat. Hist. Soc. March 193",,0,0
"Dublicate sent to Bombay Nat. Hist. Soc., March 19",,0,0
"Dublicate sent to British Museum, March 1938",,0,0
"Duplicate for Nat. Museum",,0,0
"Duplicate for U.S. Mus. Feb 1913",,0,0
"Duplicate for U.S. Nat. Mus. Feb 1913",,0,0
"Duplicate for U.S. Nat. Mus. Feb. 1913",,0,0
"Duplicate for U.S. nat. Mus. Nov 1912",,0,0
"Duplicate for U.S. Nat. Mus. Nov. 1912",,0,0
"Duplicate for U.S. National Mus. Feb 1913",,0,0
"Duplicate for U.S. National Mus. Nov 1912",,0,0
"Duplicate for U.S. National Mus. Nov. 1912",,0,0
"Duplicate for U.S. NBat. Mus. Nov 1912",,0,0
"Duplicate sent to Bombay Nat. Hist. Coc., March 19",,0,0
"Duplicate sent to Bombay Nat. Hist. So., March 193",,0,0
"Duplicate sent to Bombay Nat. Hist. Soc. 1938",,0,0
"Duplicate sent to Bombay Nat. Hist. Soc. March 193",,0,0
"Duplicate sent to Bombay Nat. Hist. Soc., March",,0,0
"Duplicate sent to Bombay Nat. Hist. Soc., March 19",,0,0
"Duplicate sent to Bombay Nat. Soc., March 1938",,0,0
"Duplicate sent to Bristish Museum, March 1938",,0,0
"Duplicate sent to British Museum, March 1938",,0,0
"duplicates elsewhere","duplicates elsewhere",1,1
"Ex with Cleveland mus, Feb 192[illeg]",,0,0
"Ex with S.I. Nov.27, 1889",,0,0
"Ex. - Tackapausha Museum",,0,0
"Ex. - with Walter Koelz - Apr 1926, University of ",,0,0
"Ex. April 18,1890 with Vienna Museum",,0,0
"Ex. Bonn. Mus.",,0,0
"Ex. Cleveland Mus. Feb 1926",,0,0
"Ex. Cleveland Mus., Feb 1926",,0,0
"Ex. dwith Imp.Col.Agr. Japan Oct.'08",,0,0
"Ex. Geo. E. Mason,July 1922",,0,0
"Ex. M.C.Z., Nov 1923",,0,0
"Ex. Mabel Osgood Wright, Feb 19, 1916",,0,0
"Ex. Mus. Comp. Zool.",,0,0
"Ex. Mus. U. So. Dakota",,0,0
"Ex. S.I. Nov. 27,1889",,0,0
"Ex. S.I. Nov.27,1889",,0,0
"Ex. Tackapausha Museum",,0,0
"Ex. Walter Koelz - Apr 1926",,0,0
"Ex. with [illeg.] April 5 1890",,0,0
"Ex. with [illeg], Feb 192[illeg]",,0,0
"Ex. with [illeg].[illeg]. Southwick",,0,0
"Ex. with A.I. Nov. 27,1889",,0,0
"Ex. with Ashley Hine, Baniff,alberta July 31, 1907",,0,0
"Ex. with Brown",,0,0
"Ex. with Brown Univ. 7/90",,0,0
"Ex. with Brown Univ. Oct 6/90",,0,0
"Ex. with Brown Univ. Oct 7/90",,0,0
"Ex. with Brown Univ. Oct. 7/90",,0,0
"Ex. with Brown Univ. Oct.7/90",,0,0
"Ex. with Brown Univ., Oct 7/90",,0,0
"Ex. with Brown Univ.,Oct.7/90",,0,0
"Ex. with C. Wunder, June 10, 1915",,0,0
"Ex. with C.A. Smith May 15/90",,0,0
"Ex. with C.B. Cory, Sep 1893",,0,0
"Ex. with C.E. Aiken, 19 Apr 1898",,0,0
"Ex. with Carlos Reeds Mendoza, 9 Feb 1917",,0,0
"Ex. with Carlos Reeds, Feb 1917",,0,0
"Ex. with Carlos Reeds, Mendoza Feb. 9, 1917",,0,0
"Ex. with Carlos Reeds, Mendoza, 9 Feb 1917",,0,0
"Ex. with Carlos Reeds, Mendoza, Feb 1917",,0,0
"Ex. with Carlos Reeds, Mendoza, Feb. 9, 1917",,0,0
"Ex. with Chicago Acad. Sci.",,0,0
"Ex. with Cleveland mus, Feb 1[illeg][illeg][illeg]",,0,0
"Ex. with Cleveland mus, Feb 19[illeg][illeg]",,0,0
"Ex. with Cleveland mus, Feb 192[illeg]",,0,0
"Ex. with Cleveland mus, Feb 1926",,0,0
"Ex. with Cleveland Mus. Feb 1926",,0,0
"Ex. with Cleveland Mus. Feb. 1920 [illeg.]",,0,0
"Ex. with Cleveland Mus. Feb. 1926",,0,0
"Ex. with Cleveland Mus. Feb. 1928",,0,0
"Ex. with Cleveland mus., Feb [illeg]",,0,0
"Ex. with Cleveland mus., Feb 192[illeg]",,0,0
"Ex. with Cleveland mus., Feb 1926",,0,0
"Ex. with Cleveland mus., Feb 1926; Fla. St. Univ.",,0,0
"Ex. with Cleveland Mus., Feb. 1926",,0,0
"Ex. with Cleveland Museum, Feb 1926",,0,0
"Ex. with Cleveland, Feb 1926",,0,0
"Ex. with Dr. L.C. Sanford Sept 1917",,0,0
"Ex. with Dr. Rusby",,0,0
"Ex. with Dr. Rusby, 7/8/1896",,0,0
"Ex. with Dr. Rusby, 8 Jul 1996",,0,0
"Ex. with Dr. Rushy 8/8/96; Returned Via Exchange w",,0,0
"Ex. with E.T. Seton, May 24, 1928",,0,0
"Ex. with F.O. Johnson May 20, 1889",,0,0
"Ex. with F.O. Johnson May 20, 1890",,0,0
"Ex. with F.O. Johnson May 20, 1989",,0,0
"Ex. with F.O. Johnson, May 20, 1889",,0,0
"Ex. with F.O. Johnson, May 30, 1889",,0,0
"Ex. with G. [illeg][illeg]h[illeg], 28 Apr 18[ille",,0,0
"Ex. with g. Kohn Apr 28,'80",,0,0
"Ex. with G. Kohn Apr.28,1890",,0,0
"Ex. with G. Kohn April 18 ]illeg.]",,0,0
"Ex. with G. Kohn Nov 29/90",,0,0
"Ex. with G. Kohn Nov. 29/90",,0,0
"Ex. with G. Kohn Nov.29/90",,0,0
"Ex. with G. Kohn, Apr 28,'90",,0,0
"Ex. with G.Kohn Apr 28 [illeg.]",,0,0
"Ex. with G.Kohn Apr 28,'90",,0,0
"Ex. with G.Kohn Apr.28'90",,0,0
"Ex. with G.Kohn Nov 29/90",,0,0
"Ex. with G.Kohn Nov. 30/90",,0,0
"Ex. with G.Kohn Nov.29/90",,0,0
"Ex. with G.Kohn Nov29/90",,0,0
"Ex. with H.K.Coale,Chicago Ill. April 24,1907",,0,0
"Ex. with Imp.Col.Agr. Japan Oct.'08",,0,0
"Ex. with Imp.Col.Agr. Japan Oct'08",,0,0
"Ex. with Imp.Col.Agr.,Japan Dec.'09",,0,0
"Ex. with John Whitehead Sep. 12/90",,0,0
"Ex. with John Whitehead Sept 12/90",,0,0
"Ex. with John Whitehead Sept. 12/90",,0,0
"Ex. with John Whitehead, 12 Sep 1890",,0,0
"Ex. with John Whitehead, Sept 13/90",,0,0
"Ex. with Kn[illeg], S & Co. [illeg]2/28.00",,0,0
"Ex. with Kny S & Co.",,0,0
"Ex. with Kny S & Co., 12/28/00",,0,0
"Ex. with Kny S. & Co., 12/28/00",,0,0
"Ex. with Kny, S & Co., 12/28/00",,0,0
"Ex. with Kny, S. & Co.",,0,0
"Ex. with Kny[illeg] S & Co.",,0,0
"Ex. with Louis",,0,0
"Ex. with Louis Molnar Sept 10 1890",,0,0
"Ex. with Louis Molnar Sept 10, 1890",,0,0
"Ex. with Louis Molnar Sept 10,1890",,0,0
"Ex. with Louis Molnar Sept 1890",,0,0
"Ex. with Louis Molnar Sept. 10 1890",,0,0
"Ex. with Louis Molnar Sept. 10, 1890",,0,0
"Ex. with Louis Molnar Sept. 10,1890",,0,0
"Ex. with Louis Molnar Sept. 19,1890",,0,0
"Ex. with Louis Molnar Sept.10 1890",,0,0
"Ex. with Louis Molnar Sept.10,1890",,0,0
"Ex. with Louis Molnar, 10 Sep 18[illeg]0",,0,0
"Ex. with Louis Molnar, 10 Sep 1890",,0,0
"Ex. with Louis Molnar, Sep.10,1890",,0,0
"Ex. with Louis Molnar, Sept 10, 1890",,0,0
"Ex. with Louis Molnar, Sept 10,1890",,0,0
"Ex. with Louis Molnar, Sept. 10,1890",,0,0
"Ex. with Louis Molnar, Sept.10,1890",,0,0
"Ex. with Louis Molnar,Sept. 10,1890",,0,0
"Ex. with Louis Molnar,Sept.10,1890",,0,0
"Ex. with M.C.Z., Nov 3, 1913",,0,0
"Ex. with Mr. E.T. Seton May 24,1928",,0,0
"Ex. with P.L. Sclater, Sep 1893",,0,0
"Ex. with P.L. Sclater, Sep 1893; Exch. Museo Nacio",,0,0
"Ex. with P.L. Sclater, Sep 1893; Exch. with H.K. C",,0,0
"Ex. with R. Mainerznagen June 1924",,0,0
"Ex. with R. Meinernagen June 1924",,0,0
"Ex. with R. Meinerzanagen June 1924",,0,0
"Ex. with R. Meinerzhagen [illeg.] June 1924",,0,0
"Ex. with R. Meinerzhagen, Jun 1[illeg][illeg]4",,0,0
"Ex. with R. Meinerzhagen, Jun 1924",,0,0
"Ex. with R. Meinerzhagen, June 1924",,0,0
"Ex. with R. Meinerznagen June [illeg. ?]",,0,0
"Ex. with R. Meinerznagen June 1921",,0,0
"Ex. with R. Meinerznagen June 1924",,0,0
"Ex. with R. Meinerznagen, June 1924",,0,0
"Ex. with R.C. Mc Gregor, Mar 1898",,0,0
"Ex. with Rusby, 7/8/1896",,0,0
"Ex. with S.I. Dec.9/89 in return [illeg.]",,0,0
"Ex. with S.I. Nov 27 1889",,0,0
"Ex. with S.I. Nov 27, 1880",,0,0
"Ex. with S.I. Nov 27, 1889",,0,0
"Ex. with S.I. Nov 27,1889",,0,0
"Ex. with S.I. Nov. 1889",,0,0
"Ex. with S.I. Nov. 27, 1889",,0,0
"Ex. with S.I. Nov. 27, 1890",,0,0
"Ex. with S.I. Nov. 27,1889",,0,0
"Ex. with S.I. Nov. 27,1889; Return  [illeg.] -as w",,0,0
"Ex. with S.I. Nov.27, 1889",,0,0
"Ex. with S.I. Nov.27,1880",,0,0
"Ex. with S.I. Nov.27,1889",,0,0
"Ex. with S.I. Nov.27,1889; Given to Brooklyn Museu",,0,0
"Ex. with S.I. Nov.27,1890",,0,0
"Ex. with S.I. Nov.27,29/90",,0,0
"Ex. with Stockholm N.H. Mus., May 1927",,0,0
"Ex. with U.S. Nat. Mus., Sep 1893",,0,0
"Ex. with Vienna Museum April 15,1890",,0,0
"Ex. with Vienna Museum, April 15,1890",,0,0
"Ex. with W. Wheeler May 1920 [illeg.]",,0,0
"Ex. with W.[illeg]. Wheeler, May 1924",,0,0
"Ex. with W.C. Wheeler May 1924",,0,0
"Ex. with W.C. Wheeler May 1924 [illeg.]",,0,0
"Ex. with W.C. Wheeler, May 1924",,0,0
"Ex. with Walter Koelz, April 26,-University of Mic",,0,0
"Ex.-Academy of Natural Sciences, April 1928",,0,0
"Ex.-Tackapausha Museum",,0,0
"Ex.with Cleveland Mus. Feb. 1926",,0,0
"Ex.with Louis Molnar, Sept. 10 [illeg.]",,0,0
"Exc. Bonn. Mus.",,0,0
"Exc. Bonn. Mus., 1960",,0,0
"Excg. sent to Berlin Zool. Mus. Jan 8, 1932",,0,0
"Exch - Chicago Nat. Hist. Mus. 6 Aug 1959",,0,0
"Exch - Mr Starrs Olson",,0,0
"Exch - Tackapausha Museum",,0,0
"Exch A. Koenig Museum",,0,0
"Exch Birdcraft Sanctuary, Fairfield, Conn., Mar 19",,0,0
"Exch Brit. Mus. Sept 1927",,0,0
"Exch Cleveland Museum, Jun 1923",,0,0
"Exch for Drymocichla incana 160935",,0,0
"Exch Nat Mus Kenya - Aug 1983",,0,0
"Exch Nat Mus Kenya, Aug 1983",,0,0
"Exch Phila.Acad.Nat.Sci.",,0,0
"Exch sent to Berlin Zool. Mus., Jan 8, 1932",,0,0
"Exch sent to Bishop Museum Jan 21, 1932",,0,0
"Exch sent to Cleveland Mus. Jan 6, 1932",,0,0
"Exch sent to U.S. National Museum",,0,0
"Exch To Alex Walker, 1961",,0,0
"Exch to Carnegie Museum Jan 1932",,0,0
"Exch to N.Y. Sci. Supply",,0,0
"Exch to Rothschild and renumbered 700712 on return",,0,0
"Exch to U.S. National Museum, Jan 1932",,0,0
"Exch to Zool. Mus. Copenhagen May 1959",,0,0
"Exch U.S. Nat. Mus. July 1921",,0,0
"Exch with Carnegie Mus. June 14, 1929",,0,0
"Exch with Cleveland Feb 1926",,0,0
"Exch with Dr. L.C. Sanford, Nov 1921",,0,0
"Exch with Imp. Col. Agr. Japan Dec 1909",,0,0
"Exch with Imp. Col. Agr. Japan, Dec 1909",,0,0
"Exch with Imp. Col. Agr. Japan, Oct [illeg]",,0,0
"Exch with Imp. Col. Agr. Japan, Oct 190[illeg]",,0,0
"Exch with Imp. Col. Agr. Japan, Oct 1908",,0,0
"Exch with Imp.Col.Agr. Japan Oct.'08",,0,0
"Exch with Mr. E.T. Seton, 24 May 1928",,0,0
"Exch with Phila.Acad.Nat.Sci. July 1928",,0,0
"Exch with R.B. Cowles",,0,0
"Exch with Stockholm N.H. Museum, May 1927",,0,0
"Exch.",,0,0
"Exch. - Dr. Carlos Alberto Campos Seabra",,0,0
"Exch. - Dr. Streseman - Berlin Museum - May 1927",,0,0
"Exch. - Dr. Stresemann - Berlin Museum - May 1927",,0,0
"Exch. - Mr. Starrs Olson",,0,0
"Exch. - Stockholm Nat. History Museum, May 1927",,0,0
"Exch. - Tacka pausha Museum - Gift of C.S. Davenpo",,0,0
"Exch. - Tackapausha Museum",,0,0
"Exch. - U of Florida - 1967",,0,0
"Exch. - U. of Florida - 1967",,0,0
"Exch. [illeg]at Mus Kenya Aug 1983",,0,0
"Exch. A. Koenig Museum",,0,0
"Exch. Ashley Hine, Banff, Alberta, 31 Jul 1907",,0,0
"Exch. Bird craft Sanctuary, Fairfield, Conn. March",,0,0
"Exch. Birdcraft Sanctuary, Fairfield Conn. March 1",,0,0
"Exch. Birdcraft Sanctuary, Fairfield Conn., March ",,0,0
"Exch. Birdcraft Sanctuary, Fairfield, Conn.",,0,0
"Exch. Birdcraft Sanctuary, Fairfield, Conn. 1923",,0,0
"Exch. Birdcraft Sanctuary, Fairfield, Conn. March ",,0,0
"Exch. Birdcraft Sanctuary, Fairfield, Conn., Mar 1",,0,0
"Exch. Birdcraft Sanctuary, Mar 1923",,0,0
"Exch. Birdcraft Sanctuary, March 1923",,0,0
"Exch. Birdcraft Sanctuay, Conn. March 1923",,0,0
"Exch. Bonn. Mus. 1960",,0,0
"Exch. Bristish Mus. May 1921",,0,0
"Exch. Brit Mus., May 1921",,0,0
"Exch. Brit Mus., Sept 1927",,0,0
"Exch. Brit Museum May 1921",,0,0
"Exch. Brit. Mus. 13 II 53",,0,0
"Exch. Brit. Mus. May 1921",,0,0
"Exch. Brit. Mus. Sep 1927",,0,0
"Exch. Brit. Mus. Sept 1927",,0,0
"Exch. Brit. Mus. Sept. 1927",,0,0
"Exch. Brit. Mus., May 1921",,0,0
"Exch. Brit. Mus., Sep 1927",,0,0
"Exch. Brit. Mus., Sept 1927",,0,0
"Exch. Brit. Mus.,Sept 1927",,0,0
"Exch. Brit. Mus.-Sept 1927",,0,0
"Exch. Brit. Muse. Sept. 1927",,0,0
"Exch. Brit. Museum",,0,0
"Exch. Brit. Museum May 1921",,0,0
"Exch. Brit. Museum Sept 1927",,0,0
"Exch. Brit. Museum, May 1921",,0,0
"Exch. Brit. Museum, Sept 1927",,0,0
"Exch. British Mus. May, 1921",,0,0
"Exch. British Mus., May 1921",,0,0
"Exch. British Muse., May 1921",,0,0
"Exch. British Museum, Aug 1919",,0,0
"Exch. British Museum, May 1921",,0,0
"Exch. British Museum, May, 1921",,0,0
"Exch. BritMus. Sept. 1927",,0,0
"Exch. Cleveland Mus. Feb 1926",,0,0
"Exch. Cleveland Mus. Feb. 1926",,0,0
"Exch. Cleveland Museum June 1920",,0,0
"Exch. Cleveland Museum June 1923",,0,0
"Exch. Cleveland Museum June 1927",,0,0
"Exch. Cleveland Museum, Jun 1923",,0,0
"Exch. Cleveland Museum, Jun 1927",,0,0
"Exch. Cleveland Museum, June 1923",,0,0
"Exch. Cleveland Museum, June 1927",,0,0
"Exch. Count von Belepsch, Feb.'05",,0,0
"Exch. Count von Berlepach, Feb.'05",,0,0
