verbatimTypeStatus	standardTypeStatus	standard	checked
Holotype of Monodelphis brevicaudata ((Erxleben))	holotype	0	1
Holotype of Monodelphis sanctaerosae (Voss)	holotype	0	1
Holotype of Monophyllus plethodon frater (Anthony)	holotype	0	1
Holotype of Mops brachypterus leonis ((The Coryndon Museum))	holotype	0	1
Holotype of Mops condylurus ((Smith))	holotype	0	1
Holotype of Mops demonstrator ((The Coryndon Museum))	holotype	0	1
Holotype of Mops nanulus (Allen)	holotype	0	1
Holotype of Mops niangarae	holotype	0	1
Holotype of Mops niveiventer (Cabrera & Ruxton)	holotype	0	1
Holotype of Mops sarasinorum lanei ((Taylor))	holotype	0	1
Holotype of Mops thersites ((The Coryndon Museum))	holotype	0	1
Holotype of Mops trevori	holotype	0	1
Holotype of Mormopterus minutus ((Miller))	holotype	0	1
Holotype of Muntiacus muntjak nigripes	holotype	0	1
Holotype of Murexechinus wilhelmina	holotype	0	1
Holotype of Mus musculus	holotype	0	1
Holotype of Mus musculus (Linneaus)	holotype	0	1
Holotype of Mus musculus brevirostris (Waterhouse)	holotype	0	1
Holotype of Mus musculus musculus (Linneaus)	holotype	0	1
Holotype of Mus musculus tantillus (Allen)	holotype	0	1
Holotype of Mus pahari pahari (The Coryndon Museum)	holotype	0	1
Holotype of Mus triton	holotype	0	1
Holotype of Mustela erminea richardsonii (Bonaparte)	holotype	0	1
Holotype of Mustela frenata arizonensis	holotype	0	1
Holotype of Mustela frenata arizonensis ((Mearns))	holotype	0	1
Holotype of Mustela frenata boliviensis	holotype	0	1
Holotype of Mustela frenata effera	holotype	0	1
Holotype of Mustela frenata nicaraguae (Allen)	holotype	0	1
Holotype of Mustela frenata spadix ((Bangs))	holotype	0	1
Holotype of Mustela frenata texensis	holotype	0	1
Holotype of Mustela rixosa pygmaea (Allen)	holotype	0	1
HOLOTYPE OF MYIARCHUS FEROX ORENOCENSIS, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 293, PUBLISHED 15 FEBRUARY 1952.	holotype	0	1
HOLOTYPE OF MYIARCHUS FORTIROSTRIS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 171, PUBLISHED 8 AUGUST 1913.	holotype	0	1
HOLOTYPE OF MYIARCHUS SORDIDUS, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 96, PUBLISHED 6 JUNE 1916.	holotype	0	1
HOLOTYPE OF MYIARCHUS TUBERCULIFER MANENS, PARKES, K. C. 1982. PARALLEL GEOGRAPHIC VARIATION IN THREE MYIARCHUS FLYCATCHERS IN THE YUCATAN PENINSULA AND ADJACENT AREAS (AVES: TYRANNIDAE). ANNALS CARNEGIE MUSEUM, 1-16. PAGE 9, PUBLISHED 6 MAY 1982.	holotype	0	1
HOLOTYPE OF MYIARCHUS TYRANNULUS COZUMELAE, PARKES, K. C. 1982. PARALLEL GEOGRAPHIC VARIATION IN THREE MYIARCHUS FLYCATCHERS IN THE YUCATAN PENINSULA AND ADJACENT AREAS (AVES: TYRANNIDAE). ANNALS CARNEGIE MUSEUM, 1-16. PAGE 6, PUBLISHED 6 MAY 1982.	holotype	0	1
HOLOTYPE OF MYIARCHUS YUCATANENSIS LANYONI, PARKES, K. C., AND A. R. PHILLIPS. 1967. A NEW SUBSPECIES OF THE YUCATAN FLYCATCHER MYIARCHUS YUCATANENSIS. CONDOR, 78-81. PAGE 80, PUBLISHED JANUARY 1967.	holotype	0	1
HOLOTYPE OF MYIARCHUS YUCATANENSIS NAVAI, PARKES, K. C. 1982. PARALLEL GEOGRAPHIC VARIATION IN THREE MYIARCHUS FLYCATCHERS IN THE YUCATAN PENINSULA AND ADJACENT AREAS (AVES: TYRANNIDAE). ANNALS CARNEGIE MUSEUM, 1-16. PAGE 3, PUBLISHED 6 MAY 1982.	holotype	0	1
HOLOTYPE OF MYIOBIUS BARBATUS AMAZONICUS, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA. PROC. BIOL. SOC. WASH., 91-100. PAGE 96, PUBLISHED 15 JULY 1925.	holotype	0	1
HOLOTYPE OF MYIOBIUS ERYTHRURUS PURUSIANUS, PARKES, K. C., AND R. K. PANZA. 1993. A NEW AMAZONIAN SUBSPECIES OF THE RUDDY-TAILED FLYCATCHER MYIOBIUS (TERENOTRICCUS) ERYTHRURUS. BULL. BRIT. ORN. CLUB, 21-23. PAGE 22, PUBLISHED 30 MARCH 1993.	holotype	0	1
HOLOTYPE OF MYIOBIUS MODESTUS SUFFUSUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 4, PUBLISHED 22 JANUARY 1917.	holotype	0	1
HOLOTYPE OF MYIOBIUS MODESTUS, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 207, PUBLISHED 20 MAY 1912.	holotype	0	1
HOLOTYPE OF MYIOBIUS SEMIFLAVUS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 114, PUBLISHED 27 JUNE 1919.	holotype	0	1
HOLOTYPE OF MYIOCHANES ARDOSIACUS POLIOPTILUS, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 208, PUBLISHED 20 MAY 1912.	holotype	0	1
HOLOTYPE OF MYIODYNASTES CHRYSOCEPHALUS CINERASCENS, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 209, PUBLISHED 20 MAY 1912.	holotype	0	1
HOLOTYPE OF MYIONECTES OLIVACEUS IMPROVISUS, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 304, PUBLISHED 15 FEBRUARY 1952.	holotype	0	1
HOLOTYPE OF MYIOPAGIS VIRIDICATA RESTRICTA, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 302, PUBLISHED 15 FEBRUARY 1952.	holotype	0	1
HOLOTYPE OF MYIOZETETES GRANADENSIS OBSCURIOR, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA. PROC. BIOL. SOC. WASH., 91-100. PAGE 95, PUBLISHED 15 JULY 1925.	holotype	0	1
Holotype of Myodes gapperi gapperi ((Vigors))	holotype	0	1
Holotype of Myoprocta acouchy ((Erxleben & Erxleben))	holotype	0	1
Holotype of Myoprocta acouchy milleri (Allen)	holotype	0	1
Holotype of Myospalax fontanieri cansus ((Lyons))	holotype	0	1
HOLOTYPE OF MYOSPIZA AURIFRONS MERIDIONALIS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 71, PUBLISHED 30 DECEMBER 1920.	holotype	0	1
HOLOTYPE OF MYOSPIZA HUMERALIS MERIDANUS, TODD, W. E. C. 1917. NEW GENERA, SPECIES, AND SUBSPECIES OF SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 127-130. PAGE 127, PUBLISHED 27 JULY 1917.	holotype	0	1
Holotype of Myotis chinensis chinensis	holotype	0	1
Holotype of Myotis cobanensis (Goodwin)	holotype	0	1
Holotype of Myotis evotis evotis ((Allen))	holotype	0	1
Holotype of Myotis frater eniseensis (Tsytsulina & Strelkov, 2001)	holotype	0	1
Holotype of Myotis frater frater (Allen)	holotype	0	1
Holotype of Myotis horsfieldii jeannei (Taylor)	holotype	0	1
Holotype of Myotis keaysi keaysi (Allen)	holotype	0	1
Holotype of Myotis martiniquensis martiniquensis (LaVal)	holotype	0	1
Holotype of Myotis muricola (The Coryndon Museum)	holotype	0	1
Holotype of Myotis muricola browni (Taylor)	holotype	0	1
Holotype of Myotis muricola herrei (Taylor)	holotype	0	1
Holotype of Myotis nesopolus larensis (LaVal)	holotype	0	1
Holotype of Myotis nigricans caucensis (Allen)	holotype	0	1
Holotype of Myotis nigricans nigricans ((Schinz))	holotype	0	1
Holotype of Myotis nigricans punensis (Allen)	holotype	0	1
Holotype of Myotis velifer incautus	holotype	0	1
Holotype of Myotis velifer incautus ((Allen))	holotype	0	1
Holotype of Myotis velifer velifer	holotype	0	1
Holotype of Myotis velifer velifer ((Allen))	holotype	0	1
Holotype of Myotis yumanensis sociabilis (Grinnell, 1914)	holotype	0	1
Holotype of Myotis yumanensis yumanensis ((Allen))	holotype	0	1
Holotype of Myoxus glis petruccii ((Goodwin))	holotype	0	1
HOLOTYPE OF MYRMECIZA LAEMOSTICTA PALLIATA, TODD, W. E. C. 1917. NEW GENERA, SPECIES, AND SUBSPECIES OF SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 127-130. PAGE 129, PUBLISHED 27 JULY 1917.	holotype	0	1
HOLOTYPE OF MYRMECIZA SCHISTACEA, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 172, PUBLISHED 8 AUGUST 1913.	holotype	0	1
HOLOTYPE OF MYRMECIZA ZELEDONI AFFINIS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 172, PUBLISHED 8 AUGUST 1913.	holotype	0	1
HOLOTYPE OF MYRMEDESTES FERRUGINEUS ELUTUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 172, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMELASTES FORTIS INCANESCENS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 169, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOBORUS ARDESIACUS PROXIMUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 163, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOBORUS ARDESIACUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 163, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOBORUS MYOTHERINUS INCANUS, HELLMAYR, C. E. 1929. ON HETEROGYNISM IN FORMICARIAN BIRDS. J. FUR ORNITHOLOGIE, 40-70. PAGE 55, PUBLISHED 29 OCTOBER 1929.	holotype	0	1
HOLOTYPE OF MYRMOBORUS STICTOPTERUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 162, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOPAGIS PARAENSIS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 73, PUBLISHED 30 DECEMBER 1920.	holotype	0	1
HOLOTYPE OF MYRMOPHYLAX STICTOTHORAX, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 173, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERA CAMPANISOMA SUBCANESCENS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 176, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERULA FULVIVENTRIS COSTARICENSIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 156, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERULA HAEMATONOTA PHAEONOTA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 157, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERULA IHERINGI HETEROPTERA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 158, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERULA KLAGESI, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 155, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERULA LEUCOPHTHALMA SORDIDA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 156, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERULA MENETRIESII OMISSA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 158, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
HOLOTYPE OF MYRMOTHERULA OCHROGYNA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 157, PUBLISHED 2 DECEMBER 1927.	holotype	0	1
Holotype of Naemorhedus sumatraensis ((Bechstein))	holotype	0	1
Holotype of Nasua narica ((Linneaus))	holotype	0	1
Holotype of Nasua nasua ((Linneaus))	holotype	0	1
Holotype of Nasuella olivacea lagunetae ((Allen))	holotype	0	1
Holotype of Natalus stramineus jamaicensis (Goodwin)	holotype	0	1
Holotype of Natalus stramineus primus (Anthony)	holotype	0	1
Holotype of Natalus tumidirostris haymani (Goodwin, 1959)	holotype	0	1
HOLOTYPE OF NATRIX CYCLOPION FLORIDANA	holotype	0	1
HOLOTYPE OF NATRIX DENDROPHIOPS NEGROSENSIS, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:356	holotype	0	1
HOLOTYPE OF NATRIX FASCIATA CONFLUENS	holotype	0	1
HOLOTYPE OF NATRIX RHOMBIFERA BLANCHARDI, CLAY, 1938, ANN. CARNEGIE MUS., 27:251	holotype	0	1
HOLOTYPE OF NATRIX RHOMBIFERA BLANCHARDI, CLAY, 1938, ANN. CARNEGIEMUS., 27:251	holotype	0	1
HOLOTYPE OF NATRIX SIPEDON INSULARUM	holotype	0	1
Holotype of Neacomys dubosti	holotype	0	1
Holotype of Neacomys tenuipes (The Coryndon Museum)	holotype	0	1
Holotype of Nectomys palmipes	holotype	0	1
Holotype of Nectomys squamipes tatei	holotype	0	1
HOLOTYPE OF NECTURUS MACULOSUS STICTUS	holotype	0	1
HOLOTYPE OF NEMOSIA PILEATA HYPOLEUCA, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 95, PUBLISHED 6 JUNE 1916.	holotype	0	1
HOLOTYPE OF NEOMORPHUS LEPIDOPHANES, TODD, W. E. C. 1925. FOUR NEW BIRDS FROM BRAZIL. PROC. BIOL. SOC. WASH., 111-114. PAGE 112, PUBLISHED 13 NOVEMBER 1925.	holotype	0	1
HOLOTYPE OF NEOMORPHUS SQUAMIGER, TODD, W. E. C. 1925. FOUR NEW BIRDS FROM BRAZIL. PROC. BIOL. SOC. WASH., 111-114. PAGE 112, PUBLISHED 13 NOVEMBER 1925.	holotype	0	1
Holotype of Neonycteris pusilla	holotype	0	1
Holotype of Neotoma albigula	holotype	0	1
Holotype of Neotoma albigula durangae (Allen)	holotype	0	1
Holotype of Neotoma anthonyi	holotype	0	1
Holotype of Neotoma chrysomelas	holotype	0	1
Holotype of Neotoma cinerea cinnamomea	holotype	0	1
Holotype of Neotoma cinerea cinnamomea (Allen)	holotype	0	1
Holotype of Neotoma cinerea orolestes (Merriam)	holotype	0	1
Holotype of Neotoma cinerea rupicola	holotype	0	1
Holotype of Neotoma cinerea rupicola (Allen)	holotype	0	1
Holotype of Neotoma floridana attwateri	holotype	0	1
Holotype of Neotoma floridana attwateri (Mearns)	holotype	0	1
Holotype of Neotoma floridana campestris	holotype	0	1
Holotype of Neotoma floridana campestris (Allen)	holotype	0	1
Holotype of Neotoma micropus	holotype	0	1
Holotype of Nesokia indica indica (Gray)	holotype	0	1
Holotype of Neusticomys monticolus	holotype	0	1
Holotype of Neusticomys venezuelae ((Anthony))	holotype	0	1
Holotype of Niviventer fulvescens ((Gray))	holotype	0	1
Holotype of Noctilio albiventris cabrerai (Davis, 1976)	holotype	0	1
HOLOTYPE OF NONNULA FRONTALIS PALLESCENS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 116, PUBLISHED 27 JUNE 1919.	holotype	0	1
HOLOTYPE OF NONNULA RUBECULA SIMPLEX, TODD, W. E. C. 1937. NEW SOUTH AMERICAN BIRDS. ANNALS CARNEGIE MUSEUM, 243-255. PAGE 248, PUBLISHED 16 NOVEMBER 1937.	holotype	0	1
HOLOTYPE OF NONNULA RUBECULA SIMULATRIX, PARKES, K. C. 1970. THE RACES OF THE RUSTY-BREASTED NUNLET (NONNULA RUBECULA). BULL. BRIT. ORN. CLUB, 154-157. PAGE 155, PUBLISHED 21 DECEMBER 1970.	holotype	0	1
HOLOTYPE OF NUMIDA MELEAGRIS BODALYAE, BOULTON, R. 1934. NEW BIRDS FROM ANGOLA. PROC. BIOL. SOC. WASH., 45-48. PAGE 45, PUBLISHED 9 FEBRUARY 1934.	holotype	0	1
Holotype of Nyctalus noctula vetulinus (Allen)	holotype	0	1
Holotype of Nyctanassa violacea bancrofti	holotype	0	1
Holotype of Nycteris hispida ((Schreber & Schreber, 1775))	holotype	0	1
Holotype of Nycteris major ((Andersen & Andersen, 1912))	holotype	0	1
Holotype of Nyctinomops laticaudatus ferruginea ((Goodwin))	holotype	0	1
Holotype of Nyctinomops macrotis ((Gray))	holotype	0	1
HOLOTYPE OF NYCTIPOLUS MACULOSUS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 74, PUBLISHED 30 DECEMBER 1920.	holotype	0	1
HOLOTYPE OF NYSTACTES TAMATIA INEXPECTATUS, TODD, W. E. C. 1943. STUDIES IN THE JACAMARS AND PUFF-BIRDS. ANNALS CARNEGIE MUSEUM, 1-18. PAGE 14, PUBLISHED 20 OCTOBER 1943.	holotype	0	1
HOLOTYPE OF NYSTACTES TAMATIA PUNCTULIGER, TODD, W. E. C. 1943. STUDIES IN THE JACAMARS AND PUFF-BIRDS. ANNALS CARNEGIE MUSEUM, 1-18. PAGE 14, PUBLISHED 20 OCTOBER 1943.	holotype	0	1
HOLOTYPE of occulta	holotype	0	1
HOLOTYPE OF OCEANODROMA KAEDINGI, ANTHONY, A. W. 1898. TWO NEW BIRDS FROM THE PACIFIC COAST OF AMERICA. AUK, 36-38. PAGE 37, PUBLISHED JANUARY 1898.	holotype	0	1
Holotype of Oceanodroma monteiroi (Bolton et al.,  Oct 2008)	holotype	0	1
Holotype of Ochotona hyperborea coreana (Allen & Andrews)	holotype	0	1
Holotype of Ochotona hyperborea kolymensis (Allen)	holotype	0	1
Holotype of Ochotona princeps cinnamomea (Allen)	holotype	0	1
Holotype of Ochotona princeps flgginsi (Allen)	holotype	0	1
Holotype of Ochotona thibetana osgoodi (Anthony)	holotype	0	1
HOLOTYPE OF OCREATUS UNDERWOODI POLYSTICTUS, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 347, PUBLISHED 31 DECEMBER 1942.	holotype	0	1
Holotype of Odocoileus virginianus chiriquensis (Allen)	holotype	0	1
Holotype of Odocoileus virginianus couesi ((Coues & Yarrow))	holotype	0	1
Holotype of Odocoileus virginianus gymnotis ((Wiegmann))	holotype	0	1
Holotype of Odocoileus virginianus sinaloae (Allen)	holotype	0	1
HOLOTYPE OF ODONTOPHORUS CAPISTRATUS, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 215, PUBLISHED 26 NOVEMBER 1932.	holotype	0	1
HOLOTYPE OF ODONTOPHORUS VARIEGATUS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 116, PUBLISHED 27 JUNE 1919.	holotype	0	1
Holotype of Oecomys bicolor (The Coryndon Museum)	holotype	0	1
Holotype of Oecomys flavicans (The Coryndon Museum)	holotype	0	1
Holotype of Oecomys paricola ((The Coryndon Museum))	holotype	0	1
Holotype of Oecomys rutilus	holotype	0	1
Holotype of Oecomys speciosus	holotype	0	1
Holotype of Oecomys speciosus ((Allen & Chapman))	holotype	0	1
Holotype of Oecomys superans (The Coryndon Museum)	holotype	0	1
Holotype of Oecomys trinitatis ((Allen & Chapman))	holotype	0	1
HOLOTYPE OF OEDIPINA TAYLORI	holotype	0	1
HOLOTYPE OF OEDIPUS CUCHUMATANUS	holotype	0	1
HOLOTYPE OF OEDIPUS LINCOLNI	holotype	0	1
HOLOTYPE OF OEDIPUS MOSAUERI	holotype	0	1
HOLOTYPE OF OEDIPUS ODONNELLI	holotype	0	1
HOLOTYPE OF OF HAZELIA SPINOSA, TAYLOR, 1920, PHILIPPINE JOUR. SCI. 16:292	holotype	0	1
Holotype of Olallamys albicauda ((Gunther))	holotype	0	1
Holotype of Oligoryzomys eliurus (Wagner)	holotype	0	1
Holotype of Oligoryzomys fulvescens	holotype	0	1
Holotype of Oligoryzomys fulvescens ((Saussure))	holotype	0	1
Holotype of Oligoryzomys fulvescens costaricensis	holotype	0	1
Holotype of Oligoryzomys microtis ((Allen))	holotype	0	1
Holotype of Ondatra zibethicus pallidus	holotype	0	1
Holotype of Ondatra zibethicus zibethicus	holotype	0	1
Holotype of Onychomys leucogaster fuscogriseus	holotype	0	1
HOLOTYPE OF OPHEODRYS AESTIVUS CONANTI, GROBMAN, 1984, BULL. FLORIDA STATE MUS. BIOL. SCI., 29(4):166	holotype	0	1
HOLOTYPE OF OPHEODRYS VERNALIS BLANCHARDI	holotype	0	1
HOLOTYPE OF OPIPEUTER XESTUS	holotype	0	1
Holotype of Oreamnos americanus columbiae (Allen)	holotype	0	1
Holotype of Oreamnos americanus missoulae (Allen)	holotype	0	1
HOLOTYPE OF OREOPELEIA ERYTHROPAREIA LORICATA, TODD, W. E. C. 1947. TWO NEW SOUTH AMERICAN PIGEONS. PROC. BIOL. SOC. WASH., 67-68. PAGE 67, PUBLISHED 2 JULY 1947.	holotype	0	1
HOLOTYPE OF OREORTYX PICTA CONFINIS, ANTHONY, A. W. 1889. NEW BIRDS FROM LOWER CALIFORNIA, MEXICO. PROC. CALIF. ACAD. SCI. (2), 73-82. PAGE 74, PUBLISHED 11 OCTOBER 1889.	holotype	0	1
Holotype of Oreortyx picta eremophilus	holotype	0	1
HOLOTYPE OF ORODYNASTES STRIATICOLLIS COLUMBIANUS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 171, PUBLISHED 8 AUGUST 1913.	holotype	0	1
HOLOTYPE OF ORTALIS GUTTATA SUBAFFINIS, TODD, W. E. C. 1932. CRITICAL NOTES ON THE CRACIDAE. PROC. BIOL. SOC. WASH., 209-214. PAGE 211, PUBLISHED 26 NOVEMBER 1932.	holotype	0	1
Holotype of Orthogeomys cherrei cherrei ((Allen))	holotype	0	1
Holotype of Orthogeomys cherriei	holotype	0	1
Holotype of Orthogeomys cherriei carlosensis ((Goodwin))	holotype	0	1
Holotype of Orthogeomys grandis carbo	holotype	0	1
Holotype of Orthogeomys heterodus cartagoensis ((Goodwin))	holotype	0	1
Holotype of Orthogeomys hispidus negatus ((Goodwin))	holotype	0	1
Holotype of Orthogeomys matagalpae ((Allen))	holotype	0	1
Holotype of Orycteropus afer faradjius (Hatt)	holotype	0	1
Holotype of Oryzomys albigularis maculiventer (Allen)	holotype	0	1
Holotype of Oryzomys albigularis oconnelli (Allen)	holotype	0	1
Holotype of Oryzomys albigularis pectoralis (Allen)	holotype	0	1
Holotype of Oryzomys alfaroi ((Allen))	holotype	0	1
Holotype of Oryzomys alfaroi agrestis	holotype	0	1
Holotype of Oryzomys alfaroi alfaroi	holotype	0	1
Holotype of Oryzomys alfaroi alfaroi ((Allen))	holotype	0	1
Holotype of Oryzomys alfaroi gloriaensis	holotype	0	1
Holotype of Oryzomys auriventer nimbosus	holotype	0	1
Holotype of Oryzomys bolivaris (Allen)	holotype	0	1
Holotype of Oryzomys capito (Olfers)	holotype	0	1
Holotype of Oryzomys couesi	holotype	0	1
Holotype of Oryzomys couesi ((Alston))	holotype	0	1
Holotype of Oryzomys couesi mexicanus	holotype	0	1
Holotype of Oryzomys keaysi	holotype	0	1
Holotype of Oryzomys keaysi (Allen)	holotype	0	1
Holotype of Oryzomys macconnelli (The Coryndon Museum)	holotype	0	1
Holotype of Oryzomys palustris natator	holotype	0	1
Holotype of Oryzomys palustris palustris	holotype	0	1
Holotype of Oryzomys palustris palustris ((Harlan))	holotype	0	1
Holotype of Oryzomys talamancae (Allen)	holotype	0	1
