verbatimTypeStatus	standardTypeStatus	standard	checked
HOLOTYPE OF ACANTHAGENYS RUFOGULARIS PARKERI, PARKES, K. C. 1980. A NEW SUBSPECIES OF THE SPINY-CHEEKED HONEYEATER ACANTHAGENYS RUFOGULARIS, WITH NOTES ON GENERIC RELATIONSHIPS. BULL. BRIT. ORN. CLUB, 143-147. PAGE 144, PUBLISHED 20 JUNE 1980.	holotype	0	1
Holotype of Accentor erythropygius (Swinhoe, 1870)	holotype	0	1
Holotype of Accentor talifuensis	holotype	0	1
Holotype of Acomys russatus	holotype	0	1
HOLOTYPE OF ACRIS GRYLLUS BLANCHARDI, HARPER, 1947, PROC. BIOL. SOC. WASHINGTON, 60:39	holotype	0	1
HOLOTYPE OF ADELPHICOS VERAEPACIS	holotype	0	1
Holotype of Aepeomys fuscatus	holotype	0	1
Holotype of Aepeomys lugens (The Coryndon Museum)	holotype	0	1
Holotype of Aethomys kaiseri vernayi (Hill & Carter)	holotype	0	1
Holotype of Aethomys namaquensis ((Smith))	holotype	0	1
HOLOTYPE OF AGELAIUS CYANOPUS XENICUS, PARKES, K. C. 1966. GEOGRAPHIC VARIATION IN AZARA'S MARSH BLACKBIRD, AGELAIUS CYANOPUS. PROC. BIOL. SOC. WASH., 1-12. PAGE 8, PUBLISHED 23 MAY 1966.	holotype	0	1
HOLOTYPE OF AGELAIUS THILIUS ALTICOLA, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 219, PUBLISHED 26 NOVEMBER 1932.	holotype	0	1
HOLOTYPE OF AGKISTRODON MOKASEN LATICINCTUS	holotype	0	1
HOLOTYPE OF AGYRTRIA HOLLANDI, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 173, PUBLISHED 8 AUGUST 1913.	holotype	0	1
Holotype of Ailurops ursinus togianus ((Tate))	holotype	0	1
HOLOTYPE OF AIMOPHILA RUFICEPS CANESCENS, TODD, W. E. C. 1922. A NEW SPARROW FROM SOUTHERN CALIFORNIA. CONDOR, 126-127. PAGE 126, PUBLISHED 29 JULY 1922.	holotype	0	1
Holotype of Akodon affinis ((Allen))	holotype	0	1
Holotype of Akodon latebricola ((Anthony))	holotype	0	1
Holotype of Akodon longipilis	holotype	0	1
Holotype of Akodon puer lutescens (Allen)	holotype	0	1
Holotype of Akodon urichi	holotype	0	1
Holotype of Akodon urichi (Allen & Chapman)	holotype	0	1
Holotype of Akodon urichi meridensis (Allen)	holotype	0	1
Holotype of Akodon urichi urichi	holotype	0	1
Holotype of Akodon urichi venezuelensis (Allen)	holotype	0	1
Holotype of Allactaga balikunica	holotype	0	1
Holotype of Allactaga elater indica (Gray)	holotype	0	1
Holotype of Allocricetulus curtatus (Allen)	holotype	0	1
HOLOTYPE OF ALLOPHRYNE RUTHVENI	holotype	0	1
HOLOTYPE OF ALOPOGLOSSUS AMAZONIUS	holotype	0	1
Holotype of Alouatta palliata palliata ((Gray))	holotype	0	1
Holotype of Alouatta seniculus seniculus (Linneaus)	holotype	0	1
HOLOTYPE OF ALSOPHIS NICHOLSI	holotype	0	1
Holotype of Alticola semicanus ((Allen))	holotype	0	1
HOLOTYPE OF AMAZILIA AMABILIS COSTARICENSIS, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 330, PUBLISHED 31 DECEMBER 1942.	holotype	0	1
HOLOTYPE OF AMAZILIA CHIONOPECTUS ORIENTICOLA, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 319, PUBLISHED 31 DECEMBER 1942.	holotype	0	1
HOLOTYPE OF AMAZILIA FIMBRIATA ELEGANTISSIMA, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 323, PUBLISHED 31 DECEMBER 1942.	holotype	0	1
HOLOTYPE OF AMAZONA AUROPALLIATA CARIBAEA, LOUSADA, S. 1989. AMAZONA AUROPALLIATA CARIBAEA: A NEW SUBSPECIES OF PARROT FROM THE BAY ISLANDS, NORTHERN HONDURAS **LISTED INCORRECTLY AS 1948**. BULL. BRIT. ORN. CLUB, 232-235. PAGE 233, PUBLISHED 13 DECEMBER 	holotype	0	1
