"verbatimMonth","monthNumber","dayOfYearForFirst","checked","opinionBy","opinionDate"
" 6th",,,1,"John Wieczorek","2018-05-18"
" 7",7,181,1,"John Wieczorek","2017-08-25"
" 7 ca",,,1,"John Wieczorek","2018-05-18"
" 8",8,212,1,"John Wieczorek","2017-08-25"
" 9",9,243,1,"John Wieczorek","2017-08-25"
" 9 ca",,,1,"John Wieczorek","2018-05-18"
" 9 Oct",10,273,1,"John Wieczorek","2018-04-29"
" and Apr ",,,1,"John Wieczorek","2017-08-25"
" and Feb",2,31,1,"John Wieczorek","2018-04-29"
" APR",4,90,1,"John Wieczorek","2017-08-25"
" April",4,90,1,"John Wieczorek","2017-08-25"
" Aug",8,212,1,"John Wieczorek","2018-04-29"
" August",8,212,1,"John Wieczorek","2017-08-25"
" Bluntschli",,,1,"John Wieczorek","2018-04-29"
" by / C F B  / Mar  4",,,1,"John Wieczorek","2018-04-29"
" c",,,1,"John Wieczorek","2018-05-18"
" ca",,,1,"John Wieczorek","2018-05-18"
" Dec",12,334,1,"tuco","2018-05-18"
" Dec 22",12,334,1,"John Wieczorek","2017-08-25"
" Decary",,,1,"tuco","2018-05-18"
" Decary /",,,1,"tuco","2018-05-18"
" Decary / 10 July",,,1,"tuco","2018-05-18"
" Decary / April",,,1,"tuco","2018-05-18"
" Decary / April 4",,,1,"tuco","2018-05-18"
" Decary / July",,,1,"tuco","2018-05-18"
" Decary / March",,,1,"tuco","2018-05-18"
" Decary / May",,,1,"tuco","2018-05-18"
" Decary / May 28",,,1,"tuco","2018-05-18"
" Drouhard / May",,,1,"John Wieczorek","2018-04-29"
" f1",,,1,"John Wieczorek","2018-05-18"
" f24",,,1,"John Wieczorek","2018-05-18"
" FEB",2,31,1,"John Wieczorek","2017-08-25"
" from Dr  Marzieres /",,,1,"John Wieczorek","2018-04-29"
" I",1,0,1,"John Wieczorek","2018-04-30"
" IV",4,90,1,"John Wieczorek","2018-04-29"
" IX",9,243,1,"John Wieczorek","2018-04-29"
" Jan ",1,0,1,"John Wieczorek","2017-08-25"
" Jan-",1,0,1,"John Wieczorek","2017-08-25"
" January",1,0,1,"John Wieczorek","2017-08-25"
" JUL",7,181,1,"John Wieczorek","2017-08-25"
" Jul 1970",7,181,1,"John Wieczorek","2017-08-25"
" July",7,181,1,"John Wieczorek","2017-08-25"
" July 1",7,181,1,"John Wieczorek","2018-05-18"
" Jun",6,151,1,"John Wieczorek","2017-08-25"
" Jun 1874",6,152,1,"David Bloom","2018-06-11"
" June",6,151,1,"John Wieczorek","2017-08-25"
" June 1943 & July",,,1,"John Wieczorek","2017-08-25"
" MAR",3,59,1,"John Wieczorek","2017-08-25"
" March",3,59,1,"John Wieczorek","2017-08-25"
" May",5,120,1,"John Wieczorek","2017-08-25"
" Mazierer /",,,1,"tuco","2018-05-18"
" Mazieres /",,,1,"tuco","2018-05-18"
" Nov ",11,304,1,"John Wieczorek","2017-08-25"
" Oct ",10,273,1,"John Wieczorek","2017-08-25"
" October",10,273,1,"John Wieczorek","2017-08-25"
" or 2nd  week",,,1,"John Wieczorek","2017-08-25"
" or Dec ",,,1,"John Wieczorek","2017-08-25"
" or March /",3,59,1,"tuco","2018-05-18"
" or May",5,120,1,"John Wieczorek","2018-04-29"
" or Nov",11,304,1,"John Wieczorek","2018-04-29"
" or Sept",9,243,1,"John Wieczorek","2018-04-30"
" Pallary / 20 July",,,1,"John Wieczorek","2018-04-29"
" SEP",9,243,1,"John Wieczorek","2017-08-25"
" Sept",9,243,1,"John Wieczorek","2017-08-25"
" September",9,243,1,"John Wieczorek","2017-08-25"
" to Dec ",,,1,"John Wieczorek","2017-08-25"
" to Feb",2,31,1,"John Wieczorek","2018-04-29"
" to Mid-Feb ",,,1,"John Wieczorek","2017-08-25"
" Winter 1965 ",,,1,"tuco","2018-05-18"
" X",10,,1,"John Wieczorek","2018-04-29"
" XI",11,304,1,"John Wieczorek","2018-04-30"
"""FALL""",,,1,"John Wieczorek","2017-08-25"
"& 10 Jun",,,1,"John Wieczorek","2017-08-25"
"& 14 May",,,1,"John Wieczorek","2017-08-25"
"& 19 Apr",,,1,"John Wieczorek","2017-08-25"
"& 19 Nov ",,,1,"John Wieczorek","2017-08-25"
"& 21 Jul",,,1,"John Wieczorek","2017-08-25"
"& 21 May",,,1,"John Wieczorek","2017-08-25"
"& 22 Jan ",,,1,"John Wieczorek","2017-08-25"
"& 26 nov",,,1,"John Wieczorek","2017-08-25"
"& 27 Nov ",,,1,"John Wieczorek","2017-08-25"
"& 30 June",,,1,"John Wieczorek","2017-08-25"
"& 6  April",,,1,"John Wieczorek","2017-08-25"
"& Jy 8",7,181,1,"John Wieczorek","2018-05-18"
"(?)",,,1,"John Wieczorek","2017-08-25"
"(23) Aug",8,212,1,"tuco","2018-05-18"
"(4) May",5,120,1,"John Wieczorek","2017-08-25"
"(Aug)",8,212,1,"John Wieczorek","2017-08-25"
"(Aug?)-",8,212,1,"John Wieczorek","2017-08-25"
"(June?)",6,151,1,"John Wieczorek","2017-08-25"
"(no",,,1,"John Wieczorek","2017-08-25"
"(or Apr )",4,90,1,"tuco","2018-05-19"
"(spring)",,,1,"John Wieczorek","2017-08-25"
")ct0ber",10,273,1,"John Wieczorek","2017-08-25"
"*",,,1,"John Wieczorek","2017-08-25"
"*/*/",,,1,"John Wieczorek","2017-08-25"
"/",,,1,"John Wieczorek","2017-08-25"
"/ (Dec ",12,334,1,"tuco","2018-05-18"
"/ (Nov ",11,304,1,"John Wieczorek","2018-04-29"
"/ /",,,1,"John Wieczorek","2017-08-25"
"/ /1944 ",,,1,"John Wieczorek","2017-08-25"
"/ ?29 Aug",8,212,1,"tuco","2018-05-18"
"/ 10 Aug",8,212,1,"tuco","2018-05-18"
"/ 14 Oct",10,273,1,"tuco","2018-05-18"
"/ 15 Nov",11,304,1,"tuco","2018-05-18"
"/ 1954 ",,,1,"tuco","2018-05-18"
"/ 1964 ",,,1,"tuco","2018-05-18"
"/ 1972 ",,,1,"tuco","2018-05-18"
"/ 22 Nov",11,304,1,"tuco","2018-05-18"
"/ 24 Aug",8,212,1,"John Wieczorek","2018-04-29"
"/ 30 Dec",12,334,1,"tuco","2018-05-18"
"/ 8 Nov",11,304,1,"tuco","2018-05-18"
"/ 9 Jan",1,0,1,"John Wieczorek","2018-04-29"
"/ Aug  31",8,212,1,"John Wieczorek","2018-04-29"
"/ ca",,,1,"tuco","2018-05-18"
"/ IX /",9,243,1,"tuco","2018-05-18"
"/ Jun",6,151,1,"John Wieczorek","2018-05-18"
"/ June",6,151,1,"tuco","2018-05-18"
"/ March",3,59,1,"John Wieczorek","2018-04-29"
"/ Sept",9,243,1,"John Wieczorek","2018-04-29"
"/ Spring",,,1,"John Wieczorek","2018-04-29"
"//",,,1,"John Wieczorek","2017-08-25"
"/1963 ",,,1,"John Wieczorek","2017-08-25"
"/6",,,1,"John Wieczorek","2018-04-30"
"/7",,,1,"John Wieczorek","2018-04-30"
"/Sept",9,243,1,"John Wieczorek","2018-05-18"
"?",,,1,"John Wieczorek","2017-08-25"
"?-",,,1,"John Wieczorek","2017-08-25"
"? April",4,90,1,"John Wieczorek","2018-04-29"
"? March",3,59,1,"John Wieczorek","2017-08-25"
"??",,,1,"David Blooom","2018-01-17"
"?3",,,1,"John Wieczorek","2018-04-29"
"?June",6,151,1,"tuco","2018-05-18"
"?late",,,1,"tuco","2018-05-18"
"?May",5,120,1,"tuco","2018-05-18"
"?Oct",10,273,1,"tuco","2018-05-18"
"@",,,1,"John Wieczorek","2017-08-25"
"[  ]",,,1,"John Wieczorek","2018-05-18"
"[00",,,1,"John Wieczorek","2018-04-29"
"[c",,,1,"John Wieczorek","2018-05-18"
"[March?]",3,59,1,"John Wieczorek","2017-08-25"
"[no",,,1,"John Wieczorek","2017-08-25"
"[Nov]",11,304,1,"John Wieczorek","2017-08-25"
"__",,,1,"John Wieczorek","2017-08-25"
"__MAR",3,59,1,"John Wieczorek","2017-08-25"
"__MAR __1996",3,59,1,"John Wieczorek","2017-08-25"
"~10",,,1,"John Wieczorek","2017-12-03"
"+",,,1,"tuco","2018-05-18"
"+/",,,1,"tuco","2018-05-18"
"†June",6,151,1,"John Wieczorek","2017-08-25"
"†November",11,304,1,"John Wieczorek","2017-08-25"
"0",,,1,"John Wieczorek","2017-08-25"
"00",,,1,"John Wieczorek","2017-08-25"
"00/00",,,1,"John Wieczorek","2017-08-25"
"000",,,1,"John Wieczorek","2017-08-25"
"01",1,0,1,"John Wieczorek","2017-10-14"
"01Mar1993;",,,1,"John Wieczorek","2017-08-25"
"02",2,31,1,"John Wieczorek","2017-08-25"
"03",3,59,1,"John Wieczorek","2017-08-25"
"04",4,90,1,"John Wieczorek","2017-10-14"
"04Aug",8,212,1,"John Wieczorek","2017-08-25"
"05",5,120,1,"John Wieczorek","2017-08-25"
"06",6,151,1,"John Wieczorek","2017-10-14"
"06MAY",5,120,1,"John Wieczorek","2017-08-25"
"07",7,181,1,"John Wieczorek","2017-10-14"
"07Jun",7,181,1,"John Wieczorek","2017-08-25"
"08",8,212,1,"John Wieczorek","2017-10-14"
"08MAR",3,59,1,"John Wieczorek","2017-08-25"
"08Nov",11,304,1,"John Wieczorek","2017-08-25"
"09",9,243,1,"John Wieczorek","2017-08-25"
"09 August",8,213,1,"David Bloom","2018-06-11"
"090JUN",6,151,1,"John Wieczorek","2017-08-25"
"09Nov",11,304,1,"John Wieczorek","2017-08-25"
"0ctober",10,273,1,"John Wieczorek","2017-08-25"
"1",1,0,1,"John Wieczorek","2017-08-25"
"1-",,,1,"John Wieczorek","2017-12-03"
"1 1926 or Aug 2",,,1,"John Wieczorek","2017-08-25"
"1 c",,,1,"John Wieczorek","2018-05-18"
"1 ca",,,1,"John Wieczorek","2018-05-18"
"1 Dec",12,334,1,"John Wieczorek","2017-08-25"
"1 December",12,334,1,"tuco","2018-05-18"
"1 November",11,304,1,"John Wieczorek","2017-08-25"
"1 Sept",9,243,1,"John Wieczorek","2017-08-25"
"10",10,273,1,"John Wieczorek","2017-08-25"
"10-",,,1,"John Wieczorek","2017-12-03"
"10 1872",,,1,"John Wieczorek","2018-04-29"
"10 Apr",4,91,1,"David Bloom","2018-06-11"
"10 April",4,91,1,"David Bloom","2018-06-11"
"10 Feb",2,31,1,"John Wieczorek","2018-04-29"
"10 Oct",10,273,1,"tuco","2018-05-18"
"10/*/",,,1,"John Wieczorek","2017-08-25"
"10/11/",,,1,"John Wieczorek","2017-08-25"
"10/23/",10,273,1,"John Wieczorek","2017-08-25"
"10/26",10,273,1,"John Wieczorek","2017-08-25"
"10th",,,1,"John Wieczorek","2018-04-29"
"11",11,304,1,"John Wieczorek","2017-08-25"
"11-",11,304,1,"John Wieczorek","2017-08-25"
"11 Jan",1,1,1,"David Bloom","2018-06-11"
"11 Jun",6,151,1,"John Wieczorek","2017-08-25"
"11 or 18",,,1,"John Wieczorek","2017-08-25"
"11/*/",,,1,"John Wieczorek","2017-08-25"
"11/8/",,,1,"John Wieczorek","2017-08-25"
"11-14 Feb",2,31,1,"John Wieczorek","2017-08-25"
"11-19 Dec",12,334,1,"John Wieczorek","2017-08-25"
"116",,,1,"John Wieczorek","2017-08-25"
"117",,,1,"John Wieczorek","2017-08-25"
"118",,,1,"John Wieczorek","2017-08-25"
"119",,,1,"John Wieczorek","2017-08-25"
"11Jan",1,1,1,"tuco","2018-05-18"
"11July",7,181,1,"John Wieczorek","2017-08-25"
"11October",10,273,1,"John Wieczorek","2017-08-25"
"11th",,,1,"John Wieczorek","2018-04-30"
"12",12,334,1,"John Wieczorek","2017-08-25"
"12-",,,1,"John Wieczorek","2017-12-03"
"12 August",8,213,1,"David Bloom","2018-06-11"
"12 ca",,,1,"John Wieczorek","2018-05-18"
"12/",,,1,"John Wieczorek","2017-08-25"
