"verbatimGeodeticDatum","standardGeodeticDatum","epsg","checked","opinionBy","opinionDate","uri"
"10.03448","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.06333","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.0925","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.10892","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.12839","not recorded",,1,"John Wieczorek","2020-04-24",
"10.25088","not recorded",,1,"John Wieczorek","2020-04-24",
"10.26667","not recorded",,1,"John Wieczorek","2020-04-24",
"10.383333","not recorded",,1,"John Wieczorek","2020-04-24",
"10.42667","not recorded",,1,"John Wieczorek","2020-04-24",
"10.433333","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.46667","not recorded",,1,"John Wieczorek","2020-04-24",
"10.5","not recorded",,1,"John Wieczorek","2020-04-24",
"10.52","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.605","not recorded",,1,"John Wieczorek","2020-04-24",
"10.75","not recorded",,1,"John Wieczorek","2020-04-24",
"10.78333","not recorded",,1,"John Wieczorek","2020-04-24",
"-10.8078333333333","not recorded",,1,"John Wieczorek","2020-04-24",
"100","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.0523890000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.1067760000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.1163970000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.1239010000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.1664260000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.1767680000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.1940350000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.1955150000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2180100000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2188700000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2242780000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2275570000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2276710000","not recorded",,1,"John Wieczorek","2020-05-12",
