"verbatimGeodeticDatum","standardGeodeticDatum","epsg","checked","opinionBy","opinionDate","uri"
"38035","not recorded",,1,"John Wieczorek","2020-05-12",
"38036","not recorded",,1,"John Wieczorek","2020-05-12",
"38037","not recorded",,1,"John Wieczorek","2020-05-12",
"38038","not recorded",,1,"John Wieczorek","2020-05-12",
"38039","not recorded",,1,"John Wieczorek","2020-05-12",
"38040","not recorded",,1,"John Wieczorek","2020-05-12",
"38041","not recorded",,1,"John Wieczorek","2020-05-12",
"38042","not recorded",,1,"John Wieczorek","2020-05-12",
"38043","not recorded",,1,"John Wieczorek","2020-05-12",
"38044","not recorded",,1,"John Wieczorek","2020-05-12",
"38045","not recorded",,1,"John Wieczorek","2020-05-12",
"38046","not recorded",,1,"John Wieczorek","2020-05-12",
"38047","not recorded",,1,"John Wieczorek","2020-05-12",
"38048","not recorded",,1,"John Wieczorek","2020-05-12",
"38049","not recorded",,1,"John Wieczorek","2020-05-12",
"38050","not recorded",,1,"John Wieczorek","2020-05-12",
"38051","not recorded",,1,"John Wieczorek","2020-05-12",
"38052","not recorded",,1,"John Wieczorek","2020-05-12",
"38053","not recorded",,1,"John Wieczorek","2020-05-12",
"38054","not recorded",,1,"John Wieczorek","2020-05-12",
"38055","not recorded",,1,"John Wieczorek","2020-05-12",
"38056","not recorded",,1,"John Wieczorek","2020-05-12",
"38057","not recorded",,1,"John Wieczorek","2020-05-12",
"38058","not recorded",,1,"John Wieczorek","2020-05-12",
"38059","not recorded",,1,"John Wieczorek","2020-05-12",
"38060","not recorded",,1,"John Wieczorek","2020-05-12",
"38061","not recorded",,1,"John Wieczorek","2020-05-12",
"38062","not recorded",,1,"John Wieczorek","2020-05-12",
"38063","not recorded",,1,"John Wieczorek","2020-05-12",
"38064","not recorded",,1,"John Wieczorek","2020-05-12",
"38065","not recorded",,1,"John Wieczorek","2020-05-12",
"38066","not recorded",,1,"John Wieczorek","2020-05-12",
"38067","not recorded",,1,"John Wieczorek","2020-05-12",
"38068","not recorded",,1,"John Wieczorek","2020-05-12",
"38069","not recorded",,1,"John Wieczorek","2020-05-12",
"38070","not recorded",,1,"John Wieczorek","2020-05-12",
"38071","not recorded",,1,"John Wieczorek","2020-05-12",
"38072","not recorded",,1,"John Wieczorek","2020-05-12",
"38073","not recorded",,1,"John Wieczorek","2020-05-12",
"38074","not recorded",,1,"John Wieczorek","2020-05-12",
"38075","not recorded",,1,"John Wieczorek","2020-05-12",
"38076","not recorded",,1,"John Wieczorek","2020-05-12",
"38077","not recorded",,1,"John Wieczorek","2020-05-12",
"38078","not recorded",,1,"John Wieczorek","2020-05-12",
"38079","not recorded",,1,"John Wieczorek","2020-05-12",
"38080","not recorded",,1,"John Wieczorek","2020-05-12",
"38081","not recorded",,1,"John Wieczorek","2020-05-12",
"38082","not recorded",,1,"John Wieczorek","2020-05-12",
"38083","not recorded",,1,"John Wieczorek","2020-05-12",
"38084","not recorded",,1,"John Wieczorek","2020-05-12",
"38085","not recorded",,1,"John Wieczorek","2020-05-12",
"38086","not recorded",,1,"John Wieczorek","2020-05-12",
"38087","not recorded",,1,"John Wieczorek","2020-05-12",
"38088","not recorded",,1,"John Wieczorek","2020-05-12",
"38089","not recorded",,1,"John Wieczorek","2020-05-12",
"38090","not recorded",,1,"John Wieczorek","2020-05-12",
"38091","not recorded",,1,"John Wieczorek","2020-05-12",
"38092","not recorded",,1,"John Wieczorek","2020-05-12",
"38093","not recorded",,1,"John Wieczorek","2020-05-12",
"38094","not recorded",,1,"John Wieczorek","2020-05-12",
"38095","not recorded",,1,"John Wieczorek","2020-05-12",
"38096","not recorded",,1,"John Wieczorek","2020-05-12",
"38097","not recorded",,1,"John Wieczorek","2020-05-12",
"38098","not recorded",,1,"John Wieczorek","2020-05-12",
"38099","not recorded",,1,"John Wieczorek","2020-05-12",
"38100","not recorded",,1,"John Wieczorek","2020-05-12",
"38101","not recorded",,1,"John Wieczorek","2020-05-12",
"38102","not recorded",,1,"John Wieczorek","2020-05-12",
"38103","not recorded",,1,"John Wieczorek","2020-05-12",
"38104","not recorded",,1,"John Wieczorek","2020-05-12",
"38105","not recorded",,1,"John Wieczorek","2020-05-12",
"38106","not recorded",,1,"John Wieczorek","2020-05-12",
"38107","not recorded",,1,"John Wieczorek","2020-05-12",
"38108","not recorded",,1,"John Wieczorek","2020-05-12",
"38109","not recorded",,1,"John Wieczorek","2020-05-12",
"38110","not recorded",,1,"John Wieczorek","2020-05-12",
"38111","not recorded",,1,"John Wieczorek","2020-05-12",
"38112","not recorded",,1,"John Wieczorek","2020-05-12",
"38113","not recorded",,1,"John Wieczorek","2020-05-12",
"38114","not recorded",,1,"John Wieczorek","2020-05-12",
"38115","not recorded",,1,"John Wieczorek","2020-05-12",
"38116","not recorded",,1,"John Wieczorek","2020-05-12",
"38117","not recorded",,1,"John Wieczorek","2020-05-12",
"38118","not recorded",,1,"John Wieczorek","2020-05-12",
"38119","not recorded",,1,"John Wieczorek","2020-05-12",
"38120","not recorded",,1,"John Wieczorek","2020-05-12",
"38121","not recorded",,1,"John Wieczorek","2020-05-12",
"38122","not recorded",,1,"John Wieczorek","2020-05-12",
"38123","not recorded",,1,"John Wieczorek","2020-05-12",
"38124","not recorded",,1,"John Wieczorek","2020-05-12",
"38125","not recorded",,1,"John Wieczorek","2020-05-12",
"38126","not recorded",,1,"John Wieczorek","2020-05-12",
"38127","not recorded",,1,"John Wieczorek","2020-05-12",
"38128","not recorded",,1,"John Wieczorek","2020-05-12",
"38129","not recorded",,1,"John Wieczorek","2020-05-12",
"38130","not recorded",,1,"John Wieczorek","2020-05-12",
"38131","not recorded",,1,"John Wieczorek","2020-05-12",
"38132","not recorded",,1,"John Wieczorek","2020-05-12",
"38133","not recorded",,1,"John Wieczorek","2020-05-12",
"38134","not recorded",,1,"John Wieczorek","2020-05-12",
"38135","not recorded",,1,"John Wieczorek","2020-05-12",
"38136","not recorded",,1,"John Wieczorek","2020-05-12",
"38137","not recorded",,1,"John Wieczorek","2020-05-12",
"38138","not recorded",,1,"John Wieczorek","2020-05-12",
"38139","not recorded",,1,"John Wieczorek","2020-05-12",
"38140","not recorded",,1,"John Wieczorek","2020-05-12",
"38141","not recorded",,1,"John Wieczorek","2020-05-12",
"38142","not recorded",,1,"John Wieczorek","2020-05-12",
"38143","not recorded",,1,"John Wieczorek","2020-05-12",
"38144","not recorded",,1,"John Wieczorek","2020-05-12",
"38145","not recorded",,1,"John Wieczorek","2020-05-12",
"38146","not recorded",,1,"John Wieczorek","2020-05-12",
"38147","not recorded",,1,"John Wieczorek","2020-05-12",
"38148","not recorded",,1,"John Wieczorek","2020-05-12",
"38149","not recorded",,1,"John Wieczorek","2020-05-12",
"38150","not recorded",,1,"John Wieczorek","2020-05-12",
"38151","not recorded",,1,"John Wieczorek","2020-05-12",
"38152","not recorded",,1,"John Wieczorek","2020-05-12",
"38153","not recorded",,1,"John Wieczorek","2020-05-12",
"38154","not recorded",,1,"John Wieczorek","2020-05-12",
"38155","not recorded",,1,"John Wieczorek","2020-05-12",
"38156","not recorded",,1,"John Wieczorek","2020-05-12",
"38157","not recorded",,1,"John Wieczorek","2020-05-12",
"38158","not recorded",,1,"John Wieczorek","2020-05-12",
"38159","not recorded",,1,"John Wieczorek","2020-05-12",
"38160","not recorded",,1,"John Wieczorek","2020-05-12",
"38161","not recorded",,1,"John Wieczorek","2020-05-12",
"38162","not recorded",,1,"John Wieczorek","2020-05-12",
"38163","not recorded",,1,"John Wieczorek","2020-05-12",
"38164","not recorded",,1,"John Wieczorek","2020-05-12",
"38165","not recorded",,1,"John Wieczorek","2020-05-12",
"38166","not recorded",,1,"John Wieczorek","2020-05-12",
"38167","not recorded",,1,"John Wieczorek","2020-05-12",
"38168","not recorded",,1,"John Wieczorek","2020-05-12",
"38169","not recorded",,1,"John Wieczorek","2020-05-12",
"38170","not recorded",,1,"John Wieczorek","2020-05-12",
"38171","not recorded",,1,"John Wieczorek","2020-05-12",
"38172","not recorded",,1,"John Wieczorek","2020-05-12",
"38173","not recorded",,1,"John Wieczorek","2020-05-12",
"38174","not recorded",,1,"John Wieczorek","2020-05-12",
"38175","not recorded",,1,"John Wieczorek","2020-05-12",
"38176","not recorded",,1,"John Wieczorek","2020-05-12",
"38177","not recorded",,1,"John Wieczorek","2020-05-12",
"38178","not recorded",,1,"John Wieczorek","2020-05-12",
"38179","not recorded",,1,"John Wieczorek","2020-05-12",
"38180","not recorded",,1,"John Wieczorek","2020-05-12",
"38181","not recorded",,1,"John Wieczorek","2020-05-12",
"38182","not recorded",,1,"John Wieczorek","2020-05-12",
"38183","not recorded",,1,"John Wieczorek","2020-05-12",
"38184","not recorded",,1,"John Wieczorek","2020-05-12",
"38185","not recorded",,1,"John Wieczorek","2020-05-12",
"38186","not recorded",,1,"John Wieczorek","2020-05-12",
"38187","not recorded",,1,"John Wieczorek","2020-05-12",
"38188","not recorded",,1,"John Wieczorek","2020-05-12",
"38189","not recorded",,1,"John Wieczorek","2020-05-12",
"38190","not recorded",,1,"John Wieczorek","2020-05-12",
"38191","not recorded",,1,"John Wieczorek","2020-05-12",
"38192","not recorded",,1,"John Wieczorek","2020-05-12",
"38193","not recorded",,1,"John Wieczorek","2020-05-12",
"38194","not recorded",,1,"John Wieczorek","2020-05-12",
"38195","not recorded",,1,"John Wieczorek","2020-05-12",
"38196","not recorded",,1,"John Wieczorek","2020-05-12",
"38197","not recorded",,1,"John Wieczorek","2020-05-12",
"38198","not recorded",,1,"John Wieczorek","2020-05-12",
"38199","not recorded",,1,"John Wieczorek","2020-05-12",
"38200","not recorded",,1,"John Wieczorek","2020-05-12",
"38201","not recorded",,1,"John Wieczorek","2020-05-12",
"38202","not recorded",,1,"John Wieczorek","2020-05-12",
"38203","not recorded",,1,"John Wieczorek","2020-05-12",
"38204","not recorded",,1,"John Wieczorek","2020-05-12",
"38205","not recorded",,1,"John Wieczorek","2020-05-12",
"38206","not recorded",,1,"John Wieczorek","2020-05-12",
"38207","not recorded",,1,"John Wieczorek","2020-05-12",
"38208","not recorded",,1,"John Wieczorek","2020-05-12",
"38209","not recorded",,1,"John Wieczorek","2020-05-12",
"38210","not recorded",,1,"John Wieczorek","2020-05-12",
"38212","not recorded",,1,"John Wieczorek","2020-05-12",
"38213","not recorded",,1,"John Wieczorek","2020-05-12",
"38214","not recorded",,1,"John Wieczorek","2020-05-12",
"38215","not recorded",,1,"John Wieczorek","2020-05-12",
"38216","not recorded",,1,"John Wieczorek","2020-05-12",
"38217","not recorded",,1,"John Wieczorek","2020-05-12",
"38218","not recorded",,1,"John Wieczorek","2020-05-12",
"38219","not recorded",,1,"John Wieczorek","2020-05-12",
"38220","not recorded",,1,"John Wieczorek","2020-05-12",
"38221","not recorded",,1,"John Wieczorek","2020-05-12",
"38222","not recorded",,1,"John Wieczorek","2020-05-12",
"38223","not recorded",,1,"John Wieczorek","2020-05-12",
"38224","not recorded",,1,"John Wieczorek","2020-05-12",
"38225","not recorded",,1,"John Wieczorek","2020-05-12",
"38227","not recorded",,1,"John Wieczorek","2020-05-12",
"38228","not recorded",,1,"John Wieczorek","2020-05-12",
"38229","not recorded",,1,"John Wieczorek","2020-05-12",
"38230","not recorded",,1,"John Wieczorek","2020-05-12",
"38231","not recorded",,1,"John Wieczorek","2020-05-12",
"38232","not recorded",,1,"John Wieczorek","2020-05-12",
"38233","not recorded",,1,"John Wieczorek","2020-05-12",
"38234","not recorded",,1,"John Wieczorek","2020-05-12",
"38235","not recorded",,1,"John Wieczorek","2020-05-12",
"38236","not recorded",,1,"John Wieczorek","2020-05-12",
"38237","not recorded",,1,"John Wieczorek","2020-05-12",
"38238","not recorded",,1,"John Wieczorek","2020-05-12",
"38239","not recorded",,1,"John Wieczorek","2020-05-12",
"38240","not recorded",,1,"John Wieczorek","2020-05-12",
"38241","not recorded",,1,"John Wieczorek","2020-05-12",
"38242","not recorded",,1,"John Wieczorek","2020-05-12",
"38243","not recorded",,1,"John Wieczorek","2020-05-12",
"38244","not recorded",,1,"John Wieczorek","2020-05-12",
"38245","not recorded",,1,"John Wieczorek","2020-05-12",
"38246","not recorded",,1,"John Wieczorek","2020-05-12",
"38247","not recorded",,1,"John Wieczorek","2020-05-12",
"38248","not recorded",,1,"John Wieczorek","2020-05-12",
"38249","not recorded",,1,"John Wieczorek","2020-05-12",
"38250","not recorded",,1,"John Wieczorek","2020-05-12",
"38251","not recorded",,1,"John Wieczorek","2020-05-12",
"38252","not recorded",,1,"John Wieczorek","2020-05-12",
"38253","not recorded",,1,"John Wieczorek","2020-05-12",
"38254","not recorded",,1,"John Wieczorek","2020-05-12",
"38255","not recorded",,1,"John Wieczorek","2020-05-12",
"38256","not recorded",,1,"John Wieczorek","2020-05-12",
"38257","not recorded",,1,"John Wieczorek","2020-05-12",
"38258","not recorded",,1,"John Wieczorek","2020-05-12",
"38259","not recorded",,1,"John Wieczorek","2020-05-12",
"38260","not recorded",,1,"John Wieczorek","2020-05-12",
"38261","not recorded",,1,"John Wieczorek","2020-05-12",
"38262","not recorded",,1,"John Wieczorek","2020-05-12",
"38263","not recorded",,1,"John Wieczorek","2020-05-12",
"38264","not recorded",,1,"John Wieczorek","2020-05-12",
"38265","not recorded",,1,"John Wieczorek","2020-05-12",
"38266","not recorded",,1,"John Wieczorek","2020-05-12",
"38267","not recorded",,1,"John Wieczorek","2020-05-12",
"38268","not recorded",,1,"John Wieczorek","2020-05-12",
"38269","not recorded",,1,"John Wieczorek","2020-05-12",
"38270","not recorded",,1,"John Wieczorek","2020-05-12",
"38271","not recorded",,1,"John Wieczorek","2020-05-12",
"38272","not recorded",,1,"John Wieczorek","2020-05-12",
"38273","not recorded",,1,"John Wieczorek","2020-05-12",
"38274","not recorded",,1,"John Wieczorek","2020-05-12",
"38275","not recorded",,1,"John Wieczorek","2020-05-12",
"38276","not recorded",,1,"John Wieczorek","2020-05-12",
"38277","not recorded",,1,"John Wieczorek","2020-05-12",
"38278","not recorded",,1,"John Wieczorek","2020-05-12",
"38279","not recorded",,1,"John Wieczorek","2020-05-12",
"38280","not recorded",,1,"John Wieczorek","2020-05-12",
"38281","not recorded",,1,"John Wieczorek","2020-05-12",
"38282","not recorded",,1,"John Wieczorek","2020-05-12",
"38283","not recorded",,1,"John Wieczorek","2020-05-12",
"38284","not recorded",,1,"John Wieczorek","2020-05-12",
"38285","not recorded",,1,"John Wieczorek","2020-05-12",
"38286","not recorded",,1,"John Wieczorek","2020-05-12",
"38287","not recorded",,1,"John Wieczorek","2020-05-12",
"38288","not recorded",,1,"John Wieczorek","2020-05-12",
"38289","not recorded",,1,"John Wieczorek","2020-05-12",
"38290","not recorded",,1,"John Wieczorek","2020-05-12",
"38291","not recorded",,1,"John Wieczorek","2020-05-12",
"38292","not recorded",,1,"John Wieczorek","2020-05-12",
"38293","not recorded",,1,"John Wieczorek","2020-05-12",
"38294","not recorded",,1,"John Wieczorek","2020-05-12",
"38295","not recorded",,1,"John Wieczorek","2020-05-12",
"38296","not recorded",,1,"John Wieczorek","2020-05-12",
"38297","not recorded",,1,"John Wieczorek","2020-05-12",
"38298","not recorded",,1,"John Wieczorek","2020-05-12",
"38299","not recorded",,1,"John Wieczorek","2020-05-12",
"38300","not recorded",,1,"John Wieczorek","2020-05-12",
"38301","not recorded",,1,"John Wieczorek","2020-05-12",
"38302","not recorded",,1,"John Wieczorek","2020-05-12",
"38303","not recorded",,1,"John Wieczorek","2020-05-12",
"38304","not recorded",,1,"John Wieczorek","2020-05-12",
"38305","not recorded",,1,"John Wieczorek","2020-05-12",
"38306","not recorded",,1,"John Wieczorek","2020-05-12",
"38307","not recorded",,1,"John Wieczorek","2020-05-12",
"38308","not recorded",,1,"John Wieczorek","2020-05-12",
"38309","not recorded",,1,"John Wieczorek","2020-05-12",
"38310","not recorded",,1,"John Wieczorek","2020-05-12",
"38311","not recorded",,1,"John Wieczorek","2020-05-12",
"38312","not recorded",,1,"John Wieczorek","2020-05-12",
"38313","not recorded",,1,"John Wieczorek","2020-05-12",
"38315","not recorded",,1,"John Wieczorek","2020-05-12",
"38316","not recorded",,1,"John Wieczorek","2020-05-12",
"38317","not recorded",,1,"John Wieczorek","2020-05-12",
"38318","not recorded",,1,"John Wieczorek","2020-05-12",
"38319","not recorded",,1,"John Wieczorek","2020-05-12",
"38320","not recorded",,1,"John Wieczorek","2020-05-12",
"38321","not recorded",,1,"John Wieczorek","2020-05-12",
"38322","not recorded",,1,"John Wieczorek","2020-05-12",
"38323","not recorded",,1,"John Wieczorek","2020-05-12",
"38324","not recorded",,1,"John Wieczorek","2020-05-12",
"38325","not recorded",,1,"John Wieczorek","2020-05-12",
"38326","not recorded",,1,"John Wieczorek","2020-05-12",
"38327","not recorded",,1,"John Wieczorek","2020-05-12",
"383279E 4484281N","not recorded",,1,"John Wieczorek","2020-04-24",
"38328","not recorded",,1,"John Wieczorek","2020-05-12",
"38329","not recorded",,1,"John Wieczorek","2020-05-12",
"38330","not recorded",,1,"John Wieczorek","2020-05-12",
"38331","not recorded",,1,"John Wieczorek","2020-05-12",
"38332","not recorded",,1,"John Wieczorek","2020-05-12",
"38333","not recorded",,1,"John Wieczorek","2020-05-12",
"38334","not recorded",,1,"John Wieczorek","2020-05-12",
"38335","not recorded",,1,"John Wieczorek","2020-05-12",
"38336","not recorded",,1,"John Wieczorek","2020-05-12",
"38337","not recorded",,1,"John Wieczorek","2020-05-12",
"38338","not recorded",,1,"John Wieczorek","2020-05-12",
"38339","not recorded",,1,"John Wieczorek","2020-05-12",
"38340","not recorded",,1,"John Wieczorek","2020-05-12",
"38341","not recorded",,1,"John Wieczorek","2020-05-12",
"38342","not recorded",,1,"John Wieczorek","2020-05-12",
"38343","not recorded",,1,"John Wieczorek","2020-05-12",
"38344","not recorded",,1,"John Wieczorek","2020-05-12",
"38345","not recorded",,1,"John Wieczorek","2020-05-12",
"38346","not recorded",,1,"John Wieczorek","2020-05-12",
"38347","not recorded",,1,"John Wieczorek","2020-05-12",
"38348","not recorded",,1,"John Wieczorek","2020-05-12",
"38349","not recorded",,1,"John Wieczorek","2020-05-12",
"38350","not recorded",,1,"John Wieczorek","2020-05-12",
"38351","not recorded",,1,"John Wieczorek","2020-05-12",
"38352","not recorded",,1,"John Wieczorek","2020-05-12",
"38353","not recorded",,1,"John Wieczorek","2020-05-12",
"38354","not recorded",,1,"John Wieczorek","2020-05-12",
"38355","not recorded",,1,"John Wieczorek","2020-05-12",
"38356","not recorded",,1,"John Wieczorek","2020-05-12",
"38357","not recorded",,1,"John Wieczorek","2020-05-12",
"38358","not recorded",,1,"John Wieczorek","2020-05-12",
"38359","not recorded",,1,"John Wieczorek","2020-05-12",
"38360","not recorded",,1,"John Wieczorek","2020-05-12",
"38361","not recorded",,1,"John Wieczorek","2020-05-12",
"38362","not recorded",,1,"John Wieczorek","2020-05-12",
"38363","not recorded",,1,"John Wieczorek","2020-05-12",
"38364","not recorded",,1,"John Wieczorek","2020-05-12",
"38365","not recorded",,1,"John Wieczorek","2020-05-12",
"38366","not recorded",,1,"John Wieczorek","2020-05-12",
"38367","not recorded",,1,"John Wieczorek","2020-05-12",
"38368","not recorded",,1,"John Wieczorek","2020-05-12",
"38369","not recorded",,1,"John Wieczorek","2020-05-12",
"38370","not recorded",,1,"John Wieczorek","2020-05-12",
"38371","not recorded",,1,"John Wieczorek","2020-05-12",
"38372","not recorded",,1,"John Wieczorek","2020-05-12",
"38373","not recorded",,1,"John Wieczorek","2020-05-12",
"38374","not recorded",,1,"John Wieczorek","2020-05-12",
"38375","not recorded",,1,"John Wieczorek","2020-05-12",
"38376","not recorded",,1,"John Wieczorek","2020-05-12",
"38377","not recorded",,1,"John Wieczorek","2020-05-12",
"38378","not recorded",,1,"John Wieczorek","2020-05-12",
"38379","not recorded",,1,"John Wieczorek","2020-05-12",
"38380","not recorded",,1,"John Wieczorek","2020-05-12",
"38381","not recorded",,1,"John Wieczorek","2020-05-12",
"38382","not recorded",,1,"John Wieczorek","2020-05-12",
"38383","not recorded",,1,"John Wieczorek","2020-05-12",
"38384","not recorded",,1,"John Wieczorek","2020-05-12",
"38385","not recorded",,1,"John Wieczorek","2020-05-12",
"38386","not recorded",,1,"John Wieczorek","2020-05-12",
"38387","not recorded",,1,"John Wieczorek","2020-05-12",
"38388","not recorded",,1,"John Wieczorek","2020-05-12",
"38389","not recorded",,1,"John Wieczorek","2020-05-12",
"38390","not recorded",,1,"John Wieczorek","2020-05-12",
"38391","not recorded",,1,"John Wieczorek","2020-05-12",
"38392","not recorded",,1,"John Wieczorek","2020-05-12",
"38393","not recorded",,1,"John Wieczorek","2020-05-12",
"38394","not recorded",,1,"John Wieczorek","2020-05-12",
"38395","not recorded",,1,"John Wieczorek","2020-05-12",
"38396","not recorded",,1,"John Wieczorek","2020-05-12",
"38397","not recorded",,1,"John Wieczorek","2020-05-12",
"38398","not recorded",,1,"John Wieczorek","2020-05-12",
"38399","not recorded",,1,"John Wieczorek","2020-05-12",
"38400","not recorded",,1,"John Wieczorek","2020-05-12",
"38401","not recorded",,1,"John Wieczorek","2020-05-12",
"38402","not recorded",,1,"John Wieczorek","2020-05-12",
"38403","not recorded",,1,"John Wieczorek","2020-05-12",
"38404","not recorded",,1,"John Wieczorek","2020-05-12",
"38405","not recorded",,1,"John Wieczorek","2020-05-12",
"38406","not recorded",,1,"John Wieczorek","2020-05-12",
"38407","not recorded",,1,"John Wieczorek","2020-05-12",
"38408","not recorded",,1,"John Wieczorek","2020-05-12",
"38409","not recorded",,1,"John Wieczorek","2020-05-12",
"38410","not recorded",,1,"John Wieczorek","2020-05-12",
"38411","not recorded",,1,"John Wieczorek","2020-05-12",
"38412","not recorded",,1,"John Wieczorek","2020-05-12",
"38413","not recorded",,1,"John Wieczorek","2020-05-12",
"38414","not recorded",,1,"John Wieczorek","2020-05-12",
"38415","not recorded",,1,"John Wieczorek","2020-05-12",
"38416","not recorded",,1,"John Wieczorek","2020-05-12",
"38417","not recorded",,1,"John Wieczorek","2020-05-12",
"38418","not recorded",,1,"John Wieczorek","2020-05-12",
"38419","not recorded",,1,"John Wieczorek","2020-05-12",
"38420","not recorded",,1,"John Wieczorek","2020-05-12",
"38421","not recorded",,1,"John Wieczorek","2020-05-12",
"38422","not recorded",,1,"John Wieczorek","2020-05-12",
"38423","not recorded",,1,"John Wieczorek","2020-05-12",
"38424","not recorded",,1,"John Wieczorek","2020-05-12",
"38425","not recorded",,1,"John Wieczorek","2020-05-12",
"38426","not recorded",,1,"John Wieczorek","2020-05-12",
"38427","not recorded",,1,"John Wieczorek","2020-05-12",
"38428","not recorded",,1,"John Wieczorek","2020-05-12",
"38429","not recorded",,1,"John Wieczorek","2020-05-12",
"38430","not recorded",,1,"John Wieczorek","2020-05-12",
"38431","not recorded",,1,"John Wieczorek","2020-05-12",
"38432","not recorded",,1,"John Wieczorek","2020-05-12",
"38433","not recorded",,1,"John Wieczorek","2020-05-12",
"38434","not recorded",,1,"John Wieczorek","2020-05-12",
"38435","not recorded",,1,"John Wieczorek","2020-05-12",
"38436","not recorded",,1,"John Wieczorek","2020-05-12",
"38437","not recorded",,1,"John Wieczorek","2020-05-12",
"38438","not recorded",,1,"John Wieczorek","2020-05-12",
"38439","not recorded",,1,"John Wieczorek","2020-05-12",
"38440","not recorded",,1,"John Wieczorek","2020-05-12",
"38441","not recorded",,1,"John Wieczorek","2020-05-12",
"38442","not recorded",,1,"John Wieczorek","2020-05-12",
"38443","not recorded",,1,"John Wieczorek","2020-05-12",
"38444","not recorded",,1,"John Wieczorek","2020-05-12",
"38445","not recorded",,1,"John Wieczorek","2020-05-12",
"38446","not recorded",,1,"John Wieczorek","2020-05-12",
"38447","not recorded",,1,"John Wieczorek","2020-05-12",
"38448","not recorded",,1,"John Wieczorek","2020-05-12",
"38449","not recorded",,1,"John Wieczorek","2020-05-12",
"38450","not recorded",,1,"John Wieczorek","2020-05-12",
"38451","not recorded",,1,"John Wieczorek","2020-05-12",
"38452","not recorded",,1,"John Wieczorek","2020-05-12",
"38453","not recorded",,1,"John Wieczorek","2020-05-12",
"38454","not recorded",,1,"John Wieczorek","2020-05-12",
"38455","not recorded",,1,"John Wieczorek","2020-05-12",
"38456","not recorded",,1,"John Wieczorek","2020-05-12",
"38457","not recorded",,1,"John Wieczorek","2020-05-12",
"38458","not recorded",,1,"John Wieczorek","2020-05-12",
"38459","not recorded",,1,"John Wieczorek","2020-05-12",
"38460","not recorded",,1,"John Wieczorek","2020-05-12",
"38461","not recorded",,1,"John Wieczorek","2020-05-12",
"38462","not recorded",,1,"John Wieczorek","2020-05-12",
"38463","not recorded",,1,"John Wieczorek","2020-05-12",
"38464","not recorded",,1,"John Wieczorek","2020-05-12",
"38465","not recorded",,1,"John Wieczorek","2020-05-12",
"38466","not recorded",,1,"John Wieczorek","2020-05-12",
"38467","not recorded",,1,"John Wieczorek","2020-05-12",
"38468","not recorded",,1,"John Wieczorek","2020-05-12",
"38469","not recorded",,1,"John Wieczorek","2020-05-12",
"38470","not recorded",,1,"John Wieczorek","2020-05-12",
"38471","not recorded",,1,"John Wieczorek","2020-05-12",
"38472","not recorded",,1,"John Wieczorek","2020-05-12",
"38473","not recorded",,1,"John Wieczorek","2020-05-12",
"38474","not recorded",,1,"John Wieczorek","2020-05-12",
"38475","not recorded",,1,"John Wieczorek","2020-05-12",
"38476","not recorded",,1,"John Wieczorek","2020-05-12",
"38477","not recorded",,1,"John Wieczorek","2020-05-12",
"38478","not recorded",,1,"John Wieczorek","2020-05-12",
"38479","not recorded",,1,"John Wieczorek","2020-05-12",
"38480","not recorded",,1,"John Wieczorek","2020-05-12",
"38481","not recorded",,1,"John Wieczorek","2020-05-12",
"38482","not recorded",,1,"John Wieczorek","2020-05-12",
"38483","not recorded",,1,"John Wieczorek","2020-05-12",
"38484","not recorded",,1,"John Wieczorek","2020-05-12",
"38485","not recorded",,1,"John Wieczorek","2020-05-12",
"38486","not recorded",,1,"John Wieczorek","2020-05-12",
"38487","not recorded",,1,"John Wieczorek","2020-05-12",
"38488","not recorded",,1,"John Wieczorek","2020-05-12",
"38489","not recorded",,1,"John Wieczorek","2020-05-12",
"38490","not recorded",,1,"John Wieczorek","2020-05-12",
"38491","not recorded",,1,"John Wieczorek","2020-05-12",
"38492","not recorded",,1,"John Wieczorek","2020-05-12",
"38493","not recorded",,1,"John Wieczorek","2020-05-12",
"38494","not recorded",,1,"John Wieczorek","2020-05-12",
"38495","not recorded",,1,"John Wieczorek","2020-05-12",
"38496","not recorded",,1,"John Wieczorek","2020-05-12",
"38497","not recorded",,1,"John Wieczorek","2020-05-12",
"38498","not recorded",,1,"John Wieczorek","2020-05-12",
"38499","not recorded",,1,"John Wieczorek","2020-05-12",
"38500","not recorded",,1,"John Wieczorek","2020-05-12",
"38501","not recorded",,1,"John Wieczorek","2020-05-12",
"38502","not recorded",,1,"John Wieczorek","2020-05-12",
"38503","not recorded",,1,"John Wieczorek","2020-05-12",
"38504","not recorded",,1,"John Wieczorek","2020-05-12",
"38505","not recorded",,1,"John Wieczorek","2020-05-12",
"38506","not recorded",,1,"John Wieczorek","2020-05-12",
"38507","not recorded",,1,"John Wieczorek","2020-05-12",
"38508","not recorded",,1,"John Wieczorek","2020-05-12",
"38509","not recorded",,1,"John Wieczorek","2020-05-12",
"38510","not recorded",,1,"John Wieczorek","2020-05-12",
"38511","not recorded",,1,"John Wieczorek","2020-05-12",
"38512","not recorded",,1,"John Wieczorek","2020-05-12",
"38513","not recorded",,1,"John Wieczorek","2020-05-12",
"38514","not recorded",,1,"John Wieczorek","2020-05-12",
"38515","not recorded",,1,"John Wieczorek","2020-05-12",
"38516","not recorded",,1,"John Wieczorek","2020-05-12",
