verbatimFieldName	standardFieldName	namespace	standard	checked	source	comment
dwc:latestageorhigheststage	latestAgeOrHighestStage	dwc	0	1		
dwc:latesteonorhighesteonothem	latestEonOrHighestEonothem	dwc	0	1		
dwc:latestepochorhighestseries	latestEpochOrHighestSeries	dwc	0	1		
dwc:latesteraorhighesterathem	latestEraOrHighestErathem	dwc	0	1		
dwc:latestperiodorhighestsystem	latestPeriodOrHighestSystem	dwc	0	1		
dwc:lifestage	lifeStage	dwc	0	1		
dwc:lithostratigraphicterms	lithostratigraphicTerms	dwc	0	1		
dwc:locality	locality	dwc	0	1		
dwc:locationaccordingto	locationAccordingTo	dwc	0	1		
dwc:locationid	locationID	dwc	0	1		
dwc:locationremarks	locationRemarks	dwc	0	1		
dwc:lowestbiostratigraphiczone	lowestBiostratigraphicZone	dwc	0	1		
dwc:materialsampleid	materialSampleID	dwc	0	1		
dwc:maximumdepthinmeters	maximumDepthInMeters	dwc	0	1		
dwc:maximumdistanceabovesurfaceinmeters	maximumDistanceAboveSurfaceInMeters	dwc	0	1		
dwc:maximumelevationinmeters	maximumElevationInMeters	dwc	0	1		
dwc:member	member	dwc	0	1		
dwc:minimumdepthinmeters	minimumDepthInMeters	dwc	0	1		
dwc:minimumdistanceabovesurfaceinmeters	minimumDistanceAboveSurfaceInMeters	dwc	0	1		
dwc:minimumelevationinmeters	minimumElevationInMeters	dwc	0	1		
dwc:month	month	dwc	0	1		
dwc:municipality	municipality	dwc	0	1		
dwc:nameaccordingto	nameAccordingTo	dwc	0	1		
dwc:nameaccordingtoid	nameAccordingToID	dwc	0	1		
dwc:namepublishedin	namePublishedIn	dwc	0	1		
dwc:namepublishedinid	namePublishedInID	dwc	0	1		
dwc:namepublishedinyear	namePublishedInYear	dwc	0	1		
dwc:nomenclaturalcode	nomenclaturalCode	dwc	0	1		
dwc:nomenclaturalstatus	nomenclaturalStatus	dwc	0	1		
dwc:occurrenceid	occurrenceID	dwc	0	1		
dwc:occurrenceremarks	occurrenceRemarks	dwc	0	1		
dwc:occurrencestatus	occurrenceStatus	dwc	0	1		
dwc:order	order	dwc	0	1		
dwc:organismid	organismID	dwc	0	1		
dwc:organismname	organismName	dwc	0	1		
dwc:organismquantity	organismQuantity	dwc	0	1		
dwc:organismquantitytype	organismQuantityType	dwc	0	1		
dwc:organismremarks	organismRemarks	dwc	0	1		
dwc:organismscope	organismScope	dwc	0	1		
dwc:originalnameusage	originalNameUsage	dwc	0	1		
dwc:originalnameusageid	originalNameUsageID	dwc	0	1		
dwc:othercatalognumbers	otherCatalogNumbers	dwc	0	1		
dwc:ownerinstitutionCode	ownerInstitutionCode	dwc	0	1		
dwc:parenteventid	parentEventID	dwc	0	1		
dwc:parentnameusage	parentNameUsage	dwc	0	1		
dwc:parentnameusageid	parentNameUsageID	dwc	0	1		
dwc:phylum	phylum	dwc	0	1		
dwc:pointradiusspatialfit	pointRadiusSpatialFit	dwc	0	1		
dwc:preparations	preparations	dwc	0	1		
dwc:previousidentifications	previousIdentifications	dwc	0	1		
dwc:recordedby	recordedBy	dwc	0	1		
dwc:recordnumber	recordNumber	dwc	0	1		
dwc:reproductivecondition	reproductiveCondition	dwc	0	1		
dwc:samplesizeunit	sampleSizeUnit	dwc	0	1		
dwc:samplesizevalue	sampleSizeValue	dwc	0	1		
dwc:samplingeffort	samplingEffort	dwc	0	1		
dwc:samplingprotocol	samplingProtocol	dwc	0	1		
dwc:scientificname	scientificName	dwc	0	1		
dwc:scientificnameauthorship	scientificNameAuthorship	dwc	0	1		
dwc:scientificnameid	scientificNameID	dwc	0	1		
dwc:sex	sex	dwc	0	1		
dwc:specificepithet	specificEpithet	dwc	0	1		
dwc:startdayofyear	startDayOfYear	dwc	0	1		
dwc:stateprovince	stateProvince	dwc	0	1		
dwc:subgenus	subgenus	dwc	0	1		
dwc:taxonconceptid	taxonConceptID	dwc	0	1		
dwc:taxonid	taxonID	dwc	0	1		
dwc:taxonomicstatus	taxonomicStatus	dwc	0	1		
dwc:taxonrank	taxonRank	dwc	0	1		
dwc:taxonremarks	taxonRemarks	dwc	0	1		
dwc:typestatus	typeStatus	dwc	0	1		
dwc:verbatimcoordinates	verbatimCoordinates	dwc	0	1		
dwc:verbatimcoordinatesystem	verbatimCoordinateSystem	dwc	0	1		
dwc:verbatimdepth	verbatimDepth	dwc	0	1		
dwc:verbatimelevation	verbatimElevation	dwc	0	1		
dwc:verbatimeventdate	verbatimEventDate	dwc	0	1		
dwc:verbatimlatitude	verbatimLatitude	dwc	0	1		
dwc:verbatimlocality	verbatimLocality	dwc	0	1		
dwc:verbatimlongitude	verbatimLongitude	dwc	0	1		
dwc:verbatimsrs	verbatimSRS	dwc	0	1		
dwc:verbatimtaxonrank	verbatimTaxonRank	dwc	0	1		
dwc:vernacularname	vernacularName	dwc	0	1		
dwc:waterbody	waterBody	dwc	0	1		
dwc:year	year	dwc	0	1		
dynamicproperties	dynamicProperties	dwc	1	1		
earliestageorloweststage	earliestAgeOrLowestStage	dwc	1	1		
earliesteonorlowesteonothem	earliestEonOrLowestEonothem	dwc	1	1		
earliestepochorlowestseries	earliestEpochOrLowestSeries	dwc	1	1		
earliesteraorlowesterathem	earliestEraOrLowestErathem	dwc	1	1		
earliestperiodorlowestsystem	earliestPeriodOrLowestSystem	dwc	1	1		
enddayofyear	endDayOfYear	dwc	1	1		
establishmentmeans	establishmentMeans	dwc	1	1		
eventdate	eventDate	dwc	1	1		
eventid	eventID	dwc	1	1		
eventremarks	eventRemarks	dwc	1	1		
eventtime	eventTime	dwc	1	1		
extractionid			0	1	FIMS	
family	family	dwc	1	1		
field #			0	1		Could be a recordNumber or a fieldNumber.
fieldnotes	fieldNotes	dwc	1	1		
fieldnumber	fieldNumber	dwc	1	1		
footprintspatialfit	footprintSpatialFit	dwc	1	1		
footprintsrs	footprintSRS	dwc	1	1		
footprintwkt	footprintWKT	dwc	1	1		
formation	formation	dwc	1	1		
fundingsource			0	1	FIMS	
genetictissuetype			0	1	FIMS	Contributes "tissue" to dwc:preparations if present
genus	genus	dwc	1	1		
geodeticdatum	geodeticDatum	dwc	1	1		
geologicalcontextid	geologicalContextID	dwc	1	1		
georeferencedby	georeferencedBy	dwc	1	1		
georeferenceddate	georeferencedDate	dwc	1	1		
georeferenceprotocol	georeferenceProtocol	dwc	1	1		
georeferenceremarks	georeferenceRemarks	dwc	1	1		
georeferencesources	georeferenceSources	dwc	1	1		
georeferenceverificationstatus	georeferenceVerificationStatus	dwc	1	1		
group	group	dwc	1	1		
habitat	habitat	dwc	1	1		
higherclassification	higherClassification	dwc	1	1		
highergeography	higherGeography	dwc	1	1		
highergeographyid	higherGeographyID	dwc	1	1		
highestbiostratigraphiczone	highestBiostratigraphicZone	dwc	1	1		
id			0	1		ambiguous
identificationid	identificationID	dwc	1	1		
identificationqualifier	identificationQualifier	dwc	1	1		
identificationreferences	identificationReferences	dwc	1	1		
identificationremarks	identificationRemarks	dwc	1	1		
identificationverificationstatus	identificationVerificationStatus	dwc	1	1		
identifiedby	identifiedBy	dwc	1	1		
individualcount	individualCount	dwc	1	1		
informationwithheld	informationWithheld	dwc	1	1		
infraspecificepithet	infraspecificEpithet	dwc	1	1		
institutioncode	institutionCode	dwc	1	1		
institutionid	institutionID	dwc	1	1		
island	island	dwc	1	1		
islandgroup	islandGroup	dwc	1	1		
