verbatimReproductiveCondition	standardReproductiveCondition	standard	checked
HOW SEXED: GONADS. GONADS: ONE TESTIS DECOMPOSED. 		0	0
HOW SEXED: GONADS. GONADS: ONE TESTIS DECOMPOSED. COMMENT: DUCTS FOUND.		0	0
HOW SEXED: GONADS. GONADS: ONE TESTIS DECOMPOSED. COMMENT: TWO DUCTS FOUND.		0	0
HOW SEXED: GONADS. GONADS: ONE TESTIS DRAWN.		0	0
HOW SEXED: GONADS. GONADS: ONE TESTIS FOUND. COMME		0	0
HOW SEXED: GONADS. GONADS: ONE TESTIS FOUND. COMMENT: TWO DUCTS FOUND.		0	0
HOW SEXED: GONADS. GONADS: ONE TESTIS, 1.5 MM, FOU		0	0
HOW SEXED: GONADS. GONADS: ONE TESTIS, 1.5 MM, FOUND.		0	0
HOW SEXED: GONADS. GONADS: ONE YOLKED EGG, 8.5 MM.		0	0
HOW SEXED: GONADS. GONADS: ONE.		0	0
HOW SEXED: GONADS. GONADS: ONLY 1 CIRCA 13 X 10, P		0	0
HOW SEXED: GONADS. GONADS: ONLY 1 CIRCA 13 X 10, PARTLY DECOMPOSED.		0	0
HOW SEXED: GONADS. GONADS: ONLY 1 DUCT PRESENT.		0	0
HOW SEXED: GONADS. GONADS: ONLY 1 OVIDUCT PRESENT.		0	0
HOW SEXED: GONADS. GONADS: ONLY 1 TESTES: 4 X 2 MM		0	0
HOW SEXED: GONADS. GONADS: ONLY 1 TESTES: 4 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: ONLY LEFT TESTES PRESEN		0	0
HOW SEXED: GONADS. GONADS: ONLY LEFT TESTES PRESENT: 10 X 4.		0	0
HOW SEXED: GONADS. GONADS: ONLY LEFT TESTIS SEEN, 		0	0
HOW SEXED: GONADS. GONADS: ONLY LEFT TESTIS SEEN, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: ONLY LEFT TESTIS, 2.5 X		0	0
HOW SEXED: GONADS. GONADS: ONLY LEFT TESTIS, 2.5 X 1 MM WHITE.		0	0
HOW SEXED: GONADS. GONADS: ONLY ONE DUCT PRESENT (		0	0
HOW SEXED: GONADS. GONADS: ONLY ONE DUCT PRESENT (EJC).		0	0
HOW SEXED: GONADS. GONADS: ONLY ONE DUCT PRESENT.		0	0
HOW SEXED: GONADS. GONADS: ONLY RIGHT TESTIS PRESE		0	0
HOW SEXED: GONADS. GONADS: ONLY RIGHT TESTIS PRESENT, 6 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: ONLY RIGHT TESTIS VISIB		0	0
HOW SEXED: GONADS. GONADS: ONLY RIGHT TESTIS VISIBLE, 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OPAQUE.		0	0
HOW SEXED: GONADS. GONADS: OVA 1 MM. COMMENT: BROO		0	0
HOW SEXED: GONADS. GONADS: OVA 1 MM. COMMENT: BROOD PATCH.		0	0
HOW SEXED: GONADS. GONADS: OVA 10, 8 MM. COMMENT: 		0	0
HOW SEXED: GONADS. GONADS: OVA 10, 8 MM. COMMENT: SEXED AT AVIARY.		0	0
HOW SEXED: GONADS. GONADS: OVA APPROXIMATELY 0.4 M		0	0
HOW SEXED: GONADS. GONADS: OVA APPROXIMATELY 0.4 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA BARELY VISIBLE; OVI		0	0
HOW SEXED: GONADS. GONADS: OVA BARELY VISIBLE; OVIDUCT VISIBLE.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN & GRANULAR; D		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN & GRANULAR; DUCT NOT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN OPAQUE; DUCT 		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN OPAQUE; DUCT NOT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN WITH OVULES, 		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN WITH OVULES, DUCT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN WITH OVULES; 		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN WITH OVULES; DUCT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN WITH OVULES; DUCT NOT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, DOTTED; DUCT		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, DOTTED; DUCT NOT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, DOTTED; DUCT UNUSED.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, GRANULAR, DU		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, GRANULAR, DUCT NOT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, GRANULAR, NO		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, GRANULAR, NO DUCT FOUND.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, GRANULAR; DU		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, GRANULAR; DUCT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, GRANULAR; DUCT NOT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, OPAQUE; DUCT		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, OPAQUE; DUCT NOT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, OPAQUE; DUCT NOT USED.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, OPAQUE; DUCT UNUSED.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, W/OVULES; DU		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, W/OVULES; DUCT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, WITH OVULES;		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN, WITH OVULES; DUCT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN: 3.6 MM, REGR		0	0
HOW SEXED: GONADS. GONADS: OVA DRAWN: 3.6 MM, REGRESSED.		0	0
HOW SEXED: GONADS. GONADS: OVA ENLARGING.		0	0
HOW SEXED: GONADS. GONADS: OVA ENLARGING; DUCT MUC		0	0
HOW SEXED: GONADS. GONADS: OVA ENLARGING; DUCT MUCH ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVA GRAN & WITH OVULES;		0	0
HOW SEXED: GONADS. GONADS: OVA GRAN & WITH OVULES; DUCT LUMPY.		0	0
HOW SEXED: GONADS. GONADS: OVA RECEEDING; EGG CLUS		0	0
HOW SEXED: GONADS. GONADS: OVA RECEEDING; EGG CLUSTER SMALL.		0	0
HOW SEXED: GONADS. GONADS: OVA SOMEWHAT ENLARGED. 		0	0
HOW SEXED: GONADS. GONADS: OVA SOMEWHAT ENLARGED. COMMENT: NO BROOD PATCH.		0	0
HOW SEXED: GONADS. GONADS: OVA TO 1 MM DIAMETER.		0	0
HOW SEXED: GONADS. GONADS: OVA TO 10 MM. COMMENT: 		0	0
HOW SEXED: GONADS. GONADS: OVA TO 10 MM. COMMENT: OVIDUCT ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVA TRANSPARENT, OVIDUC		0	0
HOW SEXED: GONADS. GONADS: OVA TRANSPARENT, OVIDUCT VISIBLE.		0	0
HOW SEXED: GONADS. GONADS: OVA UNIFORM: OPAQUE; NO		0	0
HOW SEXED: GONADS. GONADS: OVA UNIFORM: OPAQUE; NO EGGS VISIBLE.		0	0
HOW SEXED: GONADS. GONADS: OVA UP TO 6 MM, OVIDUCT		0	0
HOW SEXED: GONADS. GONADS: OVA UP TO 6 MM, OVIDUCT SWOLLEN.		0	0
HOW SEXED: GONADS. GONADS: OVA: 2 X 1 MM; NOT GRAN		0	0
HOW SEXED: GONADS. GONADS: OVA: 2 X 1 MM; NOT GRANULAR, UNIFORM.		0	0
HOW SEXED: GONADS. GONADS: OVA: 4 X 5 MM; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVA: 4 X 5 MM; LARGEST OVUM < 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA: 5 X 3 MM; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVA: 5 X 3 MM; LARGEST EGG 1 MM DIAMETER.		0	0
HOW SEXED: GONADS. GONADS: OVA: 5 X 4 MM; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVA: 5 X 4 MM; LARGEST EGGS CIRCA 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA: 5 X 6 MM; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVA: 5 X 6 MM; LARGEST OVULE 1 x 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA: 7 X 2 MM; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVA: 7 X 2 MM; LARGEST OVULE 1 x 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA: 7 X 3 MM; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVA: 7 X 3 MM; LARGEST OVULE CIRCA 1 x 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA: 7 X 5 MM; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVA: 7 X 5 MM; LARGEST OVUM: 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA: 7 X 5 MM; LARGEST OVUM: 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVA: LARGE OVULES, DUCT		0	0
HOW SEXED: GONADS. GONADS: OVA: LARGE OVULES, DUCT ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARES 5 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIAN PRESENT BUT DAM		0	0
HOW SEXED: GONADS. GONADS: OVARIAN PRESENT BUT DAMAGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIAN TISSUE PRESENT 		0	0
HOW SEXED: GONADS. GONADS: OVARIAN TISSUE PRESENT BUT DEC.		0	0
HOW SEXED: GONADS. GONADS: OVARIES (2) 12 X 4 MM, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES (2) 12 X 4 MM, OVA TO 1.5.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 11 x 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 11 x 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 12 X 4, 5 X 2; 		0	0
HOW SEXED: GONADS. GONADS: OVARIES 12 X 4, 5 X 2; OVA FULLY DISTINCT. COMMENT: NO RUPTURED FOLLICLE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 13 X 2, 10 X 3 		0	0
HOW SEXED: GONADS. GONADS: OVARIES 13 X 2, 10 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 2 X 1.5 MM, OVA		0	0
HOW SEXED: GONADS. GONADS: OVARIES 2 X 1.5 MM, OVA DISTINCT.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 3 X 1.5 MM, YEL		0	0
HOW SEXED: GONADS. GONADS: OVARIES 3 X 1.5 MM, YELLOW.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 7 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES 8 X 2 MM, OVA <		0	0
HOW SEXED: GONADS. GONADS: OVARIES 8 X 2 MM, OVA < 1 x 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES CIRCA 11 x 2 MM		0	0
HOW SEXED: GONADS. GONADS: OVARIES CIRCA 11 x 2 MM, GRANULAR.		0	0
HOW SEXED: GONADS. GONADS: OVARIES CIRCA 2.5 X 2 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES CIRCA 2.5 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES CIRCA 3 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES CIRCA 8 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DAMAGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DEVELOPED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DISTINCT.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN, (LABELED		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN, (LABELED AS "TESTES").		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN, RIGHT SM		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN, RIGHT SMALL.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; 8 X 2 MM		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; 8 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; GRANULAR		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; GRANULAR.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; LARGEST 		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; LARGEST < 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; WITH OVU		0	0
HOW SEXED: GONADS. GONADS: OVARIES DRAWN; WITH OVULES, MAXIMUM 5 MM, DUCT LUMPY		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGED, DRAWN		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGED, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGED. COMME		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGED. COMMENT: BELLY BARE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGED. COMMENT: BP.		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGED. COMMENT: BROOD PATCH.		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGING. COMM		0	0
HOW SEXED: GONADS. GONADS: OVARIES ENLARGING. COMMENT: EXCESSIVELY BRIGHT.		0	0
HOW SEXED: GONADS. GONADS: OVARIES EXCEEDINGLY SMA		0	0
HOW SEXED: GONADS. GONADS: OVARIES EXCEEDINGLY SMALL.		0	0
HOW SEXED: GONADS. GONADS: OVARIES GRANULARS-SKETC		0	0
HOW SEXED: GONADS. GONADS: OVARIES GRANULARS-SKETCHED ON.		0	0
HOW SEXED: GONADS. GONADS: OVARIES GREATLY ENLARGE		0	0
HOW SEXED: GONADS. GONADS: OVARIES GREATLY ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES HIGHLY ENLARGED		0	0
HOW SEXED: GONADS. GONADS: OVARIES HIGHLY ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES IN NESTING COND		0	0
HOW SEXED: GONADS. GONADS: OVARIES IN NESTING CONDITION.		0	0
HOW SEXED: GONADS. GONADS: OVARIES LEFT: 10 X 7 LO		0	0
HOW SEXED: GONADS. GONADS: OVARIES LEFT: 10 X 7 LO 2 X 2; RIGHT DESTROYED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES LEFT: 15X7, RIG		0	0
HOW SEXED: GONADS. GONADS: OVARIES LEFT: 15X7, RIGHT: 14X4 MM,LARGEST OVUM: 3 MM		0	0
HOW SEXED: GONADS. GONADS: OVARIES LITTLE ACTIVE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES MINUTE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES MUCH ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES MUCH ENLARGED. COMMENT: BELLY BARE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT HIGHLY ENLA		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT HIGHLY ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT LARGE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT MUCH ENLARG		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT MUCH ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT WELL DEVELO		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT WELL DEVELOPED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES NOT WELL DEVELOPED. COMMENT: BROOD PATCH.		0	0
HOW SEXED: GONADS. GONADS: OVARIES PRESENT.		0	0
HOW SEXED: GONADS. GONADS: OVARIES REGRESSING; NES		0	0
HOW SEXED: GONADS. GONADS: OVARIES REGRESSING; NESTING.		0	0
HOW SEXED: GONADS. GONADS: OVARIES RIGHT 7.5 X 2.4		0	0
HOW SEXED: GONADS. GONADS: OVARIES RIGHT 7.5 X 2.4 MM. LEFT: 10.1 X 5.7 MM., TRANSPARENT.		0	0
HOW SEXED: GONADS. GONADS: OVARIES RIGHT 7.5 X 2.9		0	0
HOW SEXED: GONADS. GONADS: OVARIES RIGHT 7.5 X 2.9 MM. LEFT 6.7 X 2.7 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES RIGHT: 4 X 2.5,		0	0
HOW SEXED: GONADS. GONADS: OVARIES RIGHT: 4 X 2.5, LEFT: 6 X 4 MM, OVA TO 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES SKETCHED ON SQU		0	0
HOW SEXED: GONADS. GONADS: OVARIES SKETCHED ON SQUARE TAG.		0	0
HOW SEXED: GONADS. GONADS: OVARIES SLETCHED ON SQU		0	0
HOW SEXED: GONADS. GONADS: OVARIES SLETCHED ON SQUARE TAG.		0	0
HOW SEXED: GONADS. GONADS: OVARIES SLIGHTLY ENLARG		0	0
HOW SEXED: GONADS. GONADS: OVARIES SLIGHTLY ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES SLIGHTLY ENLARGED. COMMENT: BROOD PATCH.		0	0
HOW SEXED: GONADS. GONADS: OVARIES SMALL.		0	0
HOW SEXED: GONADS. GONADS: OVARIES SMALL. COMMENT:		0	0
HOW SEXED: GONADS. GONADS: OVARIES SMALL. COMMENT: EXTENSIVE BROOD PATCH.		0	0
HOW SEXED: GONADS. GONADS: OVARIES SOMEWHAT ENLARG		0	0
HOW SEXED: GONADS. GONADS: OVARIES SOMEWHAT ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY ENLARGED, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY ENLARGED, BELLY BARE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY SMALL.		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY SMALL. COM		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY SMALL. COMMENT: BELLY BARE.		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY SMALL; NO 		0	0
HOW SEXED: GONADS. GONADS: OVARIES VERY SMALL; NO EGGS.		0	0
HOW SEXED: GONADS. GONADS: OVARIES WELL ADVANCED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES WELL DEVELOPED.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: 12 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: 2, ADULT.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 10 X 3, RIGH		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 10 X 3, RIGHT: 9 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 10 X 4, RIGH		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 10 X 4, RIGHT: 11 x 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 11 x 2, RIGH		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 11 x 2, RIGHT: 9 X 2 MM, OVA <1.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 11 x 2, RIGHT: 9 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 11 x 2.5, RI		0	0
HOW SEXED: GONADS. GONADS: OVARIES: L 11 x 2.5, RIGHT: 10 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 2 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 2 MM, RIGHT: 8 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 2 MM; RIGHT: 7 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 2.5		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 2.5; RIGHT: 8 X 3.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 3, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 3, RIGHT: 8 X 3, OVA 0.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 3.5		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 3.5, RIGHT: 8 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 3.5; RIGHT: 10 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 5 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 10 X 5 MM; RIGHT: 4 X 1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11 x 2.5		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11 x 2.5; RIGHT: 10 X 3 MM;EGGS ~.5 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11 x 3 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11 x 3 MM, RIGHT: 8 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11 x 3, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11 x 3, RIGHT: 9 X 3 MM, GRANULAR.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11.5 X 3		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11.5 X 3, RIGHT: 10.5 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 11.5 X 3, RIGHT: 9 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 2 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 2 MM, RIGHT: 9 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 2.5		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 2.5, RIGHT: 11 x 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 3 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 3 MM, RIGHT: 10 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 3, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 3, RIGHT: 10.5 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 3, RIGHT: 12 X 2,OVA <<1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 4; 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 4; RIGHT: 5 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 5 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 5 MM, RIGHT: 10 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 7, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 12 X 7, RIGHT: 10 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 2.5		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 2.5, RIGHT: 11 x 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 3, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 3, RIGHT: 10 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 3, RIGHT: 11 x 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 3, RIGHT: 11 x 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 3; 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 3; RIGHT: 11 x 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 7, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 7, RIGHT: 9 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 7; 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13 X 7; RIGHT: 5 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13.5 X 3		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 13.5 X 3.5; RIGHT: 12 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 2 M		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 2 MM, RIGHT: 11 x 3.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 2 MM, RIGHT: 9 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 2, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 2, RIGHT: 12 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 2.5		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 2.5, RIGHT: 12 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 3, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 3, RIGHT: 11 x 2, OVA 1 MM. COMMENT: OVIDUCT 4 MM DIAMETER.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 3; 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 3; RIGHT: 12 X 3.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 4, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 4, RIGHT: 12 X 3, OVA <1 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 4; 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 14 X 4; RIGHT: 12 X 4;EGGS~.5-1.0 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 15 X 3, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 15 X 3, RIGHT: 12 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 16 X 2, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 16 X 2, RIGHT: 21 x 3 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 16 X 4, 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 16 X 4, RIGHT: 15 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 16 X 4; 		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 16 X 4; RIGHT: 13 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: OVARIES: LEFT: 16 X 8, 		0	0
