verbatimReproductiveCondition	standardReproductiveCondition	standard	checked
3 embs/2L+2R/cr=X34mm		0	0
3 embs/2R+1L/cr = X 19 mm		0	0
3 embs/2R+2L		0	0
3 embs/3 L/cr > 2 mm		0	0
3 embs/3 R/cr = 22 mm		0	0
3 embs/3L/cr = 17 mm		0	0
3 embs/3R/cr = X 5 mm		0	0
3 embs/3R+1L/cr=X12mm		0	0
3 embs/cr - X 1 mm		0	0
3 embs/cr = 26 mm		0	0
3 embs/cr = 28 mm		0	0
3 embs/cr = 33 mm		0	0
3 embs/cr = 7 mm		0	0
3 embs/cr = X 11 mm		0	0
3 embs/cr X 15 mm		0	0
3 embs: 1(L)&2(R)		0	0
3 embs: 1(R) & 2(L)		0	0
3 embs: 1(R)&2(L)=5mm		0	0
3 embs: 15mm		0	0
3 embs: 19mm		0	0
3 embs: 1L&2R		0	0
3 embs: 1L&2R; CR=3mm		0	0
3 embs: 1L&2R=4mm		0	0
3 embs: 1lf&2rt=7mm		0	0
3 embs: 1lf,2rt=45mm		0	0
3 embs: 1X2; CR=5 mm		0	0
3 embs: 2 R, 1 L; 18 mm		0	0
3 embs: 2(L)&1(R), dev		0	0
3 embs: 2(L)&1(R)=13mm		0	0
3 embs: 2(L)&1(R)=3mm		0	0
3 embs: 2(R) & 1(L)		0	0
3 embs: 2(R)&1(L)		0	0
3 embs: 2(R)&1(L):CR=20mm		0	0
3 embs: 2(R)&1(L):CR=5mm		0	0
3 embs: 2(R)&1(L)=33mm		0	0
3 embs: 2(R)&1(L)=5mm		0	0
3 embs: 2(R),1(L);CR=10mm		0	0
3 embs: 21 mm HR		0	0
3 embs: 22mm		0	0
3 embs: 2L&1R =8mm		0	0
3 embs: 2L&1R=5mm		0	0
3 embs: 2L, 1R (CR = 3mm)		0	0
3 embs: 2lf, 1rt, 77mm		0	0
3 embs: 2R&1L=12mm		0	0
3 embs: 2R, 1L (cr=15)		0	0
3 embs: 2rt&1lf, undev		0	0
3 embs: 2rt, 1lf = 3x10		0	0
3 embs: 3(L); CR=3mm		0	0
3 embs: 3(R)=5mm, lact		0	0
3 embs: 35mm		0	0
3 embs: 3R, 0L (CR=5mm)		0	0
3 embs: 7mm		0	0
3 embs: CR=20mm		0	0
3 embs: well dev		0	0
3 embs:(L); CR=14mm		0	0
3 embs:1(L),2(R); CR=3 mm		0	0
3 embs:14mm		0	0
3 embs:2(L)&1(R); CR=33mm		0	0
3 embs:2(L)&1(R);CR=35mm		0	0
3 embs:2(L)&1(R)=6mm		0	0
3 embs:2(L),1(R); CR=1mm		0	0
3 embs:2(R))&1(L), undev		0	0
3 embs:2(R),1(L);22mm		0	0
3 embs:24mm		0	0
3 embs:2lf&1rt=12mm&5mm		0	0
3 embs:2lf&1rt=17mm		0	0
3 embs:2lf&1rt=27mm		0	0
3 embs:2lf&1rt=3mm		0	0
3 embs:2rt&1lf (well dev)		0	0
3 embs; CR=3mm		0	0
3 embs; CR=43mm		0	0
3 lg. embryo; not lact.		0	0
3 mm		0	0
3 nearly full-term embryos;		0	0
