"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"HOLOTYPE OF MYRMOBORUS MYOTHERINUS INCANUS, HELLMAYR, C. E. 1929. ON HETEROGYNISM IN FORMICARIAN BIRDS. J. FUR ORNITHOLOGIE, 40-70. PAGE 55, PUBLISHED 29 OCTOBER 1929.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOBORUS STICTOPTERUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 162, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOPAGIS PARAENSIS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 73, PUBLISHED 30 DECEMBER 1920.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOPHYLAX STICTOTHORAX, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 173, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERA CAMPANISOMA SUBCANESCENS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 176, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERULA FULVIVENTRIS COSTARICENSIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 156, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERULA HAEMATONOTA PHAEONOTA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 157, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERULA IHERINGI HETEROPTERA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 158, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERULA KLAGESI, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 155, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERULA LEUCOPHTHALMA SORDIDA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 156, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERULA MENETRIESII OMISSA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 158, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF MYRMOTHERULA OCHROGYNA, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 157, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Naemorhedus sumatraensis ((Bechstein))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nasua narica ((Linneaus))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nasua nasua ((Linneaus))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nasuella olivacea lagunetae ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Natalus stramineus jamaicensis (Goodwin)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Natalus stramineus primus (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Natalus tumidirostris haymani (Goodwin, 1959)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NATRIX CYCLOPION FLORIDANA","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NATRIX DENDROPHIOPS NEGROSENSIS, TAYLOR, 1917, PHILIPPINE JOUR. SCI., (D) 12:356","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NATRIX FASCIATA CONFLUENS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NATRIX RHOMBIFERA BLANCHARDI, CLAY, 1938, ANN. CARNEGIE MUS., 27:251","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NATRIX RHOMBIFERA BLANCHARDI, CLAY, 1938, ANN. CARNEGIEMUS., 27:251","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NATRIX SIPEDON INSULARUM","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neacomys dubosti","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neacomys tenuipes (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nectomys palmipes","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nectomys squamipes tatei","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NECTURUS MACULOSUS STICTUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NEMOSIA PILEATA HYPOLEUCA, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 95, PUBLISHED 6 JUNE 1916.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NEOMORPHUS LEPIDOPHANES, TODD, W. E. C. 1925. FOUR NEW BIRDS FROM BRAZIL. PROC. BIOL. SOC. WASH., 111-114. PAGE 112, PUBLISHED 13 NOVEMBER 1925.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NEOMORPHUS SQUAMIGER, TODD, W. E. C. 1925. FOUR NEW BIRDS FROM BRAZIL. PROC. BIOL. SOC. WASH., 111-114. PAGE 112, PUBLISHED 13 NOVEMBER 1925.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neonycteris pusilla","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma albigula","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma albigula durangae (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma anthonyi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma chrysomelas","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma cinerea cinnamomea","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma cinerea cinnamomea (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma cinerea orolestes (Merriam)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma cinerea rupicola","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma cinerea rupicola (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma floridana attwateri","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma floridana attwateri (Mearns)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma floridana campestris","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma floridana campestris (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neotoma micropus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nesokia indica indica (Gray)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neusticomys monticolus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Neusticomys venezuelae ((Anthony))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Niviventer fulvescens ((Gray))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Noctilio albiventris cabrerai (Davis, 1976)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NONNULA FRONTALIS PALLESCENS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 116, PUBLISHED 27 JUNE 1919.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NONNULA RUBECULA SIMPLEX, TODD, W. E. C. 1937. NEW SOUTH AMERICAN BIRDS. ANNALS CARNEGIE MUSEUM, 243-255. PAGE 248, PUBLISHED 16 NOVEMBER 1937.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NONNULA RUBECULA SIMULATRIX, PARKES, K. C. 1970. THE RACES OF THE RUSTY-BREASTED NUNLET (NONNULA RUBECULA). BULL. BRIT. ORN. CLUB, 154-157. PAGE 155, PUBLISHED 21 DECEMBER 1970.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NUMIDA MELEAGRIS BODALYAE, BOULTON, R. 1934. NEW BIRDS FROM ANGOLA. PROC. BIOL. SOC. WASH., 45-48. PAGE 45, PUBLISHED 9 FEBRUARY 1934.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nyctalus noctula vetulinus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nyctanassa violacea bancrofti","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nycteris hispida ((Schreber & Schreber, 1775))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nycteris major ((Andersen & Andersen, 1912))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nyctinomops laticaudatus ferruginea ((Goodwin))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Nyctinomops macrotis ((Gray))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NYCTIPOLUS MACULOSUS, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 74, PUBLISHED 30 DECEMBER 1920.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NYSTACTES TAMATIA INEXPECTATUS, TODD, W. E. C. 1943. STUDIES IN THE JACAMARS AND PUFF-BIRDS. ANNALS CARNEGIE MUSEUM, 1-18. PAGE 14, PUBLISHED 20 OCTOBER 1943.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF NYSTACTES TAMATIA PUNCTULIGER, TODD, W. E. C. 1943. STUDIES IN THE JACAMARS AND PUFF-BIRDS. ANNALS CARNEGIE MUSEUM, 1-18. PAGE 14, PUBLISHED 20 OCTOBER 1943.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE of occulta","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OCEANODROMA KAEDINGI, ANTHONY, A. W. 1898. TWO NEW BIRDS FROM THE PACIFIC COAST OF AMERICA. AUK, 36-38. PAGE 37, PUBLISHED JANUARY 1898.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oceanodroma monteiroi (Bolton et al.,  Oct 2008)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ochotona hyperborea coreana (Allen & Andrews)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ochotona hyperborea kolymensis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ochotona princeps cinnamomea (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ochotona princeps flgginsi (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ochotona thibetana osgoodi (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OCREATUS UNDERWOODI POLYSTICTUS, TODD, W. E. C. 1942. LIST OF THE HUMMINGBIRDS IN THE COLLECTION OF THE CARNEGIE MUSEUM. ANNALS CARNEGIE MUSEUM, 271-370. PAGE 347, PUBLISHED 31 DECEMBER 1942.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Odocoileus virginianus chiriquensis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Odocoileus virginianus couesi ((Coues & Yarrow))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Odocoileus virginianus gymnotis ((Wiegmann))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Odocoileus virginianus sinaloae (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ODONTOPHORUS CAPISTRATUS, TODD, W. E. C. 1932. SEVEN APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 215-220. PAGE 215, PUBLISHED 26 NOVEMBER 1932.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ODONTOPHORUS VARIEGATUS, TODD, W. E. C. 1919. DESCRIPTIONS OF APPARENTLY NEW COLOMBIAN BIRDS. PROC. BIOL. SOC. WASH., 113-118. PAGE 116, PUBLISHED 27 JUNE 1919.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys bicolor (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys flavicans (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys paricola ((The Coryndon Museum))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys rutilus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys speciosus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys speciosus ((Allen & Chapman))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys superans (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oecomys trinitatis ((Allen & Chapman))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OEDIPINA TAYLORI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OEDIPUS CUCHUMATANUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OEDIPUS LINCOLNI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OEDIPUS MOSAUERI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OEDIPUS ODONNELLI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OF HAZELIA SPINOSA, TAYLOR, 1920, PHILIPPINE JOUR. SCI. 16:292","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Olallamys albicauda ((Gunther))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oligoryzomys eliurus (Wagner)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oligoryzomys fulvescens","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oligoryzomys fulvescens ((Saussure))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oligoryzomys fulvescens costaricensis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oligoryzomys microtis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ondatra zibethicus pallidus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ondatra zibethicus zibethicus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Onychomys leucogaster fuscogriseus","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OPHEODRYS AESTIVUS CONANTI, GROBMAN, 1984, BULL. FLORIDA STATE MUS. BIOL. SCI., 29(4):166","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OPHEODRYS VERNALIS BLANCHARDI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OPIPEUTER XESTUS","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oreamnos americanus columbiae (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oreamnos americanus missoulae (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OREOPELEIA ERYTHROPAREIA LORICATA, TODD, W. E. C. 1947. TWO NEW SOUTH AMERICAN PIGEONS. PROC. BIOL. SOC. WASH., 67-68. PAGE 67, PUBLISHED 2 JULY 1947.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OREORTYX PICTA CONFINIS, ANTHONY, A. W. 1889. NEW BIRDS FROM LOWER CALIFORNIA, MEXICO. PROC. CALIF. ACAD. SCI. (2), 73-82. PAGE 74, PUBLISHED 11 OCTOBER 1889.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oreortyx picta eremophilus","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ORODYNASTES STRIATICOLLIS COLUMBIANUS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 171, PUBLISHED 8 AUGUST 1913.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ORTALIS GUTTATA SUBAFFINIS, TODD, W. E. C. 1932. CRITICAL NOTES ON THE CRACIDAE. PROC. BIOL. SOC. WASH., 209-214. PAGE 211, PUBLISHED 26 NOVEMBER 1932.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orthogeomys cherrei cherrei ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orthogeomys cherriei","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orthogeomys cherriei carlosensis ((Goodwin))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orthogeomys grandis carbo","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orthogeomys heterodus cartagoensis ((Goodwin))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orthogeomys hispidus negatus ((Goodwin))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orthogeomys matagalpae ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Orycteropus afer faradjius (Hatt)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys albigularis maculiventer (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys albigularis oconnelli (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys albigularis pectoralis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys alfaroi ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys alfaroi agrestis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys alfaroi alfaroi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys alfaroi alfaroi ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys alfaroi gloriaensis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys auriventer nimbosus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys bolivaris (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys capito (Olfers)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys couesi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys couesi ((Alston))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys couesi mexicanus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys keaysi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys keaysi (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys macconnelli (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys palustris natator","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys palustris palustris","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys palustris palustris ((Harlan))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys talamancae (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oryzomys xanthaeolus xanthaeolus (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Osbornictis piscivora","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Osgoodomys banderanus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OSTINOPS DECUMANUS MELANTERUS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 3, PUBLISHED 22 JANUARY 1917.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OSTINOPS SINCIPITALIS AUSTRALIS, TODD, W. E. C. 1917. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM COLOMBIA AND BOLIVIA. PROC. BIOL. SOC. WASH., 3-6. PAGE 3, PUBLISHED 22 JANUARY 1917.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Otomys maximus (Rhoads)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Otonyctomys hatti","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ototylomys phyllotis phyllotis (Merriam)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Otus asio cardonensis","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OTUS ASIO SEMPLEI, SUTTON, G. M., AND T. D. BURLEIGH. 1939. A NEW SCREECH OWL FROM NUEVO LEON **LISTED INCORRECTLY AS 13 FEB**. AUK, 174-175. PAGE 174, PUBLISHED APRIL 1939.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF OTUS SCOPS NIVOSUS, KEITH, S., AND A. TWOMEY. 1968. NEW DISTRIBUTIONAL RECORDS OF SOME EAST AFRICAN BIRDS. IBIS, 537-548. PAGE 538, PUBLISHED 1 OCTOBER 1968.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ovis dalli kenaiensis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ovis dalli stonei (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Ovis nivicola (Eschscholtz)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oxymycterus hucucha","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Oxymycterus incae juliacae (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Pachycephalopsis hattamensis insularis","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PACHYDACTYLUS BIBRONII PULITZERAE, SCHMIDT, 1933, ANN. CARNEGIE MUS., 22:6","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PACHYSYLVIA OCHRACEICEPS VIRIDIOR, TODD, W. E. C. 1929. A REVIEW OF THE VIREONINE GENUS PACHYSYLVIA. PROC. BIOL. SOC. WASH., 181-206. PAGE 194, PUBLISHED 16 JULY 1929.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PACHYSYLVIA SEMICINEREA VIRIDICEPS, TODD, W. E. C. 1929. A REVIEW OF THE VIREONINE GENUS PACHYSYLVIA. PROC. BIOL. SOC. WASH., 181-206. PAGE 191, PUBLISHED 16 JULY 1929.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Paguma larvata hainana (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PALUDICOLA PUSILLA","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Panthera leo azandicus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Panthera leo vernayi ((Rhoads))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Panthera onca onca ((Linneaus))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Panthera onca peruvianus ((Blainville))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Panthera pardus","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PARAGEHYRA GABRIELLAE","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Paraleptomys wilhelmina","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Paranyctimene raptor (Tate, 1942)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PAROEDURA KARSTOPHILA","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PAROEDURA MAINGOKA","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PAROEDURA MASOBE","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PAROEDURA TANJAKA","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PAROEDURA VAHINY","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PAROEDURA VAZIMBA","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Passerculus rostratus anulus","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PASSERELLA ILIACA STEPHENSI, ANTHONY, A. W. 1895. NEW RACES OF COLAPTES AND PASSERELLA FROM THE PACIFIC COAST. AUK, 347-349. PAGE 348, PUBLISHED OCTOBER 1895.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Pecari tajacu patira (Kerr)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Pellorneum ruficeps victoriae","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PENELOPE ARGYROTIS OLIVACEICEPS, TODD, W. E. C. 1932. CRITICAL NOTES ON THE CRACIDAE. PROC. BIOL. SOC. WASH., 209-214. PAGE 210, PUBLISHED 26 NOVEMBER 1932.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PENELOPE COLOMBIANA, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 213, PUBLISHED 20 MAY 1912.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PENELOPE JACQUACU ORIENTICOLA, TODD, W. E. C. 1932. CRITICAL NOTES ON THE CRACIDAE. PROC. BIOL. SOC. WASH., 209-214. PAGE 211, PUBLISHED 26 NOVEMBER 1932.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF PENELOPE SPECIOSA, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 79-82. PAGE 82, PUBLISHED 13 APRIL 1915.","holotype",,1,"John Wieczorek","2017-08-25"
