"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"Additional Material, Figured",,,1,"John Wieczorek","2018-04-29"
"Additional Material, Genetic Voucher",,,1,"John Wieczorek","2018-04-29"
"Additional Material, Holotype","holotype",,1,"John Wieczorek","2018-04-29"
"Additional Material, Paralectotype, Syntype","paralectotype | syntype",,1,"John Wieczorek","2018-05-20"
"Additional Material, Paratype","paratype",,1,"John Wieczorek","2018-04-28"
"Additional Material, Syntype","syntype",,1,"John Wieczorek","2018-04-26"
"Additional Material, Voucher",,,1,"John Wieczorek","2018-04-29"
"Additional Material, Voucher, Figured",,,1,"John Wieczorek","2018-04-29"
"Additional Material, Voucher, Genetic Voucher",,,1,"John Wieczorek","2018-04-29"
"allotype","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF DEIROCHELYS RETICULARIA CHRYSEA","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF EURYCEA NANA","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF NECTURUS MACULOSUS STICTUS","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF PLETHODON LONGICRUS","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF PSEUDEMYS FLORIDANA SUWANNIENSIS","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF SYNCOPE ANTENORI","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF TRITURUS GRANULOSUS TWITTYI","allotype",,1,"John Wieczorek","2017-08-25"
"ALLOTYPE OF TRITURUS PERSTRIATUS","allotype",,1,"John Wieczorek","2017-08-25"
"AToL voucher",,,1,"John Wieczorek","2017-08-25"
"authentic",,,1,"John Wieczorek","2017-08-25"
"authentic material",,,1,"John Wieczorek","2017-08-25"
"C.-n. sp. paratype; figured and cited; A.-cited","paratype",,1,"John Wieczorek","2017-08-25"
"Cast of Figured Specimen",,,1,"John Wieczorek","2017-08-25"
"Cast of holotype","plastotype",,1,"John Wieczorek","2017-08-25"
"Cast of lectotype","lectotype",,1,"John Wieczorek","2017-08-25"
"Cast of paralectotype","paralectotype",,1,"John Wieczorek","2017-08-25"
"Cast of Paratype","paratype",,1,"John Wieczorek","2017-08-25"
"Cast of syntype","syntype",,1,"John Wieczorek","2017-08-25"
"Chapin TYPE","type",,1,"John Wieczorek","2017-08-25"
"Cited",,,1,"John Wieczorek","2017-08-25"
"Cited; Cited; Cited",,,1,"John Wieczorek","2017-08-25"
"Cited; Holotype","holotype",,1,"John Wieczorek","2017-08-25"
"cited-H. and A.; figured and cited-P; both n. comb.",,,1,"John Wieczorek","2017-08-25"
"Co - Type","cotype",,1,"John Wieczorek","2017-08-25"
"Co TYPE","cotype",,1,"John Wieczorek","2017-08-25"
"Cotype","cotype",,1,"John Wieczorek","2017-08-25"
"'Cotype'","cotype",,1,"John Wieczorek","2017-08-25"
"Co-Type","cotype",,1,"John Wieczorek","2017-08-25"
"Cotype ?","cotype",,1,"John Wieczorek","2017-08-25"
"Cotype [=Paratype]","cotype",,1,"John Wieczorek","2017-08-25"
"Co-TYPE of Oestrelata nigripennis","cotype",,1,"John Wieczorek","2017-08-25"
"Co-Type specimen","cotype",,1,"John Wieczorek","2017-08-25"
"Cotype, Syntype","cotype",,1,"John Wieczorek","2017-08-25"
"CO-TYPE.","cotype",,1,"John Wieczorek","2017-08-25"
"COTYPE?","cotype",,1,"John Wieczorek","2017-08-25"
"Co-type?","cotype",,1,"John Wieczorek","2017-08-25"
"cotypes","cotype",,1,"John Wieczorek","2017-08-25"
"Co-types","cotype",,1,"John Wieczorek","2017-08-25"
"Cotypes (Holotype and Paratype)","type",,1,"John Wieczorek","2017-08-25"
"DM Harris",,,1,"John Wieczorek","2017-08-25"
"drawing of type",,,1,"John Wieczorek","2017-08-25"
"DRAWINGOFTYPE",,,1,"John Wieczorek","2017-08-25"
"DUPICADO BPI, LIL",,,1,"John Wieczorek","2017-08-25"
"DUPLICADO BPI",,,1,"John Wieczorek","2017-08-25"
"DUPLICADO LIL",,,1,"John Wieczorek","2017-08-25"
"ecotype (from Oberlin label)","ecotype",,1,"John Wieczorek","2017-08-25"
"epitype","epitype",,1,"John Wieczorek","2017-08-25"
"Erroneous Citation",,,1,"John Wieczorek","2018-04-29"
"ex Holotype","type",,1,"John Wieczorek","2017-08-25"
"ex MS Holotype","type",,1,"John Wieczorek","2017-08-25"
"ex MS Paratype(s)","paratype",,1,"John Wieczorek","2017-08-25"
