"Waterbody"
"Firth of Forth"
"Fishdam River"
"Flat River"
"Flint River"
"Florida Bay"
"Ford Lake"
"Ford River"
"Forked River"
"Fourche La Fave River"
"Fox River"
"Foxe Basin"
"Frankliln Bay"
"Fraser River"
"French Broad River"
"Friday Harbor"
"Galveston Bay"
"Gambia River"
"Gambier Bay"
"Ganges River"
"Gardiners Bay"
"Gasconade River"
"Gauley River"
"Gavley River"
"Genesee River"
"George Inlet"
"Georgian Bay"
"Gila River"
"Glacial Lake Vitim"
"Glacier Bay"
"Goguac Lake"
"Golden Creek"
"Golfo de Campeche"
"Golfo de Paria"
"Grand River"
"Grantley Harbor"
"Grays Harbor"
"Great Egg Harbor River"
"Great Fish River"
"Great Miami River"
"Great Peconic Bay"
"Great Salt Lake"
"Great Sound River"
"Great South Bay"
"Green River"
"Greenbrier River"
"Greenland Sea"
"Guadalupe River"
"Guantánamo Bay"
"Gulf of Aaska"
"Gulf of Alaska"
"Gulf of Carpentaria"
"Gulf of Chiriquí"
"Gulf of Finland"
"Gulf of Guinea"
"Gulf of Maine"
"Gulf of Mexico"
"Gulf of Panama"
"Gulf of Pará"
"Gulf of Paria"
"Gulf of Persia"
"Gulf of Saint Lawrence"
"Gulf of Siam"
"Gulf of Thailand"
"Gull Lake"
"Guyandotte River"
"Hackensack River"
"Halfmoon Lake"
"Hamilton River"
"Hart Lake"
"Hatchie River"
"Hawassee River"
"Hecate Strait"
"Herendeen Bay"
"Herring Bay"
"Herron Creek"
"Hewlett Bay"
"Hiawasse River"
"Hidden Bay"
"Hillsborough Bay"
"Hillsborough River"
"Hilltop Lake"
"Hingham Bay"
"Hiwasee River"
"Hobart Bay"
"Holston River"
"Holston River, Tennessee River"
"Homochitto River"
"Hooper Bay"
"Hope Bay"
"Horseshoe Bay"
"Houghton Creek"
"Housatonic River"
"Howe Sound"
"Hudson Bay"
"Hudson River"
"Hudson River, Passaic River"
"Hudson River, Raritan River"
"Hudson Strait"
"Humedal de Batuco"
"Huron River"
"Icy Strait"
"Ili River"
"Illinois"
"Illinois River"
"Imara River"
"Imuruk Basin"
"Indian Harbor"
"Indian Lake"
"Indian Ocean"
"Indian River"
"Indus River"
"Intermediate Lake"
"Iowa River"
"Ipswich River"
"Irish Sea"
"Isle au Haut Bay"
"Ivindo River"
"Ivindo-Ogoouè River"
"Jacks Creek"
"Jamaica Bay"
"James"
"James Bay"
"James River"
"Janauacá"
"Java Sea"
"Joy Bay"
"Kachemak Bay"
"Kagwalas River"
"Kalamink Creek"
"Kanawha River"
"Kanawha River, New River"
"Kankakee"
"Kansas River"
"Kanuti Lake"
"Kareiga River"
"Kaskaskia River"
"Kaw River"
"Kelp Bay"
"Ken River"
"Kennebec River"
"Kentucky River"
"Keowee River"
"Kiamichi River"
"Kiboko River"
"Kissimmee River"
"Klacking Creek"
"Klamath River"
"Korea Strait"
"Korean Strait"
"Koriabo River"
"Kotzebue Sound"
"Kourou River"
"Kura River"
"Labrador Sea"
"Lac Blue Sea"
"Lago Buenos Aires"
"Lago Colhue Huapi"
"Lago de Nicaragua"
"Lago de Pátzcuaro"
"Lago Fontana"
"Lago Gatún"
"Lago Maracaibo"
"Lago Musters"
"Lago Tefé"
"Lago Titicaca"
"Lago Umayo"
"Laguna Amarga"
"Laguna Canrash"
"Laguna Chairá"
"Laguna Choclococha"
"Laguna Conococha"
"Laguna de Aculeo"
"Laguna de Chacán"
"Laguna de Colta"
"Laguna de Cuyutlán"
"Laguna de los Cisnes"
"Laguna de Pedro Palo"
"Laguna de Suches"
"Laguna de Tamiahua"
"Laguna de Tapara"
"Laguna del Alto"
"Laguna del Encañado"
"Laguna del Mar Muerto"
"Laguna del Maule"
"Laguna Huaypo"
"Laguna Islacocha"
"Laguna Lagarta"
"Laguna Lagunillas"
"Laguna Las Truchas"
"Laguna Madre"
"Laguna Merín"
"Laguna Negra"
"Laguna Pampacocha"
"Laguna Parinacota"
"Laguna Piuray"
"Laguna Santa Rosa"
"Laguna Sonzapote"
"Laguna Terraplén"
"Lagunas de Mojanda"
"Lagunas Llanganuco"
"Lake Albert"
"Lake Austin"
"Lake Baringo"
"Lake Bloomington"
"Lake Bolshoye Toko"
"Lake Champlain"
"Lake Champlain Drainage"
"Lake Chanka"
"Lake Chicot"
"Lake Erie"
"Lake Erie Drainage"
"Lake Fort Phantom Hill"
"Lake Huron"
"Lake Istokpoga"
"Lake Jessup"
"Lake Jocassee"
"Lake Khanka"
"Lake Kivu"
"Lake Kubenskoye"
"Lake Kyoga"
"Lake Langano"
"Lake Lansing"
"Lake Leon"
"Lake Macbride"
"Lake Magadi"
"Lake Manitoba"
"Lake Manyara"
"Lake McConahoy"
"Lake Michigan"
"Lake Naivasha"
"Lake Nakuru"
"Lake Ngami"
"Lake Okeechobee"
"Lake Ontario"
"Lake Ontario Drainage"
"Lake Pilot"
"Lake Pontchartrain"
"Lake Sammamish"
"Lake Sarysu"
"Lake Simcoe"
"Lake Sunapee"
"Lake Superior"
"Lake Vänern"
"Lake Villi"
"Lake Waccamaw"
"Lake Washington"
"Lake Winnipeg"
"Lamine River"
"Lapeer County"
"Lara-Ogoouè-Okano River"
"Laredo Lake"
"Leech Lake"
"Lena River"
"Licking River"
"Little Bear Lake"
"Little Brazos River"
"Little Indian River"
"Little Kanawha River"
"Little Miami River, Ohio River"
"Little Ogeechee River"
"Little Peconic Bay"
"Little Pigeon River"
"Little Playgreen Lake"
"Little River"
"Little Sandy River"
"Little Talbot Sound"
"Little Tennessee River"
"Liverpool Bay"
"Lobé River"
"Lokoundjé River"
"Lolo-Ogoouè River"
"Long Island Sound"
"Louétsi-Ngounié River"
"Lower East Coast Basin"
"Lower Two Medicine River"
"Lower Yukon River"
"Lumber Creek"
"Lumber River"
"Lumber River, Pee Dee River"
"Lutemo River"
"Magician Lake"
"Malagarasi River"
"Malay Strait"
"Malheur Lake"
"Malvo River"
"Manistee River"
"Maple River"
"Maquoketa River"
"Mar de Cortés"
"Mara River"
"Maritime Southeast Asia"
"Massachusetts Bay"
"Matagorda Bay"
"Maumee River"
"Maurice River"
"Mayor Channel"
"Mays River"
"McConnell River"
"McMurdo Sound"
"Mediterranean Sea"
"Meherrin River"
"Meramec River"
"Merrimack River"
"Mida Creek"
"Middle Bay"
"Middle Fork River"
"Milakokia River"
"Mill Creek"
"Mill Lake"
"Milne Bay"
"Misery River"
"Mississippi"
"Mississippi River"
"Mississippi River, Obion River"
"Mississippi Sound"
"Missouri"
"Missouri River"
"Mkushi River"
"Mobile  River"
"Mobile Bay"
