verbatimGeodeticDatum	standardGeodeticDatum	epsg	standard	checked
Indonesian 1974	Indonesian 1974	6238	1	1
International 1924 ellipsoid	International 1924 ellipsoid	7022	1	1
Ireland 1965	Ireland 1965		1	1
ISTS 061 Astro 1968	ISTS 061 Astro 1968	6722	1	1
ISTS 073 Astro 1969	ISTS 073 Astro 1969	6724	1	1
Japanese Geodetic Datum 2000	Japanese Geodetic Datum 2000	6612	1	1
Johnston Island 1961	Johnston Island 1961	6725	1	1
Kandawala	Kandawala	6244	1	1
Kapingamarangi Astronomic Station No. 3 1951	Kapingamarangi Astronomic Station No. 3 1951		1	1
Kerguelen Island 1949	Kerguelen Island 1949		1	1
Kertau 1948	Kertau 1948		1	1
Korean Geodetic System 1995	Korean Geodetic System 1995	6166	1	1
Krassovsky 1940 ellipsoid	Krassovsky 1940 ellipsoid	7024	1	1
Kusaie Astro 1951	Kusaie Astro 1951	6735	1	1
L.C. 5 Astro 1961	L.C. 5 Astro 1961		1	1
LaFever, D			0	1
Laurencio, D			0	1
Leigon	Leigon	6250	1	1
Lemuta	Lemuta		1	1
Liberia 1964	Liberia 1964	6251	1	1
Luzon	Luzon		1	1
MAD27	NAD27	4267	0	1
Mahe 1971	Mahe 1971	6256	1	1
Massawa	Massawa	6262	1	1
Merchich	Merchich	6261	1	1
Michael T. Hill			0	1
Midway Astro 1961	Midway Astro 1961	6727	1	1
Minna	Minna	6263	1	1
MNAD27	NAD27	4267	0	1
Modified Airy ellipsoid	Modified Airy ellipsoid	7002	1	1
Modified Fischer 1960 ellipsoid	Modified Fischer 1960 ellipsoid		1	1
Montserrat Island Astro 1958	Montserrat Island Astro 1958	6604	1	1
M'Poraloko	M'Poraloko	6266	1	1
NAD			0	1
NAD 1927	NAD27	4267	0	1
NAD 1928	NAD27	4267	0	1
NAD 1929	NAD27	4267	0	1
NAD 1930	NAD27	4267	0	1
NAD 1931	NAD27	4267	0	1
NAD 1932	NAD27	4267	0	1
NAD 1983	NAD83	4269	0	1
NAD 27	NAD27	4267	0	1
NAD 83	NAD83	4269	0	1
NAD1927	NAD27	4267	0	1
NAD1983	NAD83	4269	0	1
NAD2	NAD27	4267	0	1
NAD227	NAD27	4267	0	1
NAD237	NAD27	4267	0	1
NAD24	NAD27	4267	0	1
NAD27	NAD27	4267	1	1
NAD27 UTM, NAD83 Decimal Degrees	NAD83	4269	0	1
NAD27				NAD27	4267	0	1
NAD27`	NAD27	4267	0	1
NAD27d	NAD27	4267	0	1
NAD27L	NAD27	4267	0	1
NAD28	NAD27	4267	0	1
NAD287	NAD27	4267	0	1
NAD37	NAD27	4267	0	1
NAD38	NAD83	4269	0	1
NAD7	NAD27	4267	0	1
NAD72	NAD27	4267	0	1
NAD82	NAD83	4269	0	1
NAD82/WSS84	WGS84	4326	0	1
NAD83	NAD83	4269	1	1
NAD83/WGS84	WGS84	4326	0	1
NAD83/WSS84	WGS84	4326	0	1
NAD832	NAD83	4269	0	1
NAD83Z	NAD27	4267	0	1
NAD84	NAD83	4269	0	1
NAD87			0	1
NAD8e	NAD83	4269	0	1
NADS27	NAD27	4267	0	1
Nahrwan	Nahrwan		1	1
Naparima 1972	Naparima 1972	6271	1	1
Naparima, BWI	Naparima, BWI		1	1
North American Datum 1927	NAD27	4267	0	1
North American Datum 1983	NAD83	4269	0	1
North Sahara 1959	North Sahara 1959		1	1
not applicable (no coordinates)			0	1
not provided	not recorded (forced WGS84)	6030	0	1
not rec.	not recorded (forced WGS84)	6030	0	1
not recorded	not recorded (forced WGS84)	6030	0	1
not recorded (forced WGS84)	not recorded (forced WGS84)	6030	1	1
not recorded\; assume WGS84 for Australia	not recorded		0	1
Observatorio Meteorologico 1939	Observatorio Meteorologico 1939	6182	1	1
Ocotepeque	Ocotepeque 1935		0	1
Ocotepeque 1935	Ocotepeque 1935		1	1
Old Egyptian 1907	Old Egyptian 1907	6229	1	1
Old Hawaiian, Clarke 1866	Old Hawaiian, Clarke 1866		1	1
Old Hawaiian, International 1924	Old Hawaiian, International 1924		1	1
Old Trinidad 1903	Old Trinidad 1903		1	1
Oman	Oman	6232	1	1
Ordnance Survey of Great Britain 1936	Ordnance Survey of Great Britain 1936		1	1
Pen			0	1
Pico de las Nieves	Pico de las Nieves	6728	1	1
Pitcairn Astro 1967	Pitcairn Astro 1967	6729	1	1
Point 58	Point 58	6620	1	1
Point Noire 1958	Point Noire 1958	6282	1	1
Porto Santo 1936	Porto Santo 1936	6615	1	1
Provisional South American 1956	Provisional South American 1956		1	1
Provisional South Chilean 1963	Provisional South Chilean 1963	6254	1	1
PRP_M	Provisional South American 1956		0	1
Puerto Rico	Puerto Rico	6139	1	1
Qatar National	Qatar National	6614	1	1
Qornoq	Qornoq	6287	1	1
Reunion	Reunion	6626	1	1
Rodriguez, Heather G			0	1
Rodriguez, Heather G.			0	1
Rodriguez, HG			0	1
Rome 1940	Rome 1940	6806	1	1
S-42 (Pulkovo 1942)	S-42 (Pulkovo 1942)	6284	1	1
SAD69	South American 1969	6618	0	1
Santo (DOS) 1965	Santo (DOS) 1965	6730	1	1
Sao Braz	Sao Braz	6184	1	1
Sapper Hill 1943	Sapper Hill 1943	6292	1	1
Schwarzeck	Schwarzeck	6293	1	1
Selvagem Grande 1938	Selvagem Grande 1938	6616	1	1
Sierra Leone 1960	Sierra Leone 1960		1	1
SIRGAS	SIRGAS		1	1
SIRGAS - South American Geocentric Reference System	SIRGAS - South American Geocentric Reference Syste		1	1
S-JTSK	S-JTSK	6156	1	1
South American 1969	South American 1969	6618	1	1
South Asia	South Asia		1	1
T J Hibbitts			0	1
T. J. Hibbitts and D. Laurencio			0	1
Tananarive Observatory 1925	Tananarive Observatory 1925	6297	1	1
Terrametrics 2008	WGS84	4326	0	1
Timbalai 1948	Timbalai 1948	6298	1	1
TJ Hibbitts			0	1
TJH and DL			0	1
TJH, DL, and MTH			0	1
TJHibbitts			0	1
Tokyo	Tokyo	6301	1	1
TOY_A	Tokyo	6301	0	1
Tristan Astro 1968	Tristan Astro 1968	6734	1	1
undet	not recorded (forced WGS84)	6030	0	1
undet.	not recorded (forced WGS84)	6030	0	1
undetermined	not recorded (forced WGS84)	6030	0	1
unknown	not recorded (forced WGS84)	6030	0	1
UTM			0	1
UTM NAD27, NAD83 Decimal Degrees	NAD83	4269	0	1
UTM zone 17M			0	1
UTMG NAD27, Decimal Degrees NAD83	NAD83	4269	0	1
Viti Levu 1916	Viti Levu 1916	6731	1	1
Voirol 1874	Voirol 1874		1	1
Voirol 1960	Voirol 1960		1	1
Wake Island Astro 1952	Wake Island Astro 1952	6733	1	1
Wake-Eniwetok 1960	Wake-Eniwetok 1960	6732	1	1
Waldo			0	1
WG84	WGS84	4326	0	1
WGIS84	WGS84	4326	0	1
WGS	WGS84	4326	0	1
WGS 1984	WGS84	4326	0	1
WGS 72	WGS72	4326	0	1
WGS 83	WGS84	4326	0	1
WGS 84	WGS84	4326	0	1
WGS 84 / NAD 83	WGS84	4326	0	1
