verbatimMonth	monthNumber	dayOfYearForFirst	checked
14JUL	7	181	1
14OCT	10	273	1
15			1
15 1970			1
15 May	5	120	1
15th			1
16			1
16 Jun	6	151	1
16 November	11	304	1
17			1
17 & 18			1
17- 18 December	12	334	1
17 Apr	4	90	1
17 March	3	59	1
17 May	5	120	1
18 			1
18 June	6	151	1
18 October	10	273	1
18?			1
1800's			1
1872-			1
1892			1
1897- 1909- 1965-			1
18October	10	273	1
19			1
19 and 24			1
19 July 1979 and died Summer			1
19 May	5	120	1
19 Sept 	9	243	1
1915			1
1925- 1938-			1
1932			1
1938- 1947-			1
1939 			1
1941			1
1941 to June			1
1948-			1
1949			1
1951			1
1954 or			1
1955			1
1956			1
1959 or			1
1960-			1
1961			1
1962- 1971 (MSU)- 1974 - 1979 (MSU)-			1
1964			1
1966-			1
1967-			1
1968			1
1969			1
1970			1
1971			1
1971 or early			1
1971 to September			1
1972			1
1972 early			1
1972 or			1
1973			1
1973 (or			1
1974			1
1974 or			1
1975- 1988-1991-			1
1975 or			1
1977			1
1978 or			1
1978 prior to 1 May			1
1981			1
1982 			1
1982 September	9	243	1
1983			1
1985			1
1985 and			1
1986			1
1987 and			1
1988-			1
1989			1
1989-			1
1990 i			1
1991			1
1992			1
1995- 1997- 1999- 2001- 2004-			1
1996			1
1l	11	304	1
2	2	31	1
2 APR	4	90	1
2 SEP	9	243	1
2 weeks of Jan	1	0	1
20			1
20 Aug	8	212	1
20 January	1	0	1
2000 i			1
2002			1
2003 or early			1
2004 			1
2010 i			1
21			1
21 January	1	0	1
21 Jun	6	151	1
21 May	5	120	1
21 Nov 	11	304	1
21 September	9	243	1
210MAY	5	120	1
21MAY	5	120	1
22			1
22  Apr	4	90	1
22 February	2	31	1
22 January	1	0	1
23			1
23 & 25			1
23 & Jun 25			1
23 February	2	31	1
23 January	1	0	1
23 Jun	6	151	1
23 June	6	151	1
23 September	9	243	1
24			1
24 & 25/29			1
24 August	8	212	1
24 December	12	334	1
24 May	5	120	1
24 November	11	304	1
25			1
25-			1
25 and 28 May	5	120	1
25 June	6	151	1
25-6 June	6	151	1
26			1
26 and June 25			1
26 Aug 	8	212	1
26 Feb	2	31	1
27			1
27Jan	1	0	1
28			1
28 July	7	181	1
29 			1
29 & 30			1
29 August	8	212	1
