"u_datumstr","epsg"
"-100.7344410000",
"100.739069",
"-100.7408070000",
"-100.7790150000",
"-100.7857490000",
"-100.7897450000",
"-100.8020050000",
"-100.8112310000",
"-100.8185240000",
"-100.8282420000",
"-100.8382340000",
"-100.8841750000",
"-100.9172200000",
"-100.9753420000",
"-100.9970870000",
"1000",
"1000 M",
"10000",
"1004",
"1006",
"10090",
"10096",
"100M",
"-101.0333900000",
"-101.0410180000",
"-101.0494920000",
"-101.0522570000",
"-101.1914420000",
"101.25",
"-101.3638100000",
"-101.3849660000",
"-101.4156150000",
"-101.4395140000",
"-101.4501770000",
"-101.4586000000",
"-101.4783300000",
"-101.4808300000",
"-101.4848530000",
"-101.6479310000",
"-101.6946600000",
"-101.6962310000",
"-101.8000950000",
"-101.8222200000",
"-101.8291290000",
"-101.8375960000",
"-101.8394400000",
"-101.8540330000",
"-101.8595660000",
"-101.8709700000",
"-101.9215670000",
"-101.9285820000",
"-101.9569090000",
"-101.9747200000",
"-101.9828190000",
"1014",
"102",
"-102.0271740000",
"-102.0355600000",
"-102.0777510000",
"-102.0805900000",
"-102.0843660000",
"-102.0942740000",
"-102.0995520000",
"-102.2398800000",
"-102.2573200000",
"-102.2744390000",
"-102.3437030000",
"-102.4434380000",
"-102.5381470000",
"-102.5454390000",
"-102.6192010000",
"-102.6350560000",
"-102.6953890000",
"-102.7441410000",
"102.814778",
"-102.9840110000",
"-103.0682370000",
"-103.0915330000",
"-103.0982890000",
"-103.3391700000",
"-103.5715270000",
"-103.6605600000",
"-103.7472600000",
"-103.7795220000",
"-103.7850550000",
"-103.8638720000",
"-103.8866810000",
"-103.8907690000",
"-103.8941700000",
"-103.9180360000",
"-103.9259940000",
"-103.9278910000",
"-103.9389290000",
"-103.9509890000",
"-103.9619650000",
"-103.9667830000",
"-103.9803760000",
"-103.9899460000",
"-103.9982360000",
"1037",
"-104.0029510000",
"-104.0448970000",
"-104.0638540000",
"-104.0680090000",
"-104.0719910000",
"-104.1729790000",
"-104.2181060000",
"-104.4367490000",
"-104.4961100000",
"-104.6867630000",
"-104.6871820000",
"-104.6886750000",
"-104.6887890000",
"-105.5406450000",
"10576",
"-106.2817380000",
"-106.6158300000",
"-107.3434",
"-107.6184230000",
"-107.7401330000",
"108",
"108.4",
"10839",
"-109.8413090000",
"10S",
"10SDQ8678",
"10SEN4882",
"10SEN6659",
"10SEP5004",
"10SFN7488",
"10SFN8905",
"10SFP8956",
"10SFQ2109",
"10T",
"-11.025705",
"-11.04347",
"11.05283",
"-11.0585",
"11.066667",
"11.06917",
"11.083333",
"11.1",
"11.1023333",
"-11.104888",
"11.11666",
"11.11667",
"-11.126863",
"-11.126925",
"-11.126935",
"-11.126938",
"-11.127013",
"11.1338333333333",
"-11.21667",
"11.22413",
"-11.39867",
"-11.40211",
"-11.402123",
"-11.402248",
"-11.402335",
"-11.40238",
"-11.402538",
"-11.403533",
"-11.403778",
"-11.403938",
"-11.405088",
"-11.405235",
"-11.405293",
"-11.405632",
"-11.405967",
"-11.406167",
"-11.41667",
"-11.55",
"-11.59299",
"-11.8",
"-11.83667",
"-11.85",
"11/09/1949",
"-110.854167",
"11069",
"1118",
"1121 M",
"1127",
"1129",
"1130",
"114",
"1145",
"11487",
"115.106995",
"11533",
"1155",
"11595",
"116",
"119",
"-119.8828130000",
"119?47'W",
"11S",
"12",
"12 T UTM",
"-12.06325",
"-12.3525",
"-12.36267",
"12.41861",
"-12.722",
"-12.7667",
"-12.77167",
"-12.77216834",
"-12.9916666666667",
"12/1146",
"1200",
"-121.15",
"-122.5229410000",
"12289",
"123901",
"124",
"12486",
"12497",
"12595",
"12606",
"12755",
"12769",
"12867",
