lifestage	standard	vetted
3 YEAR OLD	3 year old	1
3 YR OLD OR OLDER		1
3 YRS OLD		1
3.5		1
3.5 - 4.5Y		1
3.5-4.5 YRS		1
3.7 YRS		1
30 MOS		1
30Y, 8M, 19D		1
31 MO		1
31.2	31.2	1
32.5 MOS		1
33 MOS		1
33 YEARS	adult	1
3-4 YRS		1
34Y ESTIMATED		1
3-5 DAYS OLD	3-5 days old	1
36 MO		1
3M,8D		1
3RD WINTER	3rd winter	1
3Y (ESTIMATED)		1
3Y, 0M, 16D		1
3Y, 11M, 13D		1
3Y, 4M, 18D		1
3Y, 6M, 7D		1
3Y, 8M, 10D		1
3Y,4M,4D		1
3Y,9M,25D		1
3YRS		1
4 DAYS	4 days	1
4 MONTHS OLD	4 months old	1
4 MOS		1
4 YRS.		1
4.3	4.3	1
4.5 MOS		1
4.7 YRS		1
4+ YEARS OLD;		1
40 MO		1
40 MOS		1
41 MOS		1
43 YEARS OLD OR OLDER		1
44.5 MOS		1
45 MOS		1
4-5 YRS		1
4-6 YRS		1
4Y 2M 1D		1
4Y, 10M, 25D		1
4Y, 11M, 18D (ADULT)		1
4Y, 2M, 0D		1
4Y, 2M, 27D		1
4Y,2M,4D		1
4Y,3M,26D		1
4Y,6M,11D		1
5 MOS		1
5 OR 6 YRS OLD		1
5 YRS OLD		1
5 YRS.		1
5.33 YRS -MAYBE		1
5.33YRS		1
5.5		1
5.5 YRS		1
52 MOS		1
53 MOS		1
53.5 MOS		1
5-6 MOS		1
57 MOS		1
5D		1
5PLUS YRS		1
5Y 11M		1
5Y,5M,25D		1
6 MOS		1
6.5 YEARS OLD		1
6.7 YRS		1
64 MOS		1
65 MOS		1
67 MOS		1
6-7 YRS		1
69 MOS		1
6M, 20D		1
6Y		1
6Y,11M,27D		1
6Y,8M,6D		1
6YRS		1
7 YRS EST		1
7.5		1
7.5 YEARS OLD		1
7.7 YRS		1
70 MOS		1
71 MOS		1
7-10 YEARS		1
73.5 MOS		1
7-8 YRS		1
7-8Y		1
7Y,5M,4D		1
8 MOS		1
8 YRS		1
8.5		1
8.5-9.0Y		1
80.5 MOS		1
8-10 WEEKS OLD		1
8-10 YRS		1
8-10 YRS OLD		1
8-9 YEARS		1
8-9 YRS		1
8M		1
8Y		1
8Y 9M		1
8Y, 3M, 21D		1
8Y,8M,7D		1
9 MONTH OLD		1
9 MONTHS, 20 DAYS		1
9.3	9.3	1
9.5		1
9.5 MONTHS		1
9-10 YEARS		1
93 MOS		1
94 MOS		1
9Y		1
A	adult	1
A M	adult	1
ABOUT 1 MONTH OLD		1
ABOUT 13 DAYS OLD		1
ABOUT 15 YEARS OLD		1
ABOUT 4 WKS		1
ABOUT 5 YRS. OLD		1
ABOUT 6 YRS. OLD		1
ABOUT FOUR		1
AD	adult	1
AD.	adult	1
AD.; 17-18 YEARS		1
ADFULT	adult	1
ADILT	adult	1
AD-MAYBE		1
ADT & 3 YOUNG		1
ADULR	adult	1
ADULT	adult	1
ÀDULT	adult	1
ADULT - YOUNG FROM PREVIOUS YEAR	adult	1
ADULT (?)	adult	1
ADULT (~2.5 YEARS OLD)	adult	1
ADULT (0-1 YR)	adult	1
ADULT (1 YR)	adult	1
ADULT (15+ YRS. OLD)	adult	1
ADULT (5 YRS)	adult	1
ADULT (5-6 YRS)	adult	1
ADULT (8 YRS)	adult	1
ADULT (ASY)	adult	1
ADULT (BREEDING)	adult	1
ADULT (DARK PHASE)	adult	1
ADULT (SY)	adult	1
ADULT / TY	adult	1
ADULT ?	adult	1
ADULT ?)	adult	1
ADULT [FEMALE ?]	adult	1
ADULT [FEMALE?]	adult	1
ADULT [FEMALE]	adult	1
ADULT [MALE ?]	adult	1
ADULT [MALE?]	adult	1
ADULT [SEX ?]	adult	1
ADULT + 2 JUV		1
ADULT 6 YRS	adult	1
ADULT BREEDING	adult	1
ADULT- BREEDING	adult	1
ADULT F	adult	1
ADULT FEMALE	adult	1
ADULT FEMALE (BY SIZE)	adult	1
ADULT FEMALE [= A MALE]	adult	1
