preparations	standard	vetted
+SK +T +ECTO +CH	chromosomes | ectoparasite | skeleton | skin | tissue	1
+SK +T +ECTO +ENDO	ectoparasite | endoparasite | skeleton | skin | tissue	1
+SK +T +VISCERA	skeleton | skin | tissue | viscera	1
+SK +T+ ECTO	ectoparasite | skeleton | skin | tissue	1
+SK +T+AL	alcoholic | skeleton | skin | tissue	1
+SK+T	skeleton | skin | tissue	1
+SK+T +CH	chromosomes | skeleton | skin | tissue	1
+SK+T +ECTO	ectoparasite | skeleton | skin | tissue	1
+SK+T+CH	chromosomes | skeleton | skin | tissue	1
+SK+T+ECTO	ectoparasite | skeleton | skin | tissue	1
+SK+T+ECTO +CH	chromosomes | ectoparasite | skeleton | skin | tissue	1
+SK+T+ECTO CH	chromosomes | ectoparasite | skeleton | skin | tissue	1
+SK+T+ECTO+CH	chromosomes | ectoparasite | skeleton | skin | tissue	1
+SK+T+ECTO+CH+BLOOD	blood | chromosomes | ectoparasite | skeleton | skin | tissue	1
+SK+T+ECTO+CH+EMB	embryo | chromosomes | ectoparasite | skeleton | skin | tissue	1
+SK0+T +ECTO +CH	chromosomes | ectoparasites | skull | tissue	1
+SKO	skull	1
+SKO +T	skull | tissue	1
+SKO+T	skull | tissue	1
1 VERTEBRA (DRY)	1 vertebra	1
10 FRAGMENTS OF SHELL.	shell fragments	1
10 VERTEBRAE.	vertebrae	1
10% FORMALIN	10% formalin	1
11 VERTEBRAE (DRY)	11 vertebrae	1
12 VERTEBRAE (DRY)	12 vertebrae	1
13 MEDIUM-SIZED VERTEBRAE.	vertebrae	1
14 VERTEBRAE (DRY)	14 vertebrae	1
15 UNDET. AND MISCELLANEOUS.	undetermined	1
15 VERTEBRAE (DRY)	15 vertebrae	1
2 CASTS OF SKULLS O.	skull casts	1
2 DENTARY; MAXILLA	dentaries | maxilla	1
2 EGGS	eggs	1
2 PHALANGES.	phalanges	1
2 PLASTRON PLATES.	plastron plates	1
2 SKULLS	2 skulls	1
2 SKULLS, 2 DENTARIES, PARTIAL	partial skulls | 2 dentaries	1
2 TAILS ONLY	2 tails	1
2 VERTEBRAE (DRY)	2 vertebrae	1
2 VERTEBRAE (FIRST?).	vertebrae	1
2 VERTEBRAE, 2 FRAGMENTS PHARYNGEAL ARCHES.	vertebrae | pharyngeal arches	1
2 WINGS/TAIL	2 wings | tail	1
2/3 R CORACOID.	right coracoid	1
3 LUMBAR VERTEBRAE.	lumbar vertebrae	1
3 R DENTARY, 1 L DENTARY.	right dentaries | left dentary	1
3 R PROXIMAL TARSOMETATARSUS.	right proximal tarsometatarsi	1
3 UPPER L CHEEKTOOTH.	upper left cheekteeth	1
3 VERTEBRAE (DRY)	3 vertebrae	1
33		1
3960		1
4		1
4 EGGS & NEST	eggs | nest	1
4 FRAGMENTS ULNA.	ulna fragments	1
4 VERTEBRA.	vertebrae	1
4 VERTEBRAE (DRY)	4 vertebrae	1
4 VERTEBRAE.  IMM.	vertebrae	1
5		1
5 FEMUR, 4 TIBIA, 2 HUMERI, 2 PART INNOM.	5 femurs | 4 tibia | 2 humeri | 2 partial innominata	1
5 FRAGMENTS CHEEKTEETH.	cheekteeth fragments	1
5 UNDET.	undetermined	1
5 VERTEBRAE (DRY)	5 vertebrae	1
5 VERTEBRAE.	vertebrae	1
5% FORMALIN	5% formalin	1
5EGGS	eggs	1
6 VERTEBRAE (DRY)	6 vertebrae	1
6699		1
7 UNDET. AND MISCELLANEOUS.	undetermined	1
70 % ETOH	70% alcohol	1
70% ETOH	70% alcohol	1
70%ETOH	70% alcohol	1
70& ETOH	70% alcohol	1
74 UNDET.	undetermined	1
9 PIECES OF SHELL.	shell fragments	1
95% ETOH	95% alcohol	1
AC	alcoholic carcass (body carcass)	1
AL	alcoholic	1
AL'	alcoholic	1
AL (1 ADUL	alcoholic	1
AL + T +ECTO	alcoholic | ectoparasite | tissue	1
AL +T	alcoholic | tissue	1
AL +T +ECTO	alcoholic | ectoparasite | tissue	1
AL +T +ECTO +CH	alcoholic | chromosomes | ectoparasite | tissue	1
AL+T	alcoholic | tissue	1
AL+T +ECTO	alcoholic | ectoparasite | tissue	1
AL+T+ECTO	alcoholic | ectoparasite | tissue	1
AL+T+ECTO +CH	alcoholic | chromosomes | ectoparasite | tissue	1
AL+T+ECTO+CH	alcoholic | chromosomes | ectoparasite | tissue	1
ALC	alcoholic	1
ALC, TISSUE	alcoholic | tissue	1
ALC/CARC	alcoholic | carcass	1
ALC+SCHMOO	alcoholic | schmoo	1
ALCH	alcoholic	1
ALCOHOL	alcoholic	1
ALCOHOL - HEAD ONLY	alcoholilc carcass	1
ALCOHOL, TISSUE	alcoholic | tissue	1
ALCOHOLIC	alcoholic	1
ALCOHOLIC (ENTIRE SPECIMEN)	alcoholic (entire specimen)	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2020	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2026	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2027	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2028	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2031	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2047	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2048	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2054	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2060	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2063	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2068	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2072	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2086	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2088	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2089	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2099	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2101	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2103	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2104	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2105	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2107	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2109	alcoholic (entire specimen), tissue	1
