geodeticdatum	standard	vetted
-15.7879	not recorded	1
-15.78795	not recorded	1
-15.78805	not recorded	1
-15.78842	not recorded	1
-15.78848	not recorded	1
-15.78853	not recorded	1
-15.78882	not recorded	1
-15.79362	not recorded	1
-15.79762	not recorded	1
-15.79788	not recorded	1
-15.79792	not recorded	1
-15.798	not recorded	1
-15.79832	not recorded	1
-15.79835	not recorded	1
-15.79838	not recorded	1
-15.79847	not recorded	1
-15.79887	not recorded	1
-15.79902	not recorded	1
-15.79907	not recorded	1
-15.7991	not recorded	1
-15.80072	not recorded	1
-15.80098	not recorded	1
-15.80112	not recorded	1
-15.8039	not recorded	1
-15.84	not recorded	1
-15.86623	not recorded	1
-15.8667	not recorded	1
-15.9167	not recorded	1
-15.95699	not recorded	1
-15.98333	not recorded	1
153311.1	not recorded	1
155	not recorded	1
156	not recorded	1
16	not recorded	1
-16.03333	not recorded	1
-16.07178	not recorded	1
-16.07202	not recorded	1
-16.07447	not recorded	1
-16.07457	not recorded	1
-16.07512	not recorded	1
-16.07518	not recorded	1
-16.0752	not recorded	1
-16.07523	not recorded	1
-16.07528	not recorded	1
-16.07532	not recorded	1
-16.07537	not recorded	1
-16.07547	not recorded	1
-16.0755	not recorded	1
-16.07552	not recorded	1
-16.07553	not recorded	1
-16.07555	not recorded	1
-16.07557	not recorded	1
-16.0756	not recorded	1
-16.07572	not recorded	1
-16.0759	not recorded	1
-16.07597	not recorded	1
-16.07678	not recorded	1
-16.0973	not recorded	1
-16.0974	not recorded	1
-16.09748	not recorded	1
-16.10305	not recorded	1
-16.11592	not recorded	1
16.1333333333333	not recorded	1
-16.16667	not recorded	1
-16.20825	not recorded	1
-16.25865	not recorded	1
-16.26035	not recorded	1
-16.33333	not recorded	1
-16.35208	not recorded	1
16.4	not recorded	1
-16.4231672	not recorded	1
-16.46437225	not recorded	1
-16.46511	not recorded	1
-16.4661493	not recorded	1
-16.47326	not recorded	1
-16.48666	not recorded	1
-16.49239	not recorded	1
16.5666666666667	not recorded	1
-16.573	not recorded	1
16.6	not recorded	1
16.6333333333333	not recorded	1
16.634444	not recorded	1
-16.69215	not recorded	1
16.7	not recorded	1
-16.74	not recorded	1
16.75	not recorded	1
16.7833333333333	not recorded	1
-16.79216	not recorded	1
16.8	not recorded	1
16.8333333333333	not recorded	1
-16.91549	not recorded	1
-16.93717	not recorded	1
16.9666666666667	not recorded	1
161	not recorded	1
1628.192	not recorded	1
16770	not recorded	1
17	not recorded	1
17.0333333333333	not recorded	1
-17.03563	not recorded	1
-17.04372	not recorded	1
17.1166666666667	not recorded	1
-17.1459	not recorded	1
17.1666666666667	not recorded	1
-17.17	not recorded	1
17.1833333333333	not recorded	1
17.2166666666667	not recorded	1
-17.22805	not recorded	1
-17.25	not recorded	1
17.28333	not recorded	1
-17.32964	not recorded	1
-17.33337	not recorded	1
17.34244	not recorded	1
-17.35705	not recorded	1
-17.38758	not recorded	1
-17.4096	not recorded	1
-17.446666	not recorded	1
-17.56754	not recorded	1
-17.57592	not recorded	1
-17.57926	not recorded	1
17.5833333333333	not recorded	1
-17.58908	not recorded	1
17.7666666666667	not recorded	1
-17.81781	not recorded	1
-17.82281	not recorded	1
17.8666666666667	not recorded	1
-17.86996	not recorded	1
1700	not recorded	1
172	not recorded	1
1728	not recorded	1
174	not recorded	1
177.06M	not recorded	1
1780	not recorded	1
1787.192	not recorded	1
179	not recorded	1
17938	not recorded	1
17NT52	not recorded	1
17NV79	not recorded	1
18	not recorded	1
-18.05	not recorded	1
-18.112602	not recorded	1
-18.1139	not recorded	1
-18.114312	not recorded	1
-18.114748	not recorded	1
-18.114888	not recorded	1
-18.114922	not recorded	1
-18.11502	not recorded	1
-18.115055	not recorded	1
-18.11536	not recorded	1
-18.115413	not recorded	1
-18.11565	not recorded	1
-18.11642	not recorded	1
-18.116467	not recorded	1
-18.116572	not recorded	1
-18.1167	not recorded	1
-18.116732	not recorded	1
-18.116743	not recorded	1
-18.116875	not recorded	1
-18.116975	not recorded	1
-18.117068	not recorded	1
-18.117118	not recorded	1
-18.117382	not recorded	1
-18.11805	not recorded	1
-18.118118	not recorded	1
-18.118378	not recorded	1
-18.118713	not recorded	1
-18.12944	not recorded	1
18.1333333333333	not recorded	1
-18.147132	not recorded	1
-18.16667	not recorded	1
18.25	not recorded	1
-18.25	not recorded	1
18.35	not recorded	1
-18.39333	not recorded	1
18.5666666666667	not recorded	1
18.666667	not recorded	1
-18.71546	not recorded	1
-18.72198	not recorded	1
18.7666666666667	not recorded	1
-18.97234	not recorded	1
1800	not recorded	1
185	not recorded	1
186_WGS_1966	not recorded	1
186_WGS_1967	not recorded	1
186_WGS_1968	not recorded	1
186_WGS_1969	not recorded	1
186_WGS_1970	not recorded	1
186_WGS_1971	not recorded	1
186_WGS_1972	not recorded	1
186_WGS_1973	not recorded	1
186_WGS_1974	not recorded	1
186_WGS_1975	not recorded	1
186_WGS_1976	not recorded	1
186_WGS_1977	not recorded	1
186_WGS_1978	not recorded	1
186_WGS_1979	not recorded	1
186_WGS_1980	not recorded	1
186_WGS_1981	not recorded	1
186_WGS_1982	not recorded	1
186_WGS_1983	not recorded	1
186_WGS_1984	not recorded	1
186_WGS_1985	not recorded	1
186_WGS_1986	not recorded	1
186_WGS_1987	not recorded	1
186_WGS_1988	not recorded	1
186_WGS_1989	not recorded	1
186_WGS_1990	not recorded	1
186_WGS_1991	not recorded	1
186_WGS_1992	not recorded	1
186_WGS_1993	not recorded	1
186_WGS_1994	not recorded	1
186_WGS_1995	not recorded	1
186_WGS_1996	not recorded	1
186_WGS_1997	not recorded	1
186_WGS_1998	not recorded	1
186_WGS_1999	not recorded	1
186_WGS_2000	not recorded	1
186_WGS_2001	not recorded	1
186_WGS_2002	not recorded	1
186_WGS_2003	not recorded	1
186_WGS_2004	not recorded	1
186_WGS_2005	not recorded	1
186_WGS_2006	not recorded	1
186_WGS_2007	not recorded	1
186_WGS_2008	not recorded	1
186_WGS_2009	not recorded	1
186_WGS_2010	not recorded	1
186_WGS_2011	not recorded	1
